,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Mordekaiser,9,7,2,77.8%,4.11,2.89,5.11,3.19,276.22,7.86,13.8,393,52.2%,23.3%,21.4%
Kennen,4,2,2,50%,2.25,3,5.75,2.67,269.75,7.81,12.3,355,71.1%,20%,21.1%
Urgot,3,3,0,100%,3.33,1.67,6,5.6,311,8.71,14.6,408,60.9%,21.7%,21.7%
Akali,3,2,1,66.7%,4,1.67,4.33,5,310,8.31,14.5,389,56.8%,27.3%,22%
Jayce,3,1,2,33.3%,4,2,4.33,4.17,247.67,8.52,11.8,405,64.1%,30.8%,23.1%
Renekton,3,1,2,33.3%,1.33,3.33,2.67,1.2,284.67,8.67,12.1,369,52.2%,17.4%,21.9%
Kayle,2,2,0,100%,4,0.5,5,18,293.5,9.73,14.1,467,72%,32%,25%
Aatrox,2,1,1,50%,2,2.5,5.5,3,240.5,8.38,11,384,75%,20%,22.8%
Gnar,2,1,1,50%,1,3.5,5,1.71,314.5,9.09,14.2,409,54.5%,9.1%,22.9%
Wukong,2,1,1,50%,3,2.5,3,2.4,257,8.75,12.1,411,52.2%,26.1%,23.2%
Quinn,2,0,2,0%,2,3,1.5,1.17,320,9.83,12.8,393,77.8%,44.4%,25.1%
Ryze,2,0,2,0%,1.5,3,2,1.17,238.5,9.18,10.1,390,87.5%,37.5%,25.4%
Camille,1,0,1,0%,4,3,2,2,323,9.5,14.4,423,54.5%,36.4%,25.6%
Hecarim,1,0,1,0%,1,3,1,0.67,236,8.01,9.8,334,40%,20%,21.2%
Irelia,1,0,1,0%,3,4,2,1.25,320,7.62,14.7,350,35.7%,21.4%,21.6%
Sylas,1,0,1,0%,0,5,0,0,162,6.4,6.7,264,0%,0%,18.5%
