,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Bard,7,3,4,42.9%,0.71,2.57,7.43,3.17,46.29,1.46,7.5,236,65.5%,5.7%,13.5%
Nautilus,5,1,4,20%,0.2,2.6,6,2.38,34.4,1.1,6.6,211,64.6%,2.1%,12.7%
Shen,5,1,4,20%,0.8,3.8,8.6,2.47,40.2,1.27,7.3,232,73.4%,6.3%,13.6%
Braum,4,1,3,25%,0.25,2.75,4,1.55,35.75,1.15,6.6,212,54.8%,3.2%,12.6%
Lulu,3,1,2,33.3%,0.67,1.33,4.67,4,35.33,1.38,6.1,240,69.6%,8.7%,13.9%
Yuumi,3,1,2,33.3%,1.33,1.67,10.33,7,32.33,0.87,8.7,233,83.3%,9.5%,14.3%
Leona,3,0,3,0%,0,2.33,3.67,1.57,41,1.14,7.1,199,61.1%,0%,12.7%
Taric,3,0,3,0%,0,2.67,5.33,2,29,0.99,6.1,208,64%,0%,12.8%
Thresh,3,0,3,0%,0,2.67,4.33,1.63,40,1.25,6.4,199,68.4%,0%,12.6%
Janna,2,0,2,0%,1.5,5,8.5,2,13.5,0.42,7.1,224,83.3%,12.5%,13.3%
Rakan,2,0,2,0%,1.5,1,1.5,3,37.5,1.38,6.1,226,100%,50%,15.1%
Soraka,1,0,1,0%,1,2,0,0.5,28,1.33,4.6,221,50%,50%,14.9%
Tahm Kench,1,0,1,0%,0,4,1,0.25,44,1.35,6.2,191,33.3%,0%,12.4%
