,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Olaf,14,11,3,78.6%,2.71,1.57,6.21,5.68,190.43,5.94,11.2,348,68.7%,20.9%,18.8%
Lee Sin,6,3,3,50%,2.67,1.17,6.5,7.86,190.17,5.57,11.3,331,79.7%,23.2%,18.5%
Sejuani,5,4,1,80%,4,1.4,9.6,9.71,149.4,5.39,9.9,357,73.1%,21.5%,19%
Trundle,4,3,1,75%,1.75,2.5,7.25,3.6,180,5.32,10.6,312,66.7%,13%,17.2%
Jarvan IV,4,2,2,50%,1.5,3,8.25,3.25,165.5,5.48,9.6,319,75%,11.5%,18.1%
Elise,3,1,2,33.3%,3,2.33,4.33,3.14,183,4.82,11.3,298,88%,36%,17.5%
Kindred,2,2,0,100%,5,2,11,8,219.5,6.75,13.2,407,80%,25%,20%
Nocturne,2,2,0,100%,1.5,2.5,9,4.2,214.5,6.35,11.8,350,58.3%,8.3%,18.3%
Rek'Sai,2,1,1,50%,4,0.5,4,16,199.5,5.54,11.9,331,88.9%,44.4%,19.5%
Gragas,2,0,2,0%,0,4,4.5,1.13,195.5,4.76,10.7,260,81.8%,0%,17%
Graves,1,1,0,100%,2,0,8,10,208,7.68,11.1,409,58.8%,11.8%,19.9%
Sylas,1,1,0,100%,1,1,5,6,155,5.18,8.9,296,66.7%,11.1%,16%
