,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Lee Sin,11,8,3,72.7%,1.73,1.91,6.45,4.29,188.82,5.69,10.9,329,69.2%,14.6%,17.6%
Volibear,5,5,0,100%,5.2,1.4,9.2,10.29,170.2,5.75,11.5,387,72.7%,26.3%,19.4%
Nidalee,5,4,1,80%,2.8,1.8,7,5.44,222.2,7.06,11.8,376,87.5%,25%,20.2%
Lillia,4,4,0,100%,2.75,3,11.25,4.67,218.75,6.62,12.2,369,71.8%,14.1%,18.7%
Olaf,4,3,1,75%,3.5,3.25,6.25,3,176,5.31,11.2,337,70.9%,25.5%,17.9%
Graves,4,2,2,50%,4,1.75,4.5,4.86,274.5,7.48,14.2,387,72.3%,34%,20.5%
Trundle,3,1,2,33.3%,1.67,3.67,7.67,2.55,146.67,4.8,9.3,303,70%,12.5%,17.7%
Rek'Sai,2,2,0,100%,2,2.5,7,3.6,174.5,6.09,9.8,341,54.5%,12.1%,17.3%
Sejuani,2,2,0,100%,1,2,10.5,5.75,165.5,5.22,9.8,310,79.3%,6.9%,16.3%
Ekko,2,1,1,50%,5.5,2,4.5,5,214,6.79,12.2,386,62.5%,34.4%,20.8%
Evelynn,1,0,1,0%,3,4,6,2.25,166,5.07,10.1,307,81.8%,27.3%,18.5%
Kindred,1,0,1,0%,1,4,2,0.75,214,6.21,10.3,299,100%,33.3%,18.5%
Shyvana,1,0,1,0%,0,2,4,2,228,6.29,11.1,307,100%,0%,19.1%
