,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Ornn,16,12,4,75%,1.63,1.5,6.06,5.13,245.75,7.91,11.5,372,65.1%,13.8%,20.5%
Sett,8,7,1,87.5%,2.75,1.63,6.13,5.46,259.5,7.96,12.6,388,64%,19.8%,21.5%
Akali,6,5,1,83.3%,2,1.33,2.67,3.5,273.5,7.91,12.6,364,43.1%,18.5%,20.8%
Irelia,2,2,0,100%,7.5,2.5,5.5,5.2,354,9.57,17,459,66.7%,38.5%,24.3%
Rumble,2,2,0,100%,3.5,1.5,9.5,8.67,254.5,7.98,12.3,386,57.8%,15.6%,20.3%
Mordekaiser,2,1,1,50%,1,3.5,2.5,1,216,7.15,9.9,329,50%,14.3%,19.9%
Renekton,2,0,2,0%,1.5,3,2,1.17,388,8.92,16.9,389,53.8%,23.1%,23.3%
Aatrox,1,1,0,100%,4,1,4,8,308,8.34,14.7,398,57.1%,28.6%,21.7%
Gangplank,1,1,0,100%,5,3,6,3.67,234,7.9,13.3,449,52.4%,23.8%,22.3%
Camille,1,0,1,0%,0,2,3,1.5,371,9.59,15.5,400,75%,0%,24.4%
Kennen,1,0,1,0%,0,2,1,0.5,312,8.47,12.2,330,50%,0%,21.2%
Sylas,1,0,1,0%,6,5,10,3.2,375,7.49,18.9,378,72.7%,27.3%,22.4%
Vladimir,1,0,1,0%,1,3,0,0.33,331,9.63,12.7,368,25%,25%,23.5%
