,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Renekton,11,10,1,90.9%,4.27,1.73,5.18,5.47,288.82,9.2,14,446,51.5%,23.3%,22.7%
Ornn,7,5,2,71.4%,1.86,2.14,7.57,4.4,239.57,8.07,11.3,380,60%,11.8%,20.3%
Camille,5,4,1,80%,3.6,2.8,4.4,2.86,277.8,8.73,13.6,427,53.3%,24%,22.6%
Karma,5,4,1,80%,1.4,1.2,11.2,10.5,201.8,7.21,10,359,75.9%,8.4%,18.8%
Kennen,4,3,1,75%,2.25,2.25,5.25,3.33,299.25,8.74,13.5,395,50.8%,15.3%,21.5%
Malphite,3,2,1,66.7%,2.67,3,5,2.56,259.33,7.44,12.7,364,60.5%,21.1%,19.9%
Irelia,2,1,1,50%,3,1.5,2.5,3.67,279,9.74,12.1,424,68.8%,37.5%,23.7%
Neeko,2,1,1,50%,1,3.5,6,2,247,7.1,11.4,328,53.8%,7.7%,18.7%
Sylas,2,1,1,50%,3.5,2.5,7.5,4.4,268,7.7,12.6,363,71%,22.6%,20.4%
Kled,1,0,1,0%,4,5,5,1.8,314,8.65,14.5,399,90%,40%,24.9%
Mordekaiser,1,0,1,0%,1,4,1,0.5,216,8.79,9.1,369,100%,50%,23%
