,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Ashe,13,11,2,84.6%,5,1.62,7.69,7.86,329.23,10.24,15.2,472,74.3%,29.3%,24.8%
Ezreal,13,9,4,69.2%,5.92,1.62,4.85,6.67,318.77,10.16,15,480,63.9%,35.2%,25.3%
Kalista,6,5,1,83.3%,4.67,1,4.67,9.33,313.5,10.52,14.1,474,72.7%,36.4%,25.6%
Aphelios,3,0,3,0%,1.33,3,0.67,0.67,339.67,10.31,13.6,413,33.3%,22.2%,25.1%
Varus,2,2,0,100%,6.5,0.5,6,25,311,10.91,14.5,510,73.5%,38.2%,25.9%
Jhin,2,1,1,50%,3.5,1,5,8.5,353,10.68,15.2,459,60.7%,25%,25.6%
Jinx,1,1,0,100%,0,1,6,6,349,11.11,14,445,46.2%,0%,23.4%
Miss Fortune,1,1,0,100%,7,2,6,6.5,339,10.87,16.3,524,68.4%,36.8%,27.5%
Senna,1,1,0,100%,6,0,6,12,241,8.79,12,439,80%,40%,22.6%
Caitlyn,1,0,1,0%,2,4,2,1,358,10.44,13.6,396,57.1%,28.6%,24.7%
