,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Zoe,8,5,3,62.5%,2.25,1.38,7.13,6.82,264,7.89,12.6,378,72.1%,17.3%,21%
Syndra,5,3,2,60%,3.6,1.2,5.8,7.83,302.2,9.57,13.1,415,63.5%,24.3%,22.6%
Azir,4,2,2,50%,3.25,1.25,3.25,5.2,325.75,9.73,14.4,431,63.4%,31.7%,24.5%
Ornn,4,2,2,50%,2.25,1.5,3.75,4,259.75,7.56,12.3,359,77.4%,29%,20.6%
LeBlanc,3,2,1,66.7%,3,2,6,4.5,262.33,8.47,12.1,389,62.8%,20.9%,21.7%
Corki,3,1,2,33.3%,3.33,1.67,2.67,3.6,346.33,10.24,14.5,430,81.8%,45.5%,25.3%
Ekko,2,2,0,100%,3,1.5,8,7.33,350.5,9.33,16.3,433,71%,19.4%,23.3%
Galio,2,1,1,50%,3.5,4,5,2.13,218,7.42,11.1,378,85%,35%,21.2%
Kassadin,2,1,1,50%,4.5,0.5,2.5,14,261,9.86,11.9,449,66.7%,42.9%,25%
Renekton,2,1,1,50%,4,3.5,8.5,3.57,316.5,7.56,16.6,397,71.4%,22.9%,21.8%
Orianna,2,0,2,0%,1.5,1,1.5,3,346,8.68,14.5,363,85.7%,42.9%,22%
Pantheon,2,0,2,0%,1.5,3,1,0.83,207.5,7.39,9.8,349,71.4%,42.9%,20.4%
Ryze,1,1,0,100%,5,1,7,12,428,10.52,18,443,60%,25%,23.9%
Zilean,1,1,0,100%,6,0,11,17,280,8.28,13.9,411,85%,30%,20.5%
Akali,1,0,1,0%,1,1,8,9,386,9.1,16.8,397,75%,8.3%,21.5%
Cassiopeia,1,0,1,0%,1,3,1,0.67,237,8.84,9.2,343,33.3%,16.7%,21.7%
