,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Zoe,10,8,2,80%,3.8,0.8,7.8,14.5,236.5,8.42,11.8,420,67.4%,22.1%,21.7%
Twisted Fate,8,7,1,87.5%,3.38,0.63,11.25,23.4,254,9.08,13.2,473,82.4%,19%,23.2%
Kassadin,4,4,0,100%,9.25,0.75,6.25,20.67,233,9.13,12.7,498,79.5%,47.4%,24.4%
Sylas,4,3,1,75%,4.75,1,7.75,12.5,272.75,8.77,13.6,437,76.9%,29.2%,22.7%
Azir,2,2,0,100%,3.5,0.5,4.5,16,271,10.08,12.3,459,53.3%,23.3%,22.9%
Jayce,2,2,0,100%,3,1,5.5,8.5,229.5,9.94,10.4,451,51.5%,18.2%,21.6%
Sett,2,2,0,100%,1,1,7,8,190,7.7,9.7,392,61.5%,7.7%,18.9%
Syndra,2,2,0,100%,2.5,0.5,6.5,18,349,8.43,15.8,383,60%,16.7%,21.1%
Corki,2,1,1,50%,4,0.5,3,14,279,10.32,12.4,460,58.3%,33.3%,24.3%
Galio,1,1,0,100%,5,1,8,13,219,7.97,10.9,398,76.5%,29.4%,20.3%
Lucian,1,1,0,100%,2,0,7,9,185,9.09,8.7,425,81.8%,18.2%,21.8%
Orianna,1,1,0,100%,6,1,10,16,230,8.96,11.4,446,76.2%,28.6%,21.5%
