,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Thresh,10,8,2,80%,0.6,2.1,8.7,4.43,32,0.96,7.9,237,71%,4.6%,12.9%
Tahm Kench,8,6,2,75%,0.75,2.25,5.38,2.72,34.75,1.1,7.4,236,59%,7.2%,13.4%
Braum,3,3,0,100%,0.67,1,11.33,12,37,1.18,8,254,73.5%,4.1%,13%
Nautilus,3,1,2,33.3%,0.33,3.33,3,1,34.33,1.09,6.7,211,62.5%,6.3%,12.4%
Blitzcrank,1,1,0,100%,3,1,14,17,27,0.79,8.9,259,77.3%,13.6%,14%
Leona,1,1,0,100%,0,1,12,12,33,1.34,6.3,254,70.6%,0%,13%
Morgana,1,1,0,100%,0,1,13,13,31,1.13,6.8,246,92.9%,0%,13%
Sett,1,1,0,100%,1,0,3,4,53,1.49,8.5,239,26.7%,6.7%,12.8%
Karma,1,0,1,0%,0,1,0,0,38,1.18,6.3,195,0%,0%,13.1%
Pantheon,1,0,1,0%,1,3,8,3,65,1.65,8.3,211,75%,8.3%,12.9%
Yuumi,1,0,1,0%,2,4,8,2.5,23,0.65,7.5,213,83.3%,16.7%,13.5%
