,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Ashe,12,4,8,33.3%,3.42,2.25,6.17,4.26,277.67,9.13,12.9,424,78.2%,27.9%,24.6%
Aphelios,10,5,5,50%,1.6,2,3.3,2.45,282.8,9.27,11.9,391,54.4%,17.8%,23.2%
Ezreal,8,3,5,37.5%,3.38,2.38,4.13,3.16,330.75,9.19,14.6,406,71.4%,32.1%,24.1%
Caitlyn,3,1,2,33.3%,3,2.33,3,2.57,339.33,9.46,14.4,402,66.7%,33.3%,24.4%
Varus,3,0,3,0%,2,3.33,2,1.2,285,8.87,12.1,375,54.5%,27.3%,23.7%
Senna,2,1,1,50%,1,2,11,6,130,4.34,8.8,294,77.4%,6.5%,17.2%
Heimerdinger,2,0,2,0%,3,2,4,3.5,272.5,7.91,13.1,381,70%,30%,23%
Kalista,1,1,0,100%,2,1,6,8,307,10.29,12.8,429,72.7%,18.2%,24.3%
Yasuo,1,1,0,100%,4,3,9,4.33,332,7.98,16.6,398,59.1%,18.2%,21.2%
Jhin,1,0,1,0%,2,5,12,2.8,364,8.37,15.6,360,73.7%,10.5%,21.7%
Kai'Sa,1,0,1,0%,0,2,2,1,270,9.6,11.1,394,40%,0%,24.6%
