,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Zoe,6,4,2,66.7%,3.67,1.33,6,7.25,283.5,8.51,13,390,79.5%,30.1%,22.3%
Syndra,2,1,1,50%,2,0.5,2,8,331,9.35,13.5,382,57.1%,28.6%,22.2%
Ryze,2,0,2,0%,3,2,0.5,1.75,422.5,11.33,17.5,470,70%,60%,27.6%
Viktor,2,0,2,0%,1.5,0.5,2.5,8,400.5,9.01,16.8,378,72.7%,27.3%,24.6%
Orianna,1,1,0,100%,5,0,3,8,383,9.7,17.1,433,88.9%,55.6%,25%
Vladimir,1,1,0,100%,3,0,7,10,197,8.41,9.4,400,66.7%,20%,20.8%
Azir,1,0,1,0%,0,3,1,0.33,206,8.39,8.2,333,33.3%,0%,22.4%
Cassiopeia,1,0,1,0%,0,3,2,0.67,317,8.66,12.7,347,50%,0%,21.8%
Ornn,1,0,1,0%,2,5,9,2.2,281,6.16,15,329,57.9%,10.5%,19.3%
Rumble,1,0,1,0%,0,2,5,2.5,262,8.63,10.8,354,71.4%,0%,22.3%
