,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Aatrox,4,4,0,100%,2.25,0.75,4.5,9,254.75,8.62,12,407,47.4%,15.8%,21.3%
Sett,4,4,0,100%,1.75,1.25,8,7.8,251.5,8.48,12.7,428,58.2%,10.4%,21.6%
Camille,2,2,0,100%,3.5,2,6,4.75,293,8.86,14.1,427,50%,18.4%,22.4%
Gangplank,1,1,0,100%,2,1,8,10,298,10,13.9,468,66.7%,13.3%,23.5%
Irelia,1,1,0,100%,3,5,1,0.8,290,8.4,13.6,394,19%,14.3%,20.7%
Kalista,1,1,0,100%,3,2,6,4.5,267,8.86,13.6,451,81.8%,27.3%,24.8%
Quinn,1,1,0,100%,4,3,10,4.67,263,8.51,14.9,481,53.8%,15.4%,23.1%
Renekton,1,1,0,100%,4,3,10,4.67,379,8.31,19.7,431,77.8%,22.2%,23.9%
Rumble,1,1,0,100%,3,0,8,11,265,8.74,12,396,64.7%,17.6%,21.3%
Vladimir,1,1,0,100%,2,1,2,4,273,9.41,11.9,411,40%,20%,22.9%
Shen,1,0,1,0%,0,5,1,0.2,172,6.44,7.6,283,12.5%,0%,18.1%
