,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Orianna,4,3,1,75%,5.75,1.75,7.75,7.71,290.5,9.45,13.7,446,77.1%,32.9%,24.4%
Zoe,3,2,1,66.7%,2,2.33,6.67,3.71,292,8.36,13.4,385,68.4%,15.8%,21.9%
Galio,2,2,0,100%,5,3,7,4,285,9.17,14.2,457,63.2%,26.3%,24.3%
Twisted Fate,2,2,0,100%,4.5,0,9.5,28,240.5,9.03,13.2,495,71.8%,23.1%,23.8%
Corki,2,1,1,50%,7,3.5,4,3.14,335.5,10.07,16.2,486,78.6%,50%,26.8%
Jayce,1,1,0,100%,4,4,7,2.75,345,7.4,17.5,376,68.8%,25%,21.3%
Kassadin,1,1,0,100%,6,2,6,6,304,9.73,14.4,461,54.5%,27.3%,23.1%
Sylas,1,1,0,100%,7,1,6,13,291,8.31,15.1,431,61.9%,33.3%,23.5%
Karma,1,0,1,0%,1,4,4,1.25,242,8.23,10.8,368,71.4%,14.3%,20.9%
Lulu,1,0,1,0%,4,3,6,3.33,225,6.27,11.8,330,71.4%,28.6%,19.7%
