,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Twisted Fate,3,2,1,66.7%,2,1.67,7,5.4,310.33,9.09,14.5,424,79.4%,17.6%,24.5%
Syndra,3,0,3,0%,1.67,4.33,1.33,0.69,322.67,9.36,13,378,52.9%,29.4%,23.9%
Azir,2,1,1,50%,4.5,3,6,3.5,362.5,9.02,17.2,428,70%,30%,23.3%
Orianna,2,1,1,50%,4.5,4.5,4.5,2,313,9.39,14.6,440,78.3%,39.1%,24.8%
Galio,2,0,2,0%,0,4.5,6.5,1.44,292.5,8.2,11.9,335,65%,0%,20.1%
Diana,1,1,0,100%,4,2,7,5.5,331,9.51,15.4,442,68.8%,25%,23.6%
Cassiopeia,1,0,1,0%,0,2,0,0,248,10.27,8.6,356,-nan%,-nan%,24.3%
Corki,1,0,1,0%,7,4,5,3,406,8.7,19.9,426,75%,43.8%,25.1%
Ryze,1,0,1,0%,1,4,4,1.25,293,9.75,11.4,380,83.3%,16.7%,23.5%
Zoe,1,0,1,0%,1,3,5,2,317,8.64,12.9,352,66.7%,11.1%,21.8%
