,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Aatrox,3,3,0,100%,4.67,1,4,8.67,299.33,8.99,15.3,459,59.1%,31.8%,25.1%
Fiora,2,2,0,100%,5,0,1.5,13,261.5,9.86,13.5,507,65%,50%,27.1%
Sett,2,0,2,0%,1.5,4,4,1.38,223,7.4,10.9,362,68.8%,18.8%,23%
Camille,1,1,0,100%,6,1,6,12,252,8.08,13.4,430,66.7%,33.3%,22.6%
Jayce,1,1,0,100%,4,0,6,10,222,9.67,10.4,454,47.6%,19%,22.3%
Kalista,1,1,0,100%,5,4,6,2.75,274,9.13,14.2,474,73.3%,33.3%,24.5%
Mordekaiser,1,1,0,100%,3,2,6,4.5,267,8.17,13,397,45%,15%,20.9%
Rumble,1,1,0,100%,6,3,4,3.33,218,6.32,13.5,391,52.6%,31.6%,21.5%
Gangplank,1,0,1,0%,2,7,13,2.14,354,7.92,18.7,418,62.5%,8.3%,21.8%
Neeko,1,0,1,0%,5,2,0,2.5,364,9.88,17.2,467,71.4%,71.4%,27.9%
Ornn,1,0,1,0%,1,5,4,1,226,6.95,10.1,312,71.4%,14.3%,20.6%
Pantheon,1,0,1,0%,2,5,11,2.6,265,6.52,14.7,363,68.4%,10.5%,20.9%
