,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Sett,5,3,2,60%,3.2,2.8,4.2,2.64,211.6,7.07,11.1,370,55.2%,23.9%,20.1%
Gangplank,3,2,1,66.7%,3,2.67,4.67,2.88,250.33,7.8,13.2,412,52.3%,20.5%,23.2%
Pantheon,2,2,0,100%,7,1.5,6.5,9,232,7.65,13.9,457,69.2%,35.9%,23.2%
Aatrox,1,1,0,100%,2,0,6,8,152,7.59,8.1,407,47.1%,11.8%,20%
Ornn,1,1,0,100%,2,0,7,9,277,8.96,12.7,411,81.8%,18.2%,21.7%
Rengar,1,1,0,100%,3,3,7,3.33,208,7.13,11.5,394,55.6%,16.7%,21.4%
Singed,1,1,0,100%,4,2,8,6,256,8.68,13.3,451,60%,20%,22.9%
Urgot,1,1,0,100%,5,3,4,3,247,8.33,12.5,422,64.3%,35.7%,23.7%
Zac,1,1,0,100%,4,2,13,8.5,236,7.28,13,401,81%,19%,21%
Jarvan IV,1,0,1,0%,0,12,17,1.42,41,0.98,10.5,251,54.8%,0%,12.8%
Swain,1,0,1,0%,1,6,1,0.33,226,5.31,11.8,277,100%,50%,18.3%
