,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Zoe,5,4,1,80%,4.8,1.2,6.4,9.33,260.4,8.47,13,423,68.3%,29.3%,22.5%
Syndra,2,2,0,100%,6.5,1.5,4.5,7.33,400.5,10.89,18.6,505,66.7%,39.4%,26.9%
Twisted Fate,2,2,0,100%,4.5,1,11,15.5,252.5,9.16,13.2,477,77.5%,22.5%,23.6%
Kog'Maw,2,1,1,50%,6.5,1.5,4.5,7.33,299,9.68,14.2,461,88%,52%,26.1%
Ekko,1,1,0,100%,2,1,7,9,310,10.16,12.7,418,75%,16.7%,22.1%
LeBlanc,1,1,0,100%,8,2,6,7,264,7.63,14.4,417,56%,32%,21.1%
Azir,1,0,1,0%,6,6,4,1.67,322,9.04,15,421,83.3%,50%,26.5%
Cassiopeia,1,0,1,0%,3,4,2,1.25,255,8.49,11.2,372,71.4%,42.9%,23.1%
Galio,1,0,1,0%,1,4,3,1,207,7.15,9.4,325,100%,25%,21%
Kassadin,1,0,1,0%,0,3,1,0.33,300,9.64,11.1,356,20%,0%,21.8%
Orianna,1,0,1,0%,7,4,0,1.75,369,10.19,17.3,478,77.8%,77.8%,29.3%
