,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
LeBlanc,3,2,1,66.7%,5,1,4,9,295.67,8.86,14.2,427,69.2%,38.5%,23.6%
Pantheon,3,0,3,0%,1,3,5,2,239.67,7.54,10.8,339,78.3%,13%,20.2%
Cassiopeia,2,0,2,0%,1,4.5,1.5,0.56,249.5,7.79,10.9,342,41.7%,16.7%,20.9%
Sett,2,0,2,0%,1,4,3,1,246.5,7.74,11.6,363,61.5%,15.4%,23.3%
Viktor,2,0,2,0%,1.5,3,1,0.83,290.5,9.15,11.9,376,62.5%,37.5%,24.3%
Mordekaiser,1,1,0,100%,5,1,5,10,278,8.55,14.8,456,55.6%,27.8%,24.1%
Vel'Koz,1,1,0,100%,0,1,4,4,414,8.15,18.8,369,44.4%,0%,22.1%
Azir,1,0,1,0%,2,5,3,1,395,9.61,16.7,405,62.5%,25%,23.6%
Diana,1,0,1,0%,0,5,2,0.4,259,7.95,10.1,310,100%,0%,21%
Kassadin,1,0,1,0%,1,3,3,1.33,267,7.95,11.2,333,66.7%,16.7%,21.2%
Zoe,1,0,1,0%,1,2,0,0.5,295,8.42,11.9,340,33.3%,33.3%,22.5%
