,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Kalista,4,2,2,50%,4,1.5,5,6,288.75,9.47,12.9,422,66.7%,29.6%,23.6%
Aphelios,3,2,1,66.7%,6,2.67,8,5.25,288.67,9.33,14.2,460,77.8%,33.3%,25.2%
Karthus,2,2,0,100%,5.5,3.5,11,4.71,226,7.59,13.4,451,73.3%,24.4%,23%
Varus,2,1,1,50%,4.5,2.5,5,3.8,320.5,8.69,16.5,447,73.1%,34.6%,25.6%
Ezreal,2,0,2,0%,2.5,2,2.5,2.5,294,8.02,13,355,66.7%,33.3%,22.6%
Corki,1,1,0,100%,6,4,4,2.5,348,9.35,17,457,71.4%,42.9%,24.1%
Malphite,1,1,0,100%,3,1,10,13,195,6.74,10.4,360,61.9%,14.3%,18.9%
Ziggs,1,1,0,100%,5,2,5,5,313,7.7,16,392,83.3%,41.7%,22%
Kai'Sa,1,0,1,0%,2,2,4,3,247,8.77,10.7,379,50%,16.7%,21.4%
Senna,1,0,1,0%,0,1,5,5,256,8.25,11.5,371,45.5%,0%,21.9%
