,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Azir,4,3,1,75%,3.25,0.75,5.5,11.67,304,9.65,13.1,417,77.8%,28.9%,24.3%
Tristana,2,2,0,100%,6.5,0.5,6,25,290.5,9.53,15.2,500,78.1%,40.6%,25.3%
Ekko,2,1,1,50%,5.5,2,2.5,4,326.5,9.3,14.7,418,59.3%,40.7%,24.1%
LeBlanc,2,0,2,0%,3.5,3,2.5,2,288,7.88,13.1,358,63.2%,36.8%,23.3%
Qiyana,1,1,0,100%,5,0,4,9,385,9.08,17.1,402,64.3%,35.7%,22.2%
Ryze,1,1,0,100%,1,1,5,6,322,11.69,13.3,482,54.5%,9.1%,24.1%
Vladimir,1,1,0,100%,5,1,8,13,271,8.5,12.6,395,76.5%,29.4%,21.4%
Corki,1,0,1,0%,3,2,1,2,255,9.23,10.5,382,66.7%,50%,22.9%
Irelia,1,0,1,0%,3,4,1,1,288,8.96,12.6,393,57.1%,42.9%,25.4%
Lissandra,1,0,1,0%,2,5,1,0.6,280,7.27,12.8,334,37.5%,25%,20.2%
Syndra,1,0,1,0%,3,4,1,1,278,8.57,12,371,80%,60%,24.2%
Viktor,1,0,1,0%,2,2,3,2.5,305,9.87,12.3,399,83.3%,33.3%,24.7%
