,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Azir,5,2,3,40%,2.4,2.4,2,1.83,351.6,9.87,14.7,412,53.7%,29.3%,24.2%
Corki,3,1,2,33.3%,4,1,3.67,7.67,391.33,10.9,17,474,88.5%,46.2%,27.3%
LeBlanc,2,1,1,50%,5.5,2,8.5,7,329,8.03,16.2,394,73.7%,28.9%,22.5%
Orianna,2,1,1,50%,2.5,1.5,7.5,6.67,311,9.55,13.2,406,69%,17.2%,22.6%
Jayce,1,1,0,100%,6,0,8,14,269,9.29,13.9,481,73.7%,31.6%,25%
Twisted Fate,1,1,0,100%,4,1,4,8,391,9.4,19.9,477,80%,40%,26.1%
Kassadin,1,0,1,0%,1,1,0,1,321,10.3,12.1,390,16.7%,16.7%,25.1%
Nautilus,1,0,1,0%,1,6,6,1.17,211,7.27,9.7,334,77.8%,11.1%,21.4%
Syndra,1,0,1,0%,2,3,3,1.67,345,9.64,13.8,385,100%,40%,24.9%
Zoe,1,0,1,0%,2,1,5,7,318,8.63,13.2,357,70%,20%,21.9%
