,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Ornn,4,2,2,50%,1.5,2.75,10,4.18,249.25,6.91,12.9,358,73%,9.5%,20.4%
Camille,2,2,0,100%,2,2.5,8,4,213.5,7.39,10.8,373,55.6%,11.1%,19.2%
Shen,2,2,0,100%,3,1.5,13.5,11,274,7.73,13.5,381,82.5%,15%,20.8%
Wukong,2,1,1,50%,1.5,1,3,4.5,273,8.76,11.6,372,56.3%,18.8%,22.2%
Kennen,1,1,0,100%,2,2,8,5,293,8.14,14.1,393,52.6%,10.5%,20.7%
Aatrox,1,0,1,0%,1,5,0,0.2,204,6.68,8.9,292,14.3%,14.3%,18%
Gangplank,1,0,1,0%,0,3,0,0,235,7.84,10.5,351,0%,0%,23.2%
Jayce,1,0,1,0%,2,4,2,1,416,9.18,17.9,395,100%,50%,25%
Maokai,1,0,1,0%,0,3,2,0.67,294,6.41,12.8,279,66.7%,0%,17.6%
Quinn,1,0,1,0%,0,4,5,1.25,224,7.5,9.8,327,71.4%,0%,20.9%
Renekton,1,0,1,0%,1,2,3,2,259,7.6,12,353,100%,25%,23.3%
Urgot,1,0,1,0%,2,2,1,1.5,264,8.09,11.9,365,75%,50%,23%
