,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Rumble,3,3,0,100%,2.67,1.33,5.33,6,224,7.27,11.3,367,57.1%,19%,19.6%
Kennen,3,2,1,66.7%,4.67,2.67,7,4.38,260.67,7.23,13.7,379,72.9%,29.2%,22%
Sett,3,2,1,66.7%,3,1.67,7.67,6.4,290.67,8.03,14.4,399,74.4%,20.9%,22.1%
Ornn,2,0,2,0%,2.5,2.5,5,3,220,6.4,10.8,314,71.4%,23.8%,19.2%
Gangplank,1,1,0,100%,2,2,7,4.5,239,7.32,12.9,396,64.3%,14.3%,21.5%
Kled,1,1,0,100%,3,2,5,4,314,9.19,14.7,429,44.4%,16.7%,22.9%
Soraka,1,1,0,100%,1,0,7,8,141,5.35,7.9,301,50%,6.3%,15.5%
Urgot,1,1,0,100%,2,0,7,9,228,8,11.8,413,56.3%,12.5%,22.3%
Aatrox,1,0,1,0%,2,3,2,1.33,287,8.5,12.5,369,66.7%,33.3%,23.9%
Singed,1,0,1,0%,2,3,4,2,217,6.37,11.2,329,60%,20%,20.4%
