,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Malphite,5,5,0,100%,3.2,0.8,9.8,16.25,245,7.12,13.1,382,75.6%,18.6%,20.4%
Maokai,3,2,1,66.7%,1.67,1.33,7.67,7,218.33,6.6,11.2,337,77.8%,13.9%,19.2%
Renekton,1,1,0,100%,2,3,9,3.67,228,7.76,12.4,421,68.8%,12.5%,20.7%
Sett,1,1,0,100%,4,5,4,1.6,251,6.75,13.3,358,38.1%,19%,18.8%
Aatrox,1,0,1,0%,0,3,1,0.33,260,8.25,10.4,329,100%,0%,22.1%
Fiddlesticks,1,0,1,0%,3,3,5,2.67,277,5.97,15.1,325,47.1%,17.6%,18.9%
Gnar,1,0,1,0%,3,5,3,1.2,241,7.31,10.8,327,50%,25%,20.1%
Kennen,1,0,1,0%,2,2,4,3,261,7.65,12.3,359,75%,25%,22%
Ornn,1,0,1,0%,1,4,7,2,174,5.66,8.9,289,72.7%,9.1%,18%
Shyvana,1,0,1,0%,6,3,7,4.33,324,8.21,16.4,416,100%,46.2%,23.8%
Urgot,1,0,1,0%,3,5,3,1.2,288,8.24,12.7,363,42.9%,21.4%,22.3%
Wukong,1,0,1,0%,2,3,4,2,250,6.95,12,334,75%,25%,21.5%
