,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Neeko,3,3,0,100%,3.33,2.33,7.33,4.57,270.33,8.72,13.4,433,52.5%,16.4%,22.4%
Shen,3,2,1,66.7%,2.33,2.67,5.67,3,257.33,7.77,12,361,63.2%,18.4%,20.7%
Gangplank,2,1,1,50%,4,4,5,2.25,257.5,8.52,13.6,450,47.4%,21.1%,23.3%
Ornn,2,1,1,50%,2.5,4,6.5,2.25,319.5,7.42,15.5,360,54.5%,15.2%,20%
Camille,1,1,0,100%,3,7,9,1.71,386,7.8,20,404,40%,10%,20.3%
Jayce,1,1,0,100%,6,3,5,3.67,270,9.23,13.7,468,55%,30%,24.8%
Sion,1,1,0,100%,2,1,6,8,259,8.72,11.6,392,47.1%,11.8%,20.7%
Vladimir,1,1,0,100%,6,2,9,7.5,349,9.69,17.2,478,53.6%,21.4%,23.4%
Gnar,1,0,1,0%,3,4,3,1.5,258,7.87,12,364,75%,37.5%,22.4%
Kayle,1,0,1,0%,2,7,4,0.86,300,8.23,13.3,365,85.7%,28.6%,22.8%
Kennen,1,0,1,0%,0,6,2,0.33,233,8.13,9.7,339,33.3%,0%,21.4%
