,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Twisted Fate,4,2,2,50%,3.25,0.75,8.25,15.33,295.75,9.49,14.5,465,69.7%,19.7%,24.9%
Yone,2,2,0,100%,7,1,8,15,351,10.85,16.7,515,73.2%,34.1%,24.6%
Galio,2,1,1,50%,2,2,10,6,294,8.79,12.8,383,70.6%,11.8%,21.9%
Orianna,2,1,1,50%,2.5,1.5,5.5,5.33,314.5,10.89,13.2,456,69.6%,21.7%,24.9%
Akali,1,1,0,100%,10,0,6,16,307,9.54,16.1,501,80%,50%,25.9%
Lucian,1,1,0,100%,8,3,4,4,369,10.82,18,528,54.5%,36.4%,26.3%
Rumble,1,1,0,100%,3,2,7,5,303,9.34,13.9,429,52.6%,15.8%,21.9%
Azir,1,0,1,0%,3,4,2,1.25,282,9.49,12.8,430,50%,30%,26.1%
Viktor,1,0,1,0%,5,4,7,3,235,7.83,12.6,420,75%,31.3%,24.7%
Zoe,1,0,1,0%,0,1,0,0,332,10.77,11.8,383,-nan%,-nan%,25.7%
