,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Thresh,4,3,1,75%,0.75,1.25,8.25,7.2,43,1.29,8,240,73.5%,6.1%,13%
Galio,3,1,2,33.3%,0.67,3.33,6.67,2.2,44.33,1.31,8.2,242,73.3%,6.7%,13.7%
Alistar,2,0,2,0%,0,4.5,4,0.89,34,1.19,5.7,201,61.5%,0%,12.2%
Leona,1,1,0,100%,0,5,13,2.6,43,1.01,10,236,56.5%,0%,12.3%
Maokai,1,1,0,100%,1,6,14,2.5,40,1.33,8.2,273,62.5%,4.2%,12.6%
Neeko,1,1,0,100%,3,2,10,6.5,29,0.87,9.5,283,68.4%,15.8%,14.2%
Pantheon,1,0,1,0%,3,5,7,2,40,1.1,8.7,239,71.4%,21.4%,14.6%
Pyke,1,0,1,0%,0,3,2,0.67,48,1.35,7.3,205,66.7%,0%,12.6%
Rakan,1,0,1,0%,0,5,6,1.2,29,0.81,7.5,210,100%,0%,11.8%
Rell,1,0,1,0%,0,4,11,2.75,50,1.22,8.6,209,61.1%,0%,11.8%
