team,year,playoffs,game,patch,playerid,player,champion,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
100 Thieves,2020.2222222222222,0.3492063492063492,1.4285714285714286,10.29015873015873,144.44444444444446,,,2017.873015873016,0.47619047619047616,11.904761904761905,12.634920634920634,27.46031746031746,11.904761904761905,12.634920634920634,1.2857142857142858,0.1746031746031746,0.031746031746031744,0.0,0.47619047619047616,,,,0.35415396825396833,0.7298666666666666,0.5238095238095238,2.5238095238095237,2.3015873015873014,2.3870967741935485,2.193548387096774,0.43548387096774194,0.5806451612903226,0.5806451612903226,0.7903225806451613,2.0,0.14516129032258066,0.08064516129032258,0.6190476190476191,1.0317460317460319,0.8888888888888888,0.3968253968253968,0.6507936507936508,0.6349206349206349,0.5873015873015873,6.031746031746032,6.079365079365079,0.47619047619047616,0.4444444444444444,1.0793650793650793,1.0476190476190477,62474.380952380954,1810.7125619047622,,2787.728373015873,2659.3724523809524,112.38095238095238,3.301288888888887,49.26984126984127,1.4337380952380954,44.507936507936506,255.6031746031746,7.502439682539683,58355.47619047619,36395.12698412698,1079.9254984126985,,54283.09523809524,0.005569213809523807,,854.9206349206349,214.76190476190476,136.28571428571428,25.3015873015873,31.93837619047619,15408.984126984127,18255.777777777777,316.6984126984127,15436.126984126984,18180.492063492064,314.07936507936506,-27.142857142857142,75.28571428571429,2.619047619047619,1.5238095238095237,2.5714285714285716,1.8095238095238095,1.7936507936507937,3.142857142857143,1.5555555555555556,24109.88888888889,28861.74603174603,501.41269841269843,24421.126984126986,29249.190476190477,502.8888888888889,-311.23809523809524,-387.44444444444446,-1.4761904761904763,2.746031746031746,4.984126984126984,3.634920634920635,3.619047619047619,6.603174603174603,2.7777777777777777
Afreeca Freecs,2020.1782945736434,0.046511627906976744,1.7829457364341086,10.195116279069774,154.26356589147287,,,2007.875968992248,0.4728682170542636,11.674418604651162,12.604651162790697,27.26356589147287,11.674418604651162,12.604651162790697,1.3565891472868217,0.35658914728682173,0.06976744186046512,0.015503875968992248,0.5968992248062015,,,,0.34994186046511616,0.7387085271317827,0.40310077519379844,2.302325581395349,2.3488372093023258,2.234375,2.3203125,0.6171875,0.484375,0.609375,0.5234375,1.0,0.078125,0.03125,0.46511627906976744,0.8682170542635659,0.9767441860465116,0.37209302325581395,0.5503875968992248,0.6511627906976745,0.43410852713178294,5.3023255813953485,6.038759689922481,0.5078125,0.4883720930232558,0.8372093023255814,0.9147286821705426,60686.767441860466,1785.515562015504,,2588.2247178294583,2432.9528248062015,121.0,3.580715503875969,63.17054263565891,1.8421503875968983,49.01550387596899,275.15503875968994,8.089575193798447,57714.24031007752,35855.90697674418,1067.12738372093,,53609.875968992244,-0.023959808333333322,,877.9767441860465,201.65891472868216,135.62790697674419,17.496124031007753,32.300013953488374,15498.875,18280.671875,320.546875,15662.0625,18429.8671875,324.7421875,-163.1875,-149.1953125,-4.1953125,1.7421875,2.53125,1.859375,1.859375,3.3203125,1.75,24329.0703125,29068.359375,508.4453125,24706.6015625,29478.765625,516.859375,-377.53125,-410.40625,-8.4140625,3.234375,5.734375,3.46875,3.46875,6.484375,3.2421875
Alpha Esports,2020.0,0.27450980392156865,1.2549019607843137,10.095882352941175,152.94117647058823,,,2051.5686274509803,0.4117647058823529,13.470588235294118,14.333333333333334,30.0,13.470588235294118,14.333333333333334,1.3529411764705883,0.1568627450980392,0.0392156862745098,0.0,0.6274509803921569,,,,0.4062039215686275,0.8171941176470586,0.5294117647058824,2.4705882352941178,2.7450980392156863,2.450980392156863,2.6666666666666665,0.5490196078431373,0.5882352941176471,0.7450980392156863,0.5686274509803921,,0.0196078431372549,0.0784313725490196,0.49019607843137253,1.1372549019607843,0.8627450980392157,0.35294117647058826,0.5294117647058824,0.8431372549019608,0.5294117647058824,5.549019607843137,6.588235294117647,0.5882352941176471,0.5098039215686274,0.7843137254901961,1.1372549019607843,64897.01960784314,1883.2034607843136,,2910.0092921568626,2801.6115333333323,114.88235294117646,3.324623529411764,51.19607843137255,1.4729941176470587,44.86274509803921,249.7450980392157,7.245121568627452,58833.78431372549,36529.82352941176,1073.137590196078,,55021.17647058824,-0.001942743921568631,,836.4705882352941,237.0392156862745,153.11764705882354,26.50980392156863,31.361480392156867,15547.156862745098,18108.392156862745,308.96078431372547,15318.058823529413,17969.78431372549,307.47058823529414,229.09803921568627,138.6078431372549,1.4901960784313726,2.392156862745098,3.843137254901961,1.9607843137254901,1.9607843137254901,3.2941176470588234,2.411764705882353,24378.960784313724,29124.980392156864,495.15686274509807,24296.058823529413,28755.86274509804,487.9019607843137,82.90196078431373,369.11764705882354,7.254901960784314,4.176470588235294,7.0588235294117645,3.843137254901961,3.843137254901961,7.294117647058823,4.196078431372549
Astralis,2021.0,0.0,1.0,11.015714285714283,142.85714285714286,,,2134.0,0.14285714285714285,9.285714285714286,19.0,19.857142857142858,9.285714285714286,19.0,0.42857142857142855,0.0,0.0,0.0,0.42857142857142855,,,,0.2726571428571429,0.8341571428571429,0.5714285714285714,2.142857142857143,3.2857142857142856,2.142857142857143,3.142857142857143,0.42857142857142855,0.2857142857142857,0.8571428571428571,0.5714285714285714,,0.0,0.14285714285714285,0.42857142857142855,0.7142857142857143,1.2857142857142858,0.2857142857142857,0.42857142857142855,0.8571428571428571,0.42857142857142855,3.4285714285714284,8.142857142857142,0.42857142857142855,0.2857142857142857,0.14285714285714285,1.2857142857142858,62483.28571428572,1769.8013571428571,,2907.182071428572,2608.475,111.0,3.1246857142857145,41.857142857142854,1.1745571428571429,46.285714285714285,245.57142857142858,6.894628571428571,57490.71428571428,34346.0,968.1344428571429,,54466.42857142857,-0.10192,,858.7142857142857,219.85714285714286,159.14285714285714,15.714285714285714,30.347714285714286,15742.857142857143,18477.571428571428,325.2857142857143,16298.0,18733.14285714286,334.0,-555.1428571428571,-255.57142857142858,-8.714285714285714,2.0,3.2857142857142856,2.5714285714285716,2.5714285714285716,4.428571428571429,2.0,24590.571428571428,29160.0,509.7142857142857,25773.85714285714,30044.85714285714,532.8571428571429,-1183.2857142857142,-884.8571428571429,-23.142857142857142,3.7142857142857144,5.857142857142857,4.142857142857143,4.142857142857143,7.571428571428571,3.7142857142857144
Berjaya Dragons,2020.0,0.28,1.28,10.095,144.0,,,2034.02,0.42,12.98,14.42,30.5,12.98,14.42,1.64,0.26,0.02,0.0,0.58,,,,0.37777600000000006,0.817024,0.5,2.24,2.7,2.16,2.54,0.48,0.56,0.46,0.66,,0.08,0.16,0.62,1.14,0.84,0.34,0.5,0.74,0.46,4.88,6.56,0.42,0.4,0.82,1.08,59257.1,1723.1124020000009,,2740.6768800000004,2510.8240879999994,122.52,3.5977719999999995,48.34,1.400752,54.48,254.12,7.3906100000000015,57268.74,35143.8,1028.3026579999998,,53468.46,-0.04778080800000001,,829.16,199.84,135.4,13.96,30.30906000000001,15332.22,17852.78,305.42,15506.18,18133.28,315.0,-173.96,-280.5,-9.58,2.06,3.9,2.02,2.02,4.08,2.06,24064.72,28247.46,478.72,24350.96,28869.5,498.4,-286.24,-622.04,-19.68,3.86,7.64,3.76,3.76,7.58,3.86
Cloud9,2020.2597402597403,0.4935064935064935,1.6493506493506493,10.333376623376617,146.75324675324674,,,1867.0,0.7402597402597403,15.441558441558442,9.376623376623376,35.4025974025974,15.441558441558442,9.376623376623376,1.7662337662337662,0.33766233766233766,0.05194805194805195,0.025974025974025976,0.5714285714285714,,,,0.5038142857142859,0.7986350649350648,0.6493506493506493,2.9220779220779223,1.5454545454545454,2.8947368421052633,1.486842105263158,0.7368421052631579,0.75,0.6973684210526315,0.7105263157894737,2.0,0.039473684210526314,0.02631578947368421,0.5844155844155844,1.3116883116883118,0.6753246753246753,0.6753246753246753,0.8961038961038961,0.44155844155844154,0.6753246753246753,7.688311688311688,3.8181818181818183,0.6753246753246753,0.6623376623376623,1.4285714285714286,0.44155844155844154,63047.98701298701,2003.0947311688317,,2625.061931168831,2558.954681818182,102.07792207792208,3.2547298701298697,43.33766233766234,1.3708441558441555,38.27272727272727,231.85714285714286,7.403654545454546,58170.98701298701,37749.57142857143,1219.3936948051946,,52611.194805194806,0.08578784493506492,,797.2727272727273,226.07792207792207,140.41558441558442,24.87012987012987,32.96526883116885,15831.42857142857,18454.909090909092,323.35064935064935,15249.324675324675,18015.844155844155,313.4155844155844,582.1038961038961,439.06493506493507,9.935064935064934,2.0259740259740258,3.3896103896103895,1.6103896103896105,1.6103896103896105,2.779220779220779,2.0259740259740258,25524.22077922078,29840.66233766234,512.3116883116883,23807.22077922078,28551.597402597403,493.27272727272725,1717.0,1289.064935064935,19.038961038961038,4.545454545454546,8.220779220779221,3.116883116883117,3.116883116883117,5.753246753246753,4.545454545454546
Counter Logic Gaming,2020.159090909091,0.09090909090909091,1.0,10.232499999999996,147.72727272727272,,,2099.568181818182,0.20454545454545456,10.295454545454545,15.204545454545455,25.318181818181817,10.295454545454545,15.204545454545455,0.8409090909090909,0.1590909090909091,0.0,0.0,0.4090909090909091,,,,0.28226590909090904,0.7339022727272727,0.36363636363636365,1.9090909090909092,3.3636363636363638,1.7727272727272727,3.1818181818181817,0.45454545454545453,0.3409090909090909,0.4318181818181818,0.5454545454545454,,0.13636363636363635,0.18181818181818182,0.36363636363636365,0.7045454545454546,1.25,0.22727272727272727,0.45454545454545453,1.1818181818181819,0.3409090909090909,4.159090909090909,8.477272727272727,0.3409090909090909,0.29545454545454547,0.6363636363636364,1.6590909090909092,62738.295454545456,1735.176063636363,,2751.953304545455,2654.5834090909098,117.0,3.3016840909090917,46.86363636363637,1.2946863636363637,44.11363636363637,239.3181818181818,6.68458181818182,58391.27272727273,35597.65909090909,1002.996434090909,,55396.318181818184,-0.06524452045454547,,900.75,209.02272727272728,146.0,15.181818181818182,31.810552272727275,15178.227272727272,18303.56818181818,327.47727272727275,15671.931818181818,18658.113636363636,331.15909090909093,-493.70454545454544,-354.54545454545456,-3.6818181818181817,0.8636363636363636,1.2727272727272727,1.6136363636363635,1.6136363636363635,2.409090909090909,0.8863636363636364,23692.386363636364,29094.68181818182,517.3409090909091,25070.477272727272,29969.5,524.3409090909091,-1378.090909090909,-874.8181818181819,-7.0,2.022727272727273,3.6136363636363638,3.590909090909091,3.590909090909091,6.5227272727272725,2.0454545454545454
DAMWON Gaming,2020.0,0.09734513274336283,1.7699115044247788,10.102654867256643,153.98230088495575,,,1893.2212389380531,0.6902654867256637,14.026548672566372,10.026548672566372,31.24778761061947,14.026548672566372,10.026548672566372,1.6460176991150441,0.35398230088495575,0.07079646017699115,0.017699115044247787,0.5221238938053098,,,,0.47198230088495585,0.7852911504424779,0.504424778761062,2.6371681415929205,1.9469026548672566,2.5575221238938055,1.8672566371681416,0.7256637168141593,0.5398230088495575,0.6637168141592921,0.6283185840707964,,0.07964601769911504,0.07964601769911504,0.7433628318584071,1.3628318584070795,0.5663716814159292,0.5752212389380531,0.7522123893805309,0.415929203539823,0.6991150442477876,7.619469026548672,3.938053097345133,0.7256637168141593,0.7433628318584071,1.2654867256637168,0.5398230088495575,63015.20353982301,2004.4424415929207,,2716.803059292035,2363.273485840709,114.86725663716814,3.591295575221238,55.389380530973455,1.7191646017699114,43.716814159292035,256.0353982300885,8.016876106194692,58583.38938053097,37894.54867256637,1217.7919610619467,,53557.03539823009,0.07464358661061946,,844.4690265486726,223.32743362831857,137.5929203539823,25.743362831858406,33.97340353982301,15915.256637168142,18617.194690265485,328.7699115044248,15541.973451327434,18284.495575221237,320.20353982300884,373.283185840708,332.6991150442478,8.56637168141593,1.991150442477876,3.2831858407079646,1.831858407079646,1.831858407079646,2.8849557522123894,1.991150442477876,25546.75221238938,30063.106194690266,525.1238938053098,24161.29203539823,29269.681415929204,509.78761061946904,1385.4601769911505,793.4247787610619,15.336283185840708,3.9026548672566372,6.495575221238938,3.3628318584070795,3.3628318584070795,5.654867256637168,3.9026548672566372
DRX,2020.1744966442952,0.10067114093959731,1.8187919463087248,10.219798657718144,145.63758389261744,,,1960.3355704697988,0.5771812080536913,12.060402684563758,11.013422818791947,28.02013422818792,12.060402684563758,11.013422818791947,1.3825503355704698,0.3087248322147651,0.06040268456375839,0.0,0.4228187919463087,,,,0.3778583892617451,0.7189060402684563,0.42953020134228187,2.348993288590604,2.315436241610738,2.295302013422819,2.2751677852348995,0.6375838926174496,0.5369127516778524,0.6912751677852349,0.42953020134228187,,0.053691275167785234,0.040268456375838924,0.40268456375838924,0.8523489932885906,1.0671140939597314,0.5033557046979866,0.6778523489932886,0.5100671140939598,0.5033557046979866,6.355704697986577,5.10738255033557,0.5369127516778524,0.5771812080536913,0.9865771812080537,0.6711409395973155,63377.161073825504,1938.2439073825508,,2738.910481208054,2574.862716778523,121.7248322147651,3.7021255033557035,59.46979865771812,1.7958416107382538,45.58389261744966,263.13422818791946,7.984677852348994,59102.12080536913,37728.69798657718,1156.3399543624164,,54548.342281879195,0.030810402382550332,,901.0335570469799,232.26845637583892,152.43624161073825,21.87248322147651,34.69624966442951,15706.630872483222,18766.120805369126,336.56375838926175,15481.127516778524,18476.1677852349,323.2147651006711,225.50335570469798,289.9530201342282,13.348993288590604,1.395973154362416,2.1140939597315436,1.5973154362416107,1.5906040268456376,2.6308724832214767,1.395973154362416,24968.77852348993,30258.342281879195,537.8255033557047,24343.53020134228,29490.28859060403,513.8389261744967,625.248322147651,768.0536912751678,23.986577181208055,3.0671140939597317,5.174496644295302,3.046979865771812,3.040268456375839,5.375838926174497,3.0671140939597317
DWG KIA,2021.0,0.0,1.7241379310344827,10.7248275862069,137.93103448275863,,,1973.4827586206898,0.8275862068965517,15.379310344827585,9.689655172413794,33.827586206896555,15.379310344827585,9.689655172413794,2.0,0.41379310344827586,0.10344827586206896,0.06896551724137931,0.5172413793103449,,,,0.48262758620689655,0.7757000000000001,0.5862068965517241,3.3448275862068964,1.3793103448275863,3.2758620689655173,1.3793103448275863,0.6896551724137931,0.9655172413793104,0.9655172413793104,0.6551724137931034,,0.06896551724137931,0.0,0.7586206896551724,1.3793103448275863,0.5172413793103449,0.8275862068965517,1.1724137931034482,0.27586206896551724,0.7931034482758621,8.586206896551724,3.3448275862068964,0.896551724137931,0.7241379310344828,1.7586206896551724,0.27586206896551724,69813.5172413793,2156.231827586207,,2681.5532137931023,2415.1918413793105,124.86206896551724,3.765268965517241,60.96551724137931,1.811406896551724,50.310344827586206,288.0344827586207,8.680672413793104,62605.8275862069,41098.41379310345,1255.7038241379312,,56938.55172413793,0.0842851744827586,,872.3103448275862,270.51724137931035,164.75862068965517,33.310344827586206,34.7908103448276,15852.793103448275,19001.51724137931,340.0689655172414,15327.48275862069,18373.03448275862,324.1034482758621,525.3103448275862,628.4827586206897,15.96551724137931,1.5862068965517242,2.896551724137931,1.2413793103448276,1.2413793103448276,2.206896551724138,1.5862068965517242,25626.41379310345,30775.03448275862,549.0,23927.862068965518,29688.310344827587,524.2068965517242,1698.551724137931,1086.7241379310344,24.79310344827586,3.413793103448276,6.172413793103448,2.5517241379310347,2.5517241379310347,5.068965517241379,3.413793103448276
