,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
214,TRLH1/1000050112,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000050112?gameHash=e78c7ec7a9223a7d&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-01-18 01:48:23,1,,100,Blue,team,,Counter Logic Gaming,,Gragas,Yasuo,Kayle,,,2387,1,15,8,46,15,8,4,0,0,0,1,,,,0.377,0.5781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,1.0,0.0,0.0,10.0,3.0,0.0,1.0,3,0,76985,1935.1068,,2639.623,0.0,96,2.4131,7,0.176,2,0,0.0,65739,41543,1044.2313,,46505,0.113792,,839,140,116,24,24.6083,13008,17133,254,12870,17328,258,138,-195,-4,2,3,0,0,0,2,19781,28616,437,20826,29091,446,-1045,-475,-9,2,3,1,1,1,2
239,TRLH1/1000040148,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000040148?gameHash=5fe7db880014835b&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-01-18 20:58:53,1,,200,Red,team,,Counter Logic Gaming,,Kassadin,Yasuo,Kha'Zix,,,1846,0,12,17,17,12,17,0,0,0,0,0,,,,0.39,0.9426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,1.0,1.0,5.0,9.0,0.0,1.0,0,2,55633,1808.2232,,3109.9567,0.0,69,2.2427,13,0.4225,7,0,0.0,46637,27580,896.4247,,36580,0.0639555,,699,147,131,16,27.4973,12904,18412,253,15509,19046,256,-2605,-634,-3,2,2,6,6,8,3,22128,31718,428,22833,30586,447,-705,1132,-19,6,8,7,7,10,7
263,TRLH1/1000040161,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000040161?gameHash=f1b739e3e2eb137a&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-01-18 22:43:54,1,,200,Red,team,,Counter Logic Gaming,,Kassadin,Ziggs,Gragas,,,1982,0,3,16,6,3,16,0,0,0,0,1,,,,0.0908,0.5752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,1.0,1.0,2.0,10.0,0.0,0.0,0,2,59894,1813.1382,,2848.002,0.0,71,2.1493,10,0.3027,4,0,0.0,43125,22776,689.4854,,35530,-0.048258,,725,132,123,9,25.9435,14014,14154,210,15915,15275,189,-1901,-1121,21,2,5,7,7,9,2,20673,24948,351,24639,26906,362,-3966,-1958,-11,3,6,10,10,19,3
286,TRLH1/1000050209,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000050209?gameHash=d5c8b16b2902dd08&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-01-19 20:04:22,1,,100,Blue,team,,Counter Logic Gaming,,Pantheon,Yasuo,Kassadin,,,1495,1,4,0,15,4,0,0,0,0,0,1,,,,0.1605,0.1605,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,1.0,0.0,1.0,9.0,1.0,1.0,1.0,1,0,26096,1047.3311,,1827.7726,0.0,54,2.1672,7,0.2809,4,0,0.0,43145,27423,1100.5886,,23490,-0.0347208,,600,89,59,30,27.6522,14430,16944,262,12987,15926,261,1443,1018,1,0,0,0,0,0,0,22647,24540,388,18338,23612,383,4309,928,5,0,0,0,0,0,0
479,TRLH1/1000060034,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000060034?gameHash=95e3f783a9e0fc49&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-01-25 22:59:18,1,,200,Red,team,,Counter Logic Gaming,,Kassadin,Zed,LeBlanc,,,2319,0,12,23,24,12,23,2,0,0,0,0,,,,0.3105,0.9056,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,1.0,1.0,0.0,1.0,11.0,0.0,0.0,0,4,87052,2252.3157,,3599.2238,0.0,97,2.5097,11,0.2846,9,0,0.0,56861,33311,861.8629,,40455,-0.047303,,916,111,95,16,26.5718,12996,17624,275,12960,18911,297,36,-1287,-22,0,0,0,0,0,0,21677,29516,460,20383,30499,463,1294,-983,-3,2,3,2,2,2,2
551,TRLH1/1000060082,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000060082?gameHash=2632541d406da835&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-01-26 23:09:21,1,,200,Red,team,,Counter Logic Gaming,,Kassadin,Kayle,Gragas,,,1487,0,5,18,9,5,18,0,0,0,0,0,,,,0.2017,0.928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,1.0,1.0,3.0,10.0,0.0,0.0,0,1,28998,1170.0605,,2416.0188,0.0,52,2.0982,5,0.2017,4,0,0.0,34295,18649,752.4815,,26795,-0.195775,,504,81,71,10,23.6046,13000,15203,227,14942,15871,221,-1942,-668,6,1,3,3,3,9,1,18615,23430,350,24189,27002,370,-5574,-3572,-20,1,3,6,6,14,1
695,TRLH1/1000060117,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000060117?gameHash=742f16f6453c1035&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-02-01 22:05:44,1,,200,Red,team,,Counter Logic Gaming,,Pantheon,Thresh,Vi,,,2579,1,13,7,32,13,7,2,1,0,0,0,,,,0.3024,0.4653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,3.0,0.0,0.0,10.0,7.0,0.0,0.0,2,1,61460,1429.8565,,3194.7499,0.0,120,2.7918,33,0.7677,21,0,0.0,74747,48727,1133.6254,,50025,0.0682171,,1020,189,139,50,28.1272,12326,15150,234,14194,14512,205,-1868,638,29,0,0,2,2,5,0,19640,24714,378,22618,24337,354,-2978,377,24,0,0,3,3,8,0
743,TRLH1/1000070157,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000070157?gameHash=2320be9cbb946de2&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-02-02 19:58:51,1,,200,Red,team,,Counter Logic Gaming,,Olaf,Kassadin,Kha'Zix,,,2731,0,10,21,26,10,21,0,0,0,0,1,,,,0.2197,0.6811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,1.0,1.0,7.0,8.0,1.0,1.0,0,1,88840,1951.8125,,2398.1106,0.0,120,2.6364,26,0.5712,25,0,0.0,63106,35642,783.0538,,43540,-0.179062,,918,197,168,29,24.4965,12803,17646,270,13549,18916,275,-746,-1270,-5,1,2,2,2,2,1,20760,29499,443,21679,29211,425,-919,288,18,3,4,4,4,4,3
766,TRLH1/1000070165,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000070165?gameHash=3362aeaff1727fad&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-02-02 22:29:31,1,,100,Blue,team,,Counter Logic Gaming,,Olaf,Vi,LeBlanc,,,2132,1,17,9,38,17,9,3,0,0,0,0,,,,0.4784,0.7317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,1.0,0.0,1.0,8.0,2.0,1.0,1.0,1,0,68562,1929.5122,,2495.4878,0.0,95,2.6735,18,0.5066,17,0,0.0,62673,40899,1151.0038,,38575,-0.0187468,,975,115,90,25,30.6754,13707,18146,267,13146,17030,252,561,1116,15,3,6,2,2,3,3,21449,29975,443,20032,27205,414,1417,2770,29,5,9,2,2,3,5
994,TRLH1/1000060242,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000060242?gameHash=db2d987d82ff3416&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-02-09 20:03:00,1,,100,Blue,team,,Counter Logic Gaming,,Soraka,Gragas,Kayle,,,1834,1,19,6,47,19,6,2,0,0,0,0,,,,0.6216,0.8179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,1.0,0.0,1.0,9.0,1.0,1.0,1.0,2,0,71105,2326.2268,,2694.7983,0.0,64,2.0938,14,0.458,6,0,0.0,56431,37488,1226.434,,36590,0.0804549,,703,131,104,27,27.2846,12274,16887,260,14077,17023,244,-1803,-136,16,0,0,3,3,3,0,19284,28485,439,20290,27173,408,-1006,1312,31,1,2,3,3,3,1
1186,TRLH1/1000060290,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000060290?gameHash=cd590a6a65ac2fba&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-02-15 19:58:55,1,,100,Blue,team,,Counter Logic Gaming,,Lee Sin,Annie,Kassadin,,,2062,1,28,7,64,28,7,3,0,0,0,1,,,,0.8147,1.0184,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,1.0,0.0,0.0,8.0,3.0,0.0,0.0,3,0,84972,2472.5121,,2907.1193,0.0,78,2.2696,20,0.582,5,0,0.0,68201,47092,1370.2813,,46525,0.316261,,807,153,121,32,27.934,13549,17742,257,12989,17399,298,560,343,-41,1,3,0,0,0,1,21787,29915,446,19481,27502,475,2306,2413,-29,4,8,0,0,0,4
1294,TRLH1/1000060344,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000060344?gameHash=46172f6df8ad2fb9&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-02-16 23:35:04,1,,100,Blue,team,,Counter Logic Gaming,,Gragas,Kassadin,Sivir,,,2521,0,13,27,28,13,27,1,0,0,0,1,,,,0.3094,0.952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,1.0,1.0,1.0,4.0,10.0,1.0,1.0,0,3,99150,2359.7779,,4107.5129,0.0,106,2.5228,15,0.357,8,0,0.0,61733,36264,863.0861,,45335,-0.0854141,,913,182,158,24,26.0611,12607,17343,287,12856,18241,288,-249,-898,-1,0,0,0,0,0,0,20703,29275,474,21635,30243,458,-932,-968,16,1,1,2,2,5,1
1462,TRLH1/1000070432,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000070432?gameHash=0c25bfbc056ef40d&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-02-22 23:27:35,1,,100,Blue,team,,Counter Logic Gaming,,Pantheon,Annie,Kassadin,,,1396,1,20,4,43,20,4,2,1,0,0,1,,,,0.8596,1.0315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,1.0,0.0,1.0,7.0,1.0,1.0,1.0,1,0,50865,2186.1748,,2530.5301,0.0,54,2.3209,9,0.3868,6,0,0.0,45532,30750,1321.6332,,26672,0.147418,,532,107,83,24,27.4642,14420,18555,264,13382,17476,254,1038,1079,10,4,4,3,3,5,4,25901,32279,446,20568,28965,431,5333,3314,15,8,10,3,3,5,8
