,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
215,TRLH1/1000050112,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000050112?gameHash=e78c7ec7a9223a7d&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-01-18 01:48:23,1,,200,Red,team,,Dignitas,,Kassadin,LeBlanc,Ziggs,,,2387,0,8,15,20,8,15,3,0,0,0,0,,,,0.2011,0.5781,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,1.0,1.0,3.0,10.0,1.0,0.0,0,3,65268,1640.5865,,2570.4483,0.0,87,2.1868,14,0.3519,5,0,0.0,54448,30252,760.4189,,41498,-0.113792,,820,132,111,21,23.9296,12870,17328,258,13008,17133,254,-138,195,4,0,0,2,2,3,0,20826,29091,446,19781,28616,437,1045,475,9,1,1,2,2,3,1
250,TRLH1/1000040155,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000040155?gameHash=fa0edfb5c9219b57&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-01-18 21:55:08,1,,100,Blue,team,,Dignitas,,Renekton,Zed,Shyvana,,,1368,0,3,19,8,3,19,0,0,0,0,0,,,,0.1316,0.9649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,1.0,0.0,1.0,9.0,0.0,0.0,0,2,22891,1003.9912,,2777.3684,0.0,38,1.6667,2,0.0877,1,0,0.0,29375,14859,651.7105,,20583,-0.41465,,503,96,85,11,26.2719,12667,14839,224,13087,15524,215,-420,-685,9,1,2,2,2,1,1,18933,25510,395,22731,26276,375,-3798,-766,20,1,2,5,5,8,1
275,TRLH1/1000040167,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000040167?gameHash=b29004efa66873d6&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-01-18 23:41:06,1,,200,Red,team,,Dignitas,,LeBlanc,Kassadin,Ziggs,,,1860,1,15,3,40,15,3,3,0,0,0,1,,,,0.4839,0.5806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,2.0,0.0,0.0,10.0,2.0,1.0,1.0,3,0,41164,1327.871,,1790.5806,0.0,77,2.4839,13,0.4194,7,0,0.0,58067,38877,1254.0968,,39415,0.205343,,654,179,118,61,26.871,13900,16353,238,12952,15590,242,948,763,-4,1,1,0,0,0,1,25671,30265,427,20580,25419,406,5091,4846,21,7,14,0,0,0,7
298,TRLH1/1000050213,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000050213?gameHash=418dbae778c9e647&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-01-19 20:50:22,1,,100,Blue,team,,Dignitas,,Zed,Kha'Zix,Yasuo,,,2263,1,19,3,44,19,3,2,0,0,0,1,,,,0.5038,0.5833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,2.0,0.0,1.0,11.0,5.0,0.0,0.0,5,1,79564,2109.5183,,2298.6655,0.0,93,2.4658,13,0.3447,7,0,0.0,70375,47357,1255.5988,,47230,0.102311,,888,155,131,24,27.6536,13522,18880,284,13309,17462,281,213,1418,3,2,1,0,0,0,2,20875,30238,433,20815,28859,468,60,1379,-35,5,9,0,0,0,5
442,TRLH1/1000060015,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000060015?gameHash=ca5d4a4f134f956e&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-01-25 19:57:59,1,,100,Blue,team,,Dignitas,,Olaf,Zed,Kha'Zix,,,2314,1,17,11,40,17,11,2,1,0,0,0,,,,0.4408,0.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,2.0,0.0,0.0,11.0,4.0,0.0,0.0,3,0,71531,1854.7364,,2388.5134,0.0,94,2.4373,20,0.5186,7,0,0.0,74202,50699,1314.5808,,48905,0.123535,,972,200,178,22,30.3889,13167,18049,286,14892,18401,259,-1725,-352,27,1,2,5,5,6,1,20361,30901,485,23124,30288,455,-2763,613,30,1,2,6,6,9,1
467,TRLH1/1000060025,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000060025?gameHash=df797e125d8a9e9c&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-01-25 22:07:10,1,,200,Red,team,,Dignitas,,Olaf,Kassadin,Thresh,,,1699,1,18,6,54,18,6,2,1,0,0,0,,,,0.6357,0.8476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,1.0,0.0,1.0,10.0,3.0,0.0,1.0,2,0,52643,1859.0818,,2162.9665,0.0,72,2.5427,20,0.7063,8,0,0.0,52208,34548,1220.0589,,36790,0.203489,,585,110,94,16,24.5438,13425,16473,244,13855,16962,245,-430,-489,-1,0,0,1,1,1,0,20965,25763,392,20892,26925,397,73,-1162,-5,2,5,2,2,2,2
550,TRLH1/1000060082,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000060082?gameHash=2632541d406da835&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-01-26 23:09:21,1,,100,Blue,team,,Dignitas,,LeBlanc,Nidalee,Ziggs,,,1487,1,18,5,47,18,5,4,1,0,0,1,,,,0.7263,0.928,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,1.0,0.0,0.0,10.0,3.0,1.0,1.0,1,0,44238,1784.9899,,2144.8285,0.0,59,2.3806,3,0.121,7,0,0.0,50454,34808,1404.4923,,32610,0.195775,,511,105,76,29,24.8554,14942,15871,221,13000,15203,227,1942,668,-6,3,9,1,1,3,3,24189,27002,370,18615,23430,350,5574,3572,20,6,14,1,1,3,6
934,TRLH1/1000060196,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000060196?gameHash=fbdb1c8cd3cd0632&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-02-08 21:00:14,1,,100,Blue,team,,Dignitas,,Zed,LeBlanc,Nidalee,,,2510,1,21,9,58,21,9,5,0,0,0,0,,,,0.502,0.7171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,1.0,0.0,1.0,10.0,4.0,0.0,0.0,2,0,83294,1991.0916,,2343.2032,0.0,93,2.2231,31,0.741,13,0,0.0,76800,51435,1229.5219,,54435,0.246989,,935,256,210,46,28.4701,15093,15862,231,13718,15386,214,1375,476,17,4,13,2,2,5,4,23042,27746,397,22252,25719,365,790,2027,32,7,16,4,4,8,7
959,TRLH1/1000060215,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000060215?gameHash=003ddad8fb41832c&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-02-08 23:16:13,1,,200,Red,team,,Dignitas,,Kassadin,Ziggs,Wukong,,,2421,0,13,19,25,13,19,1,0,0,0,0,,,,0.3222,0.7931,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,1.0,0.0,3.0,8.0,0.0,0.0,0,1,56951,1411.425,,2595.7373,0.0,89,2.2057,21,0.5204,12,0,0.0,62552,38033,942.5774,,47398,-0.0757551,,959,206,192,14,28.8724,13320,18605,290,13752,16848,235,-432,1757,55,1,1,3,3,5,1,22578,30891,458,24657,30504,419,-2079,387,39,5,7,7,7,12,5
1031,TRLH1/1000060257,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000060257?gameHash=1fc8abb7271ec1f4&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-02-09 23:01:10,1,,200,Red,team,,Dignitas,,Kassadin,LeBlanc,Elise,,,3032,0,9,21,11,9,21,0,0,0,0,1,,,,0.1781,0.5937,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,2.0,1.0,5.0,9.0,1.0,1.0,0,3,109172,2160.3958,,2882.3747,0.0,115,2.2757,34,0.6728,17,0,0.0,72452,42128,833.6675,,54943,-0.0580881,,1157,187,163,24,26.5963,15401,18672,269,12905,17008,234,2496,1664,35,4,3,2,2,3,4,23628,29882,420,21223,27625,376,2405,2257,44,7,6,4,4,6,7
