,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
166,TRLH1/1000050059,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000050059?gameHash=5157023648d21a16&amp;tab=overview,NA LCS,2014,Spring,0,2014-01-17 21:14:53,1,,100,Blue,team,,Evil Geniuses,,Kha'Zix,Vi,Elise,,,1815,0,3,23,9,3,23,0,0,0,0,1,,,,0.0992,0.8595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,0,3,35207,1163.8678,,2638.4132,0.0,78,2.5785,11,0.3636,5,0,0.0,37913,19151,633.0909,,31685,-0.211529,,660,100,96,4,25.124,12250,16639,224,15113,18655,278,-2863,-2016,-54,1,1,3,3,3,1,18582,25176,350,25107,30447,426,-6525,-5271,-76,3,9,8,8,14,3
203,TRLH1/1000050100,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000050100?gameHash=ee44f4c5ef10daed&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-01-18 00:40:58,1,,200,Red,team,,Evil Geniuses,,Kassadin,Elise,Kha'Zix,,,2358,0,17,26,47,17,26,1,1,0,0,0,,,,0.4326,1.0941,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,2.0,0.0,2.0,10.0,0.0,0.0,0,2,106951,2721.3995,,3295.6489,0.0,108,2.7481,14,0.3562,11,0,0.0,59207,35286,897.8626,,44800,-0.168157,,904,125,107,18,26.1832,13406,17035,257,13709,18529,282,-303,-1494,-25,1,2,1,1,1,1,20740,26759,392,23757,31942,470,-3017,-5183,-78,3,8,5,5,4,3
262,TRLH1/1000040161,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000040161?gameHash=f1b739e3e2eb137a&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-01-18 22:43:54,1,,100,Blue,team,,Evil Geniuses,,LeBlanc,Jinx,Annie,,,1982,1,16,3,33,16,3,1,0,0,0,0,,,,0.4844,0.5752,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,1.0,0.0,0.0,10.0,2.0,1.0,1.0,2,0,66280,2006.4581,,2881.4834,0.0,82,2.4823,13,0.3935,8,0,0.0,59759,39410,1193.0373,,37287,0.048258,,769,141,91,50,27.5479,15915,15275,189,14014,14154,210,1901,1121,-21,7,9,2,2,5,7,24639,26906,362,20673,24948,351,3966,1958,11,10,19,3,3,6,10
311,TRLH1/1000050224,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000050224?gameHash=4a4f0ddbd1b15c3c&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-01-19 21:51:54,1,,200,Red,team,,Evil Geniuses,,Kassadin,Annie,Kayle,,,2228,0,11,16,25,11,16,1,0,0,0,1,,,,0.2962,0.7271,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,2.0,1.0,2.0,10.0,1.0,0.0,0,2,69452,1870.3411,,2678.4829,0.0,98,2.6391,20,0.5386,11,0,0.0,53464,30778,828.851,,41697,0.0834177,,851,153,143,10,27.0377,13585,16650,246,12528,17484,244,1057,-834,2,4,11,2,2,1,4,20683,27915,412,18797,28054,400,1886,-139,12,4,11,3,3,2,4
466,TRLH1/1000060025,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000060025?gameHash=df797e125d8a9e9c&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-01-25 22:07:10,1,,100,Blue,team,,Evil Geniuses,,Gragas,Renekton,Kayle,,,1699,0,6,18,13,6,18,0,0,0,0,1,,,,0.2119,0.8476,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,1.0,0.0,3.0,10.0,1.0,0.0,0,2,42746,1509.5703,,2794.538,0.0,84,2.9665,8,0.2825,11,0,0.0,41415,23755,838.9052,,29995,-0.203489,,639,96,77,19,25.9564,13855,16962,245,13425,16473,244,430,489,1,1,1,0,0,0,1,20892,26925,397,20965,25763,392,-73,1162,5,2,2,2,2,5,2
515,TRLH1/1000060065,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000060065?gameHash=5e44cdfdb732ff68&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-01-26 19:58:55,1,,200,Red,team,,Evil Geniuses,,Kassadin,LeBlanc,Olaf,,,2450,1,16,11,30,16,11,0,0,0,0,0,,,,0.3918,0.6612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,1.0,1.0,0.0,10.0,3.0,1.0,1.0,2,0,102360,2506.7755,,3377.1918,0.0,95,2.3265,18,0.4408,9,0,0.0,70287,45492,1114.0898,,40192,-0.114092,,878,139,118,21,24.9061,13670,17142,225,13525,17755,254,145,-613,-29,3,4,2,2,1,3,21012,28848,400,19669,27883,407,1343,965,-7,5,7,2,2,1,5
706,TRLH1/1000060124,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000060124?gameHash=9de455d42b7caeb7&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-02-01 23:18:06,1,,100,Blue,team,,Evil Geniuses,,Draven,Annie,Elise,,,1925,0,6,19,11,6,19,0,0,0,0,0,,,,0.187,0.7792,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,6.0,9.0,0.0,0.0,0,1,58669,1828.6442,,3113.4857,0.0,80,2.4935,17,0.5299,7,0,0.0,43656,23849,743.3455,,35568,-0.0429723,,654,101,89,12,23.5325,12621,16633,227,13661,18711,277,-1040,-2078,-50,2,3,2,2,2,2,21031,27297,358,24439,29821,412,-3408,-2524,-54,4,6,5,5,11,4
755,TRLH1/1000070160,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000070160?gameHash=28d7637de54f4966&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-02-02 21:11:42,1,,200,Red,team,,Evil Geniuses,,Kassadin,Annie,Pantheon,,,2657,1,18,10,40,18,10,2,1,1,0,1,,,,0.4065,0.6323,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,2.0,0.0,1.0,11.0,2.0,1.0,1.0,4,0,75277,1699.8946,,2669.1983,0.0,120,2.7098,36,0.8129,14,0,0.0,79192,52431,1183.9895,,50233,0.0203714,,1038,156,129,27,26.9627,14457,18259,290,13186,17988,267,1271,271,23,3,1,1,1,1,3,23187,29625,469,19717,29730,422,3470,-105,47,5,3,2,2,1,5
946,TRLH1/1000060203,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000060203?gameHash=a9681c931b28162c&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-02-08 22:04:38,1,,100,Blue,team,,Evil Geniuses,,Elise,Vi,Olaf,,,2172,0,17,31,33,17,31,2,0,0,0,1,,,,0.4696,1.326,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,1.0,1.0,2.0,7.0,0.0,0.0,0,0,74667,2062.6243,,3446.2707,0.0,91,2.5138,12,0.3315,12,0,0.0,53788,31634,873.8674,,40199,-0.154612,,702,91,81,10,21.9061,12626,17166,242,13128,18779,287,-502,-1613,-45,1,1,1,1,0,1,21668,28351,382,20302,29860,437,1366,-1509,-55,6,10,4,4,4,6
995,TRLH1/1000060242,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000060242?gameHash=db2d987d82ff3416&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-02-09 20:03:00,1,,200,Red,team,,Evil Geniuses,,Kassadin,Elise,Annie,,,1834,0,6,19,13,6,19,0,0,0,0,1,,,,0.1963,0.8179,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,1.0,0.0,1.0,9.0,0.0,0.0,0,2,53620,1754.1985,,2996.892,0.0,66,2.1592,18,0.5889,7,0,0.0,41367,22424,733.6096,,33760,-0.0804549,,705,85,77,8,25.8451,14077,17023,244,12274,16887,260,1803,136,-16,3,3,0,0,0,3,20290,27173,408,19284,28485,439,1006,-1312,-31,3,3,1,1,2,3
