,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
599,TRLH3/10107,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10107?gameHash=dffca71578a233e4&amp;tab=overview,EU LCS,2015,Spring,0,2015-01-22 17:00:15,1,5.01,200,Red,team,,Fnatic,,Rek'Sai,Lee Sin,Kassadin,,,2102,1,27,11,72,27,11,3,0,0,0,1,,,,0.7707,1.0847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,1.0,0.0,1.0,11.0,3.0,1.0,1.0,4,0,94515,2697.8592,,2214.4339,0.0,93,2.6546,33,0.942,21,0,0.0,67426,45937,1311.2369,,62370,0.243364,,693,130,103,27,23.4919,15552,16494,245,14430,17083,279,1122,-589,-34,4,5,2,2,2,4,23145,26616,415,22001,26550,448,1144,66,-33,4,5,2,2,2,4
742,TRLH3/10253,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10253?gameHash=f2d7653c90c44335&amp;tab=overview,EU LCS,2015,Spring,0,2015-01-23 20:29:56,1,5.01,100,Blue,team,,Fnatic,,Lee Sin,Kassadin,Lissandra,,,2018,1,21,6,56,21,6,2,1,0,0,0,,,,0.6244,0.8028,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,1.0,0.0,0.0,11.0,3.0,1.0,1.0,2,0,77609,2307.5025,,2255.4708,0.0,103,3.0624,27,0.8028,19,0,0.0,63805,43114,1281.8831,,58143,0.303126,,761,132,100,32,26.551,13417,17679,274,13596,17660,276,-179,19,-2,0,0,1,1,0,0,20189,28476,446,21043,29237,457,-854,-761,-11,0,0,2,2,1,0
1282,TRLH3/1001010047,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001010047?gameHash=6161b0288893ebd9&amp;tab=overview,EU LCS,2015,Spring,0,2015-01-29 18:57:55,1,5.01,100,Blue,team,,Fnatic,,Lee Sin,Azir,Jarvan IV,,,3164,1,17,15,48,17,15,2,1,0,0,0,,,,0.3224,0.5879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,3.0,1.0,0.0,9.0,6.0,1.0,1.0,1,0,92641,1756.7826,,1932.8192,0.0,161,3.0531,63,1.1947,39,0,0.0,87645,56067,1063.2174,,79827,0.0976469,,1178,205,170,35,26.2263,14693,17960,263,14823,17222,278,-130,738,-15,2,3,2,1,2,2,23593,27987,439,22818,27202,419,775,785,20,3,6,5,4,3,3
1367,TRLH3/1001010086,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001010086?gameHash=d2e8a3d25959c3ee&amp;tab=overview,EU LCS,2015,Spring,0,2015-01-30 16:49:21,1,5.01,200,Red,team,,Fnatic,,Azir,Rek'Sai,Kassadin,,,2544,1,26,17,54,26,17,2,0,0,0,0,,,,0.6132,0.9906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,2.0,0.0,1.0,11.0,5.0,1.0,1.0,2,0,103147,2432.7123,,2928.3726,0.0,143,3.3726,47,1.1085,21,0,0.0,78535,52847,1246.3915,,70718,0.0848928,,943,163,125,38,26.0849,13455,18154,256,13924,16521,248,-469,1633,8,1,1,4,3,5,1,22508,28075,404,20778,25588,383,1730,2487,21,5,9,6,5,9,5
1954,TRLH3/1001020048,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001020048?gameHash=cdef03e7d308124a&amp;tab=overview,EU LCS,2015,Spring,0,2015-02-05 18:06:21,1,5.02,100,Blue,team,,Fnatic,,Azir,Kassadin,Jarvan IV,,,2694,0,21,18,48,21,18,2,0,0,0,1,,,,0.4677,0.8686,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,1.0,1.0,1.0,5.0,11.0,0.0,1.0,0,4,95978,2137.5947,,3265.1448,0.0,138,3.0735,29,0.6459,32,0,0.0,74760,47647,1061.1804,,72855,0.0267902,,986,203,155,48,26.4811,14443,16770,257,12624,15933,232,1819,837,25,1,1,0,0,0,1,21178,26597,420,19926,26873,422,1252,-276,-2,1,1,0,0,0,1
2026,TRLH3/1001020080,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001020080?gameHash=91ad5b326a3561b9&amp;tab=overview,EU LCS,2015,Spring,0,2015-02-06 16:32:19,1,5.02,100,Blue,team,,Fnatic,,Jax,Jarvan IV,Thresh,,,1975,1,25,9,67,25,9,4,1,0,0,0,,,,0.7595,1.0329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,2.0,0.0,0.0,9.0,1.0,0.0,1.0,1,0,68995,2096.0506,,2283.7367,0.0,84,2.5519,21,0.638,15,0,0.0,67317,47035,1428.9114,,54628,0.167176,,801,135,113,22,28.4354,13351,17751,265,14911,17919,273,-1560,-168,-8,0,0,3,3,4,0,21724,29773,441,22033,28416,444,-309,1357,-3,3,3,4,4,5,3
2483,TRLH3/1001020167,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001020167?gameHash=baf388c1f45dd01b&amp;tab=overview,EU LCS,2015,Spring,0,2015-02-12 19:40:47,1,5.02,200,Red,team,,Fnatic,,Ahri,Kassadin,Zed,,,2232,1,18,8,41,18,8,4,1,0,0,1,,,,0.4839,0.6989,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,2.0,0.0,1.0,11.0,2.0,1.0,1.0,3,0,63948,1719.0323,,2371.7204,0.0,114,3.0645,31,0.8333,22,0,0.0,67455,44731,1202.4462,,58460,0.182565,,797,142,96,46,25.2419,15804,17959,265,13120,15109,212,2684,2850,53,4,4,2,2,5,4,23695,27956,435,19639,24662,378,4056,3294,57,5,6,2,2,5,5
2627,TRLH3/1001020233,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001020233?gameHash=3c8097a288cb52f9&amp;tab=overview,EU LCS,2015,Spring,0,2015-02-13 20:16:15,1,5.02,200,Red,team,,Fnatic,,Kassadin,Kalista,Ahri,,,2880,0,22,28,57,22,28,4,0,0,0,0,,,,0.4583,1.0417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,1.0,1.0,0.0,4.0,9.0,0.0,0.0,0,2,100667,2097.2292,,2688.7708,0.0,147,3.0625,47,0.9792,26,0,0.0,76571,47691,993.5625,,74718,-0.0031002,,1035,149,141,8,24.6667,12806,16998,245,14017,17632,276,-1211,-634,-31,0,0,1,1,1,0,20245,25787,364,25322,27806,426,-5077,-2019,-62,2,4,5,5,6,2
3142,TRLH3/1001040042,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1001040042?gameHash=d2705bfb515f0edc&amp;tab=overview,EU LCS,2015,Spring,0,2015-02-19 19:21:01,1,5.03,100,Blue,team,,Fnatic,,Kennen,Gnar,Kassadin,,,2612,1,29,14,67,29,14,6,2,0,0,1,,,,0.6662,0.9877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,2.0,1.0,0.0,10.0,4.0,0.0,0.0,2,0,118880,2730.781,,2767.925,0.0,168,3.8591,34,0.781,24,0,0.0,82591,56257,1292.2741,,74388,0.149414,,979,196,138,58,26.9908,14707,18092,240,13180,16896,264,1527,1196,-24,4,5,0,0,0,4,22243,28485,406,21859,27377,413,384,1108,-7,6,8,2,2,2,6
3178,TRLH3/1001040091,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1001040091?gameHash=b1712b7956fc3028&amp;tab=overview,EU LCS,2015,Spring,0,2015-02-20 16:43:34,1,5.03,100,Blue,team,,Fnatic,,Nidalee,Gnar,Kassadin,,,2312,0,9,33,18,9,33,1,0,0,0,1,,,,0.2336,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,1.0,1.0,5.0,8.0,0.0,1.0,0,2,61709,1601.4446,,3489.109,0.0,119,3.0882,39,1.0121,17,0,0.0,55377,31893,827.673,,53645,-0.220877,,806,140,124,16,24.5502,13651,16164,255,14112,17363,271,-461,-1199,-16,1,2,2,2,5,1,20399,27559,428,21576,29444,456,-1177,-1885,-28,1,2,3,3,6,1
