,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
154,TRKR1/890077,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/890077?gameHash=9b718807eacaab99&amp;tab=builds&amp;participant=10,LCK,2016,Spring,0,2016-01-13 10:05:54,1,5.24,100,Blue,team,,Afreeca Freecs,,Lulu,Gangplank,Ryze,,,2354,0,5,16,11,5,16,1.0,0.0,0.0,0.0,1.0,,,,0.1274,0.5353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,9.0,0.0,0.0,0.0,2.0,38371.0,978.0204,,2603.0671,0.0,133.0,3.39,74.0,1.8862,21.0,0.0,0.0,63878,38591.0,983.6279,,61020.0,-0.119134,,1014.0,175.0,147.0,28.0,30.3059,15148.0,14370.0,209.0,15130.0,15456.0,251.0,18.0,-1086.0,-42.0,1.0,3.0,0.0,0.0,0.0,1.0,23014.0,24831.0,385.0,22822.0,26100.0,429.0,192.0,-1269.0,-44.0,1.0,3.0,0.0,0.0,0.0,1.0
167,TRKR1/890083,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/890083?gameHash=073bec0dc2b00865&amp;tab=overview&amp;participant=10,LCK,2016,Spring,0,2016-01-13 11:08:56,2,5.24,200,Red,team,,Afreeca Freecs,,Lulu,Lux,Fiora,,,2304,0,9,13,23,9,13,2.0,0.0,0.0,0.0,1.0,,,,0.2344,0.5729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,8.0,1.0,1.0,0.0,1.0,63415.0,1651.4323,,3011.4323,0.0,138.0,3.5938,69.0,1.7969,23.0,0.0,0.0,65611,40834.0,1063.3854,,64000.0,0.0753111,,1011.0,182.0,129.0,53.0,31.0677,14620.0,16211.0,245.0,14914.0,16864.0,246.0,-294.0,-653.0,-1.0,1.0,3.0,1.0,1.0,1.0,1.0,24252.0,26725.0,429.0,22964.0,25523.0,387.0,1288.0,1202.0,42.0,1.0,3.0,2.0,2.0,3.0,1.0
802,TRKR1/900218,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/900218?gameHash=d3af475cd574170c&amp;tab=overview,LCK,2016,Spring,0,2016-01-16 08:04:00,1,5.24,100,Blue,team,,Afreeca Freecs,,Fiora,Gangplank,Ryze,,,2595,0,12,20,25,12,20,0.0,0.0,0.0,0.0,1.0,,,,0.2775,0.7399,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,5.0,8.0,1.0,1.0,1.0,1.0,75829.0,1753.2717,,3222.0578,0.0,169.0,3.9075,91.0,2.104,35.0,0.0,0.0,75332,47587.0,1100.2775,,75110.0,0.00681317,,1164.0,192.0,147.0,45.0,31.3526,15106.0,18259.0,279.0,14321.0,17275.0,273.0,785.0,984.0,6.0,3.0,0.0,1.0,1.0,1.0,3.0,24879.0,30057.0,467.0,21742.0,27221.0,449.0,3137.0,2836.0,18.0,5.0,5.0,1.0,1.0,1.0,5.0
827,TRKR1/900220,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/900220?gameHash=fdc7da9e636ecc76&amp;tab=overview,LCK,2016,Spring,0,2016-01-16 09:02:28,2,5.24,200,Red,team,,Afreeca Freecs,,Gangplank,Lissandra,Ryze,,,3045,0,10,12,31,10,12,2.0,0.0,0.0,0.0,1.0,,,,0.197,0.4335,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,9.0,0.0,0.0,0.0,1.0,102818.0,2025.9704,,2598.6404,0.0,189.0,3.7241,132.0,2.601,31.0,0.0,0.0,86736,54401.0,1071.9409,,80675.0,-0.0202454,,1325.0,190.0,171.0,19.0,29.8522,14615.0,17575.0,274.0,14119.0,17942.0,286.0,496.0,-367.0,-12.0,1.0,2.0,0.0,0.0,0.0,1.0,22225.0,27912.0,443.0,21455.0,27351.0,438.0,770.0,561.0,5.0,2.0,5.0,1.0,1.0,3.0,2.0
2434,TRKR1/910137,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/910137?gameHash=a00d4fda40dc613b&amp;tab=overview,LCK,2016,Spring,0,2016-01-22 09:58:55,1,6.01,100,Blue,team,,Afreeca Freecs,,Quinn,Graves,Gangplank,,,1990,0,0,10,0,0,10,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.3015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,1.0,36256.0,1093.1457,,1869.2563,0.0,114.0,3.4372,56.0,1.6884,22.0,0.0,0.0,49431,27857.0,839.9095,,46875.0,-0.181377,,922.0,127.0,121.0,6.0,31.6281,13625.0,16916.0,266.0,14767.0,18265.0,291.0,-1142.0,-1349.0,-25.0,0.0,0.0,1.0,1.0,1.0,0.0,21321.0,27445.0,452.0,22933.0,30260.0,509.0,-1612.0,-2815.0,-57.0,0.0,0.0,1.0,1.0,1.0,0.0
2483,TRKR1/920144,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/920144?gameHash=8b27f9e36b969d79&amp;tab=overview,LCK,2016,Spring,0,2016-01-22 11:07:38,2,6.01,200,Red,team,,Afreeca Freecs,,Viktor,Lissandra,Gangplank,,,2382,1,9,3,22,9,3,2.0,0.0,0.0,0.0,1.0,,,,0.2267,0.3023,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,11.0,2.0,1.0,1.0,1.0,0.0,88366.0,2225.8438,,2383.1234,0.0,151.0,3.8035,98.0,2.4685,33.0,0.0,0.0,74656,49084.0,1236.3728,,65360.0,0.145237,,1091.0,206.0,124.0,82.0,32.67,14563.0,18385.0,274.0,14228.0,18419.0,291.0,335.0,-34.0,-17.0,1.0,2.0,0.0,0.0,0.0,1.0,24248.0,29378.0,445.0,22323.0,26681.0,418.0,1925.0,2697.0,27.0,4.0,7.0,2.0,2.0,3.0,4.0
2518,TRKR1/920146,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/920146?gameHash=1f6a358f5ae79a3d&amp;tab=overview,LCK,2016,Spring,0,2016-01-22 12:06:30,3,6.01,100,Blue,team,,Afreeca Freecs,,Viktor,Lissandra,Gangplank,,,3700,0,6,14,16,6,14,1.0,0.0,0.0,0.0,0.0,,,,0.0973,0.3243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,7.0,9.0,1.0,0.0,2.0,1.0,102501.0,1662.1784,,3091.6703,0.0,196.0,3.1784,175.0,2.8378,35.0,0.0,0.0,104663,65647.0,1064.5459,,99462.0,0.00490836,,1551.0,256.0,207.0,49.0,29.3027,14359.0,18979.0,290.0,14793.0,19080.0,306.0,-434.0,-101.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,22460.0,30417.0,482.0,23037.0,30380.0,498.0,-577.0,37.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0
3814,TRKR1/910357,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/910357?gameHash=874b9bec999cbf2e&amp;tab=overview,LCK,2016,Spring,0,2016-01-27 08:00:26,1,6.01,100,Blue,team,,Afreeca Freecs,,Lee Sin,Lissandra,Gangplank,,,2417,1,18,11,50,18,11,4.0,1.0,0.0,0.0,1.0,,,,0.4468,0.7199,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,10.0,3.0,1.0,1.0,1.0,0.0,84606.0,2100.2731,,2699.7518,0.0,145.0,3.5995,83.0,2.0604,26.0,0.0,0.0,78511,52582.0,1305.3041,,70400.0,0.0585548,,1085.0,191.0,159.0,32.0,31.6756,15809.0,18937.0,292.0,15396.0,18228.0,297.0,413.0,709.0,-5.0,3.0,4.0,3.0,3.0,3.0,3.0,23942.0,30188.0,492.0,22942.0,28938.0,477.0,1000.0,1250.0,15.0,3.0,4.0,3.0,3.0,3.0,3.0
3863,TRKR1/910363,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/910363?gameHash=c67ba34b55affc75&amp;tab=overview,LCK,2016,Spring,0,2016-01-27 09:00:43,2,6.01,200,Red,team,,Afreeca Freecs,,Lee Sin,Lissandra,Gangplank,,,2446,1,16,10,50,16,10,5.0,0.0,0.0,0.0,0.0,,,,0.3925,0.6378,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,10.0,2.0,1.0,1.0,2.0,0.0,85835.0,2105.5192,,3792.0932,0.0,139.0,3.4096,78.0,1.9133,26.0,0.0,0.0,80906,54681.0,1341.3164,,74925.0,0.133324,,1128.0,178.0,140.0,38.0,32.036,14614.0,19644.0,297.0,14768.0,19606.0,317.0,-154.0,38.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,22602.0,30509.0,487.0,22781.0,31055.0,513.0,-179.0,-546.0,-26.0,0.0,0.0,0.0,0.0,0.0,0.0
4403,TRKR1/910499,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/910499?gameHash=e2b3b1d5185716e2&amp;tab=overview,LCK,2016,Spring,0,2016-01-29 11:16:08,1,6.01,200,Red,team,,Afreeca Freecs,,Fiora,Lux,Gangplank,,,2707,0,11,13,37,11,13,2.0,1.0,0.0,0.0,0.0,,,,0.2438,0.532,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,3.0,11.0,0.0,0.0,0.0,5.0,97455.0,2160.0665,,2920.6945,0.0,168.0,3.7237,89.0,1.9727,34.0,0.0,0.0,75947,47060.0,1043.0735,,73395.0,-0.116084,,1185.0,189.0,157.0,32.0,30.4544,14763.0,15095.0,225.0,15887.0,16538.0,273.0,-1124.0,-1443.0,-48.0,0.0,0.0,0.0,0.0,0.0,0.0,22794.0,26394.0,421.0,23897.0,27229.0,453.0,-1103.0,-835.0,-32.0,0.0,0.0,0.0,0.0,0.0,0.0
4438,TRKR1/910506,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/910506?gameHash=3bb3981dc83b4009&amp;tab=overview,LCK,2016,Spring,0,2016-01-29 12:40:36,2,6.01,100,Blue,team,,Afreeca Freecs,,Lux,Gangplank,Trundle,,,2608,0,7,12,19,7,12,0.0,0.0,0.0,0.0,1.0,,,,0.161,0.4371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,11.0,0.0,0.0,0.0,4.0,111685.0,2569.4402,,2875.4218,0.0,133.0,3.0598,67.0,1.5414,34.0,0.0,0.0,75265,47387.0,1090.1917,,73860.0,-0.0851022,,1292.0,154.0,143.0,11.0,33.2669,14850.0,18854.0,277.0,14361.0,18653.0,287.0,489.0,201.0,-10.0,1.0,1.0,0.0,0.0,0.0,1.0,23037.0,30198.0,475.0,22701.0,30535.0,480.0,336.0,-337.0,-5.0,1.0,1.0,1.0,1.0,1.0,1.0
5950,TRKR1/960126,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/960126?gameHash=46b11c090b669a4e&amp;tab=overview,LCK,2016,Spring,0,2016-02-04 08:01:16,1,6.02,100,Blue,team,,Afreeca Freecs,,Quinn,Gangplank,Alistar,,,2128,0,12,13,27,12,13,1.0,0.0,0.0,0.0,1.0,,,,0.3383,0.7049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,9.0,0.0,0.0,0.0,1.0,56882.0,1603.8158,,2600.1316,0.0,136.0,3.8346,81.0,2.2838,28.0,0.0,0.0,60840,37858.0,1067.4248,,59085.0,-0.0477449,,1011.0,113.0,100.0,13.0,31.6917,15274.0,18756.0,287.0,15595.0,20087.0,304.0,-321.0,-1331.0,-17.0,3.0,1.0,1.0,1.0,1.0,3.0,24180.0,29098.0,431.0,23640.0,30628.0,444.0,540.0,-1530.0,-13.0,7.0,14.0,3.0,3.0,8.0,7.0
