,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
1091,TRLH1/1001520070,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001520070?gameHash=e5a089b1818d40b0&amp;tab=overview,NA LCS,2016,Spring,0,2016-01-16 19:50:24,1,6.01,200,Red,team,,Counter Logic Gaming,,Tahm Kench,Ryze,Corki,,,2659,1,22,13,62,22,13,2.0,0.0,0.0,0.0,1.0,,,,0.4964,0.7898,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,10.0,5.0,1.0,1.0,1.0,0.0,109449.0,2469.7029,,3292.6439,0.0,143.0,3.2268,67.0,1.5118,24.0,0.0,0.0,88636,60238.0,1359.2629,,81525.0,0.11068,,1229.0,180.0,134.0,46.0,31.7939,15351.0,16397.0,254.0,15565.0,15716.0,258.0,-214.0,681.0,-4.0,2.0,4.0,0.0,0.0,0.0,2.0,24599.0,27862.0,409.0,24813.0,27353.0,422.0,-214.0,509.0,-13.0,4.0,8.0,4.0,4.0,11.0,4.0
1475,TRLH1/1001510120,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001510120?gameHash=94f4e7ae4539dfea&amp;tab=overview,NA LCS,2016,Spring,0,2016-01-17 21:01:32,1,6.01,200,Red,team,,Counter Logic Gaming,,Gangplank,Tahm Kench,Twisted Fate,,,1897,0,6,21,11,6,21,0.0,0.0,0.0,0.0,0.0,,,,0.1898,0.854,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,9.0,0.0,0.0,0.0,1.0,32818.0,1037.9968,,2523.3843,0.0,103.0,3.2578,34.0,1.0754,13.0,0.0,0.0,52118,31493.0,996.0886,,48200.0,-0.130424,,849.0,115.0,101.0,14.0,30.4902,15363.0,14579.0,241.0,15064.0,15881.0,241.0,299.0,-1302.0,0.0,2.0,4.0,2.0,2.0,2.0,2.0,23627.0,24553.0,397.0,27050.0,27056.0,395.0,-3423.0,-2503.0,2.0,3.0,8.0,6.0,6.0,15.0,3.0
3059,TRLH1/1001520271,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001520271?gameHash=33bf9fbb8b079c41&amp;tab=overview,NA LCS,2016,Spring,0,2016-01-23 21:59:36,1,6.01,200,Red,team,,Counter Logic Gaming,,Graves,Tahm Kench,Lulu,,,1910,1,15,7,41,15,7,1.0,0.0,0.0,0.0,0.0,,,,0.4712,0.6911,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,11.0,2.0,1.0,1.0,3.0,0.0,60378.0,1896.6911,,2364.1571,0.0,110.0,3.4555,44.0,1.3822,21.0,0.0,0.0,62184,41426.0,1301.3403,,52500.0,0.104736,,819.0,125.0,81.0,44.0,29.6545,14482.0,14980.0,262.0,14163.0,16248.0,245.0,319.0,-1268.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,24164.0,25403.0,435.0,23759.0,27277.0,387.0,405.0,-1874.0,48.0,2.0,5.0,5.0,5.0,13.0,2.0
3322,TRLH1/1001510234,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001510234?gameHash=8108b30126177b06&amp;tab=overview,NA LCS,2016,Spring,0,2016-01-24 21:43:03,1,6.01,100,Blue,team,,Counter Logic Gaming,,Tahm Kench,Lulu,Ryze,,,1965,0,8,14,19,8,14,0.0,0.0,0.0,0.0,0.0,,,,0.2443,0.6718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,1.0,64034.0,1955.2366,,2645.8931,0.0,108.0,3.2977,51.0,1.5573,17.0,0.0,0.0,50017,28698.0,876.2748,,45460.0,-0.162954,,798.0,90.0,82.0,8.0,27.1145,13100.0,16333.0,235.0,15522.0,18098.0,250.0,-2422.0,-1765.0,-15.0,0.0,0.0,5.0,5.0,4.0,0.0,20294.0,25990.0,371.0,23800.0,27544.0,415.0,-3506.0,-1554.0,-44.0,1.0,2.0,6.0,6.0,5.0,1.0
4906,TRLH1/1001540048,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001540048?gameHash=a3acb118e966aed0&amp;tab=overview,NA LCS,2016,Spring,0,2016-01-30 22:52:56,1,6.01,100,Blue,team,,Counter Logic Gaming,,Tahm Kench,Poppy,Graves,,,1977,1,7,2,13,7,2,0.0,0.0,0.0,0.0,1.0,,,,0.2124,0.2731,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,10.0,2.0,1.0,1.0,2.0,0.0,66957.0,2032.0789,,2918.6646,0.0,105.0,3.1866,43.0,1.305,20.0,0.0,0.0,62674,41233.0,1251.3809,,54775.0,0.203671,,962.0,162.0,100.0,62.0,34.1123,16241.0,17117.0,277.0,13881.0,15456.0,233.0,2360.0,1661.0,44.0,1.0,1.0,0.0,0.0,0.0,1.0,25278.0,27266.0,448.0,20613.0,23572.0,366.0,4665.0,3694.0,82.0,3.0,6.0,1.0,1.0,4.0,3.0
5194,TRLH1/1001540106,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001540106?gameHash=b1ead01742931c7b&amp;tab=overview,NA LCS,2016,Spring,0,2016-01-31 23:32:56,1,6.01,100,Blue,team,,Counter Logic Gaming,,Kalista,Tahm Kench,Graves,,,2463,1,14,4,44,14,4,2.0,0.0,0.0,0.0,1.0,,,,0.341,0.4385,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,9.0,2.0,1.0,1.0,1.0,0.0,83065.0,2023.5079,,2338.7576,0.0,140.0,3.4105,71.0,1.7296,28.0,0.0,0.0,76674,50275.0,1224.7259,,69575.0,0.132976,,1088.0,170.0,141.0,29.0,30.6456,14074.0,16401.0,257.0,13851.0,17921.0,276.0,223.0,-1520.0,-19.0,1.0,3.0,0.0,0.0,0.0,1.0,21826.0,26635.0,420.0,21715.0,28583.0,439.0,111.0,-1948.0,-19.0,2.0,4.0,2.0,2.0,5.0,2.0
6634,TRLH1/1001560037,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001560037?gameHash=d4d1fd94568047ab&amp;tab=overview,NA LCS,2016,Spring,0,2016-02-06 21:36:53,1,6.02,100,Blue,team,,Counter Logic Gaming,,Quinn,Lissandra,Gangplank,,,1944,0,8,18,22,8,18,2.0,0.0,0.0,0.0,0.0,,,,0.2469,0.8025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,10.0,0.0,1.0,0.0,2.0,55866.0,1724.2593,,3021.821,0.0,109.0,3.3642,54.0,1.6667,27.0,0.0,0.0,51255,30150.0,930.5556,,49620.0,-0.0920888,,768.0,119.0,96.0,23.0,27.3765,15723.0,17348.0,260.0,17167.0,18426.0,275.0,-1444.0,-1078.0,-15.0,1.0,2.0,2.0,2.0,6.0,1.0,25957.0,28657.0,406.0,26258.0,29561.0,423.0,-301.0,-904.0,-17.0,6.0,18.0,6.0,6.0,11.0,6.0
6803,TRLH1/1001550113,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001550113?gameHash=8e32367839f859f1&amp;tab=overview,NA LCS,2016,Spring,0,2016-02-07 22:52:42,1,6.02,200,Red,team,,Counter Logic Gaming,,Nidalee,Graves,Alistar,,,1431,1,16,3,25,16,3,1.0,0.0,0.0,0.0,1.0,,,,0.6709,0.7966,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,1.0,1.0,1.0,0.0,46416.0,1946.1635,,2461.8029,0.0,78.0,3.2704,17.0,0.7128,16.0,0.0,0.0,47278,31406.0,1316.8134,,38525.0,0.160533,,578.0,112.0,77.0,35.0,28.9308,15107.0,18206.0,267.0,13763.0,17489.0,264.0,1344.0,717.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,26101.0,29572.0,428.0,21203.0,26298.0,410.0,4898.0,3274.0,18.0,6.0,7.0,0.0,0.0,0.0,6.0
7787,TRLH1/1001550165,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001550165?gameHash=9b454e70377ee8f4&amp;tab=overview,NA LCS,2016,Spring,0,2016-02-13 20:52:43,1,6.02,200,Red,team,,Counter Logic Gaming,,Gangplank,Poppy,Nidalee,,,2555,1,12,8,20,12,8,1.0,0.0,0.0,0.0,1.0,,,,0.2818,0.4697,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,9.0,6.0,1.0,1.0,2.0,1.0,80723.0,1895.6477,,2764.5558,0.0,146.0,3.4286,67.0,1.5734,22.0,0.0,0.0,79079,51742.0,1215.0763,,69625.0,-0.043211,,1119.0,175.0,128.0,47.0,30.3875,15976.0,18423.0,287.0,14221.0,18146.0,296.0,1755.0,277.0,-9.0,1.0,2.0,0.0,0.0,0.0,1.0,24218.0,28161.0,456.0,23690.0,28230.0,479.0,528.0,-69.0,-23.0,1.0,2.0,0.0,0.0,0.0,1.0
7966,TRLH1/1001550219,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001550219?gameHash=9f42ac6dd0127edc&amp;tab=overview,NA LCS,2016,Spring,0,2016-02-14 20:58:39,1,6.02,100,Blue,team,,Counter Logic Gaming,,Zilean,Nidalee,Lulu,,,1729,0,5,21,12,5,21,0.0,0.0,0.0,0.0,0.0,,,,0.1735,0.9023,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,2.0,55675.0,1932.0416,,2631.6021,0.0,91.0,3.1579,41.0,1.4228,15.0,0.0,0.0,44483,25571.0,887.3684,,41450.0,-0.24643,,703.0,96.0,84.0,12.0,27.727,13723.0,17287.0,257.0,14911.0,18357.0,287.0,-1188.0,-1070.0,-30.0,0.0,0.0,2.0,2.0,3.0,0.0,21886.0,26998.0,432.0,23823.0,28826.0,475.0,-1937.0,-1828.0,-43.0,0.0,0.0,2.0,2.0,3.0,0.0
