,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
1090,TRLH1/1001520070,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001520070?gameHash=e5a089b1818d40b0&amp;tab=overview,NA LCS,2016,Spring,0,2016-01-16 19:50:24,1,6.01,100,Blue,team,,TSM,,Fiora,Olaf,Gangplank,,,2659,0,13,22,34,13,22,1.0,0.0,0.0,0.0,0.0,,,,0.2933,0.7898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,5.0,10.0,0.0,0.0,0.0,1.0,104439.0,2356.6529,,3271.9744,0.0,167.0,3.7683,73.0,1.6472,24.0,0.0,0.0,77212,48814.0,1101.4818,,72975.0,-0.11068,,1153.0,186.0,156.0,30.0,30.2144,15565.0,15716.0,258.0,15351.0,16397.0,254.0,214.0,-681.0,4.0,0.0,0.0,2.0,2.0,4.0,0.0,24813.0,27353.0,422.0,24599.0,27862.0,409.0,214.0,-509.0,13.0,4.0,11.0,4.0,4.0,8.0,4.0
1486,TRLH1/1001510125,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001510125?gameHash=f7059f7939cf2287&amp;tab=overview,NA LCS,2016,Spring,0,2016-01-17 21:58:19,1,6.01,100,Blue,team,,TSM,,Graves,Lissandra,Kalista,,,2609,1,12,17,34,12,17,2.0,1.0,0.0,0.0,0.0,,,,0.276,0.6669,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,7.0,7.0,0.0,0.0,1.0,1.0,118838.0,2732.9552,,3417.4473,0.0,164.0,3.7716,71.0,1.6328,21.0,0.0,0.0,78072,50184.0,1154.0974,,66305.0,-0.159536,,1182.0,177.0,149.0,28.0,31.2534,15285.0,18145.0,290.0,16036.0,18851.0,274.0,-751.0,-706.0,16.0,0.0,0.0,3.0,3.0,6.0,0.0,25399.0,29271.0,464.0,24371.0,28507.0,453.0,1028.0,764.0,11.0,3.0,8.0,3.0,3.0,6.0,3.0
3046,TRLH1/1001520261,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001520261?gameHash=97fcbbf11e0f4627&amp;tab=overview,NA LCS,2016,Spring,0,2016-01-23 20:53:57,1,6.01,100,Blue,team,,TSM,,Elise,Lulu,Ryze,,,2335,0,13,18,26,13,18,2.0,0.0,0.0,0.0,0.0,,,,0.334,0.7966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,10.0,0.0,0.0,0.0,3.0,75965.0,1951.9914,,2581.2591,0.0,142.0,3.6488,50.0,1.2848,21.0,0.0,0.0,68551,43458.0,1116.6938,,64970.0,-0.0474097,,940.0,169.0,133.0,36.0,28.4968,13708.0,15717.0,255.0,15096.0,15989.0,268.0,-1388.0,-272.0,-13.0,0.0,0.0,1.0,1.0,3.0,0.0,23412.0,28114.0,430.0,22483.0,26651.0,440.0,929.0,1463.0,-10.0,3.0,3.0,1.0,1.0,3.0,3.0
3298,TRLH1/1001510200,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001510200?gameHash=4d4871d0e68e336e,NA LCS,2016,Spring,0,2016-01-24 19:21:09,1,6.01,100,Blue,team,,TSM,,Elise,Ahri,Tahm Kench,,,1712,1,15,2,31,15,2,2.0,1.0,0.0,0.0,1.0,,,,0.5257,0.5958,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,1.0,1.0,2.0,0.0,54081.0,1895.3621,,1842.3364,0.0,86.0,3.014,27.0,0.9463,16.0,0.0,0.0,56767,38029.0,1332.7921,,50150.0,0.315595,,733.0,141.0,90.0,51.0,30.6308,15965.0,16666.0,275.0,14423.0,15784.0,236.0,1542.0,882.0,39.0,2.0,5.0,1.0,1.0,3.0,2.0,24311.0,27397.0,468.0,22025.0,26209.0,416.0,2286.0,1188.0,52.0,3.0,7.0,1.0,1.0,3.0,3.0
4883,TRLH1/1001540022,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001540022?gameHash=bbb72a5bd29a262c&amp;tab=overview,NA LCS,2016,Spring,0,2016-01-30 20:45:40,1,6.01,200,Red,team,,TSM,,Gangplank,Alistar,Graves,,,1698,1,13,5,36,13,5,3.0,0.0,0.0,0.0,1.0,,,,0.4594,0.636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,10.0,7.0,1.0,0.0,2.0,2.0,59146.0,2089.9647,,2554.6643,0.0,105.0,3.7102,26.0,0.9187,14.0,0.0,0.0,52724,34128.0,1205.9364,,44675.0,0.00123187,,702.0,100.0,73.0,27.0,28.3392,15280.0,15825.0,249.0,15939.0,16609.0,277.0,-659.0,-784.0,-28.0,0.0,0.0,0.0,0.0,0.0,0.0,22426.0,25567.0,408.0,24840.0,27342.0,460.0,-2414.0,-1775.0,-52.0,0.0,0.0,0.0,0.0,0.0,0.0
5159,TRLH1/1001540076,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001540076?gameHash=cf1d8b6a5d0ab6d7&amp;tab=overview,NA LCS,2016,Spring,0,2016-01-31 20:53:01,1,6.01,200,Red,team,,TSM,,Gangplank,Alistar,Tahm Kench,,,1902,0,0,19,0,0,19,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.5994,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,9.0,1.0,1.0,0.0,1.0,62285.0,1964.8265,,2923.123,0.0,116.0,3.6593,38.0,1.1987,21.0,0.0,0.0,47508,26832.0,846.4353,,45975.0,-0.159159,,853.0,108.0,79.0,29.0,30.3155,15370.0,18379.0,308.0,14383.0,18107.0,249.0,987.0,272.0,59.0,0.0,0.0,2.0,2.0,5.0,0.0,24150.0,29412.0,510.0,23180.0,30037.0,448.0,970.0,-625.0,62.0,0.0,0.0,2.0,2.0,5.0,0.0
6646,TRLH1/1001560043,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001560043?gameHash=03e63541154cbf11&amp;tab=overview,NA LCS,2016,Spring,0,2016-02-06 22:37:22,1,6.02,100,Blue,team,,TSM,,Lissandra,Nidalee,Gangplank,,,2324,1,11,6,25,11,6,2.0,0.0,0.0,0.0,0.0,,,,0.284,0.4389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,9.0,4.0,0.0,0.0,1.0,0.0,48349.0,1248.253,,1718.2616,0.0,139.0,3.5886,59.0,1.5232,24.0,0.0,0.0,69750,44769.0,1155.8262,,55275.0,0.00226398,,974.0,197.0,131.0,66.0,30.2324,14647.0,16155.0,263.0,14482.0,15219.0,240.0,165.0,936.0,23.0,0.0,0.0,1.0,1.0,4.0,0.0,23101.0,26310.0,442.0,22746.0,24590.0,391.0,355.0,1720.0,51.0,0.0,0.0,2.0,2.0,6.0,0.0
6791,TRLH1/1001550098,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001550098?gameHash=4f55e3fd66e4513f&amp;tab=overview,NA LCS,2016,Spring,0,2016-02-07 21:47:28,1,6.02,200,Red,team,,TSM,,Poppy,Zilean,Lissandra,,,2315,1,28,18,79,28,18,3.0,1.0,1.0,0.0,0.0,,,,0.7257,1.1922,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,10.0,7.0,0.0,0.0,1.0,1.0,100071.0,2593.6328,,3924.2073,0.0,119.0,3.0842,46.0,1.1922,25.0,0.0,0.0,81152,56263.0,1458.2203,,69700.0,-0.014245,,989.0,150.0,103.0,47.0,29.5205,14545.0,18215.0,287.0,14730.0,18103.0,270.0,-185.0,112.0,17.0,1.0,2.0,2.0,2.0,1.0,1.0,22220.0,27490.0,416.0,24508.0,29867.0,455.0,-2288.0,-2377.0,-39.0,4.0,11.0,5.0,5.0,8.0,4.0
7811,TRLH1/1001550183,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001550183?gameHash=e0ce707282507603&amp;tab=overview,NA LCS,2016,Spring,0,2016-02-13 22:52:55,1,6.02,200,Red,team,,TSM,,Poppy,Gangplank,Nidalee,,,1867,1,11,6,27,11,6,0.0,0.0,0.0,0.0,0.0,,,,0.3535,0.5463,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,11.0,4.0,1.0,0.0,3.0,0.0,57525.0,1848.6877,,3220.9106,0.0,104.0,3.3423,41.0,1.3176,22.0,0.0,0.0,59635,39316.0,1263.5029,,49725.0,0.120469,,784.0,148.0,96.0,52.0,29.9518,16227.0,16830.0,253.0,15279.0,14445.0,212.0,948.0,2385.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,23950.0,24943.0,393.0,22376.0,22822.0,327.0,1574.0,2121.0,66.0,1.0,1.0,2.0,2.0,4.0,1.0
7967,TRLH1/1001550219,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001550219?gameHash=9f42ac6dd0127edc&amp;tab=overview,NA LCS,2016,Spring,0,2016-02-14 20:58:39,1,6.02,200,Red,team,,TSM,,Poppy,Gangplank,Corki,,,1729,1,21,5,31,21,5,1.0,0.0,0.0,0.0,1.0,,,,0.7287,0.9023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,11.0,2.0,1.0,1.0,2.0,0.0,59282.0,2057.2123,,2915.2921,0.0,103.0,3.5743,31.0,1.0758,27.0,0.0,0.0,59692,40780.0,1415.1533,,53100.0,0.24643,,764.0,132.0,83.0,49.0,31.0931,14911.0,18357.0,287.0,13723.0,17287.0,257.0,1188.0,1070.0,30.0,2.0,3.0,0.0,0.0,0.0,2.0,23823.0,28826.0,475.0,21886.0,26998.0,432.0,1937.0,1828.0,43.0,2.0,3.0,0.0,0.0,0.0,2.0
