,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
502,TRLH3/1001470051,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001470051?gameHash=4c75eed3e321fae9&amp;tab=overview,EU LCS,2016,Spring,0,2016-01-14 16:58:55,1,6.01,100,Blue,team,,Fnatic,,Kindred,Kassadin,Tahm Kench,,,2157,1,22,8,45,22,8,2.0,0.0,0.0,0.0,0.0,,,,0.612,0.8345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,11.0,0.0,1.0,1.0,4.0,0.0,88254.0,2454.9096,,3360.306,0.0,116.0,3.2267,55.0,1.5299,17.0,0.0,0.0,73766,50489.0,1404.4228,,66950.0,0.233621,,1020.0,158.0,119.0,39.0,32.7677,15197.0,18656.0,296.0,14420.0,17378.0,277.0,777.0,1278.0,19.0,2.0,2.0,1.0,1.0,2.0,2.0,23585.0,28980.0,459.0,22214.0,27706.0,435.0,1371.0,1274.0,24.0,4.0,4.0,3.0,3.0,5.0,4.0
731,TRLH3/1001470151,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001470151?gameHash=7fd82a417ede65b9&amp;tab=overview,EU LCS,2016,Spring,0,2016-01-15 18:52:26,1,6.01,200,Red,team,,Fnatic,,Gangplank,Lulu,Thresh,,,1658,0,3,10,2,3,10,0.0,0.0,0.0,0.0,0.0,,,,0.1086,0.4704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,11.0,0.0,0.0,0.0,2.0,21792.0,788.6128,,2496.4053,0.0,85.0,3.076,28.0,1.0133,19.0,0.0,0.0,41448,23260.0,841.737,,38335.0,-0.203082,,696.0,111.0,90.0,21.0,29.2039,14148.0,17374.0,260.0,16094.0,18871.0,309.0,-1946.0,-1497.0,-49.0,1.0,1.0,1.0,1.0,1.0,1.0,22522.0,27436.0,419.0,24844.0,27897.0,442.0,-2322.0,-461.0,-23.0,2.0,2.0,2.0,2.0,2.0,2.0
2374,TRLH3/1001460176,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001460176?gameHash=68ac6c36c61e7ebb&amp;tab=overview,EU LCS,2016,Spring,0,2016-01-21 21:07:10,1,6.01,100,Blue,team,,Fnatic,,Graves,Tahm Kench,Shen,,,2483,1,8,6,29,8,6,3.0,0.0,0.0,0.0,0.0,,,,0.1933,0.3383,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,9.0,7.0,1.0,1.0,1.0,2.0,44309.0,1070.6967,,2409.1824,0.0,152.0,3.673,66.0,1.5948,32.0,0.0,0.0,77496,50893.0,1229.7946,,69825.0,0.0585959,,1192.0,195.0,130.0,65.0,33.5159,15231.0,15253.0,263.0,16026.0,15908.0,272.0,-795.0,-655.0,-9.0,0.0,0.0,1.0,1.0,2.0,0.0,23673.0,25537.0,438.0,23000.0,25256.0,430.0,673.0,281.0,8.0,0.0,0.0,1.0,1.0,2.0,0.0
2590,TRLH3/1001470241,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001470241?gameHash=3d04fd2686d282c6&amp;tab=overview,EU LCS,2016,Spring,0,2016-01-22 19:01:52,1,6.01,100,Blue,team,,Fnatic,,Elise,Kindred,Tahm Kench,,,2990,0,11,16,30,11,16,2.0,0.0,0.0,0.0,0.0,,,,0.2207,0.5418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,5.0,11.0,1.0,1.0,0.0,7.0,101726.0,2041.3244,,2662.5552,0.0,167.0,3.3512,82.0,1.6455,24.0,0.0,0.0,83026,51252.0,1028.4682,,79875.0,-0.0253399,,1329.0,146.0,123.0,23.0,29.5987,13791.0,17753.0,253.0,16073.0,18366.0,313.0,-2282.0,-613.0,-60.0,1.0,1.0,1.0,1.0,3.0,1.0,23765.0,27233.0,414.0,23945.0,27545.0,473.0,-180.0,-312.0,-59.0,1.0,1.0,1.0,1.0,3.0,1.0
4295,TRLH3/1001480021,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001480021?gameHash=7b9c389aff19a62d&amp;tab=overview,EU LCS,2016,Spring,0,2016-01-28 18:52:49,1,6.01,200,Red,team,,Fnatic,,Gangplank,Tahm Kench,Shen,,,1611,0,6,12,12,6,12,0.0,0.0,0.0,0.0,0.0,,,,0.2235,0.6704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,3.0,37118.0,1382.4209,,2766.8901,0.0,79.0,2.9423,39.0,1.4525,15.0,0.0,0.0,42529,24821.0,924.432,,39610.0,-0.173181,,732.0,100.0,93.0,7.0,30.987,15552.0,18813.0,283.0,16456.0,18396.0,287.0,-904.0,417.0,-4.0,4.0,6.0,3.0,3.0,4.0,4.0,22756.0,28389.0,459.0,26859.0,29678.0,467.0,-4103.0,-1289.0,-8.0,4.0,6.0,5.0,5.0,6.0,4.0
4498,TRLH3/1001480063,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001480063?gameHash=0a182ab8213f37e4&amp;tab=overview,EU LCS,2016,Spring,0,2016-01-29 19:42:00,1,6.01,100,Blue,team,,Fnatic,,Fiora,Graves,Kalista,,,2343,1,6,6,14,6,6,0.0,0.0,0.0,0.0,1.0,,,,0.1536,0.3073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,11.0,5.0,1.0,1.0,3.0,0.0,61709.0,1580.2561,,2541.5365,0.0,127.0,3.2522,59.0,1.5109,25.0,0.0,0.0,70371,45196.0,1157.388,,66525.0,0.129481,,989.0,214.0,129.0,85.0,30.8067,17908.0,16213.0,267.0,16323.0,14448.0,228.0,1585.0,1765.0,39.0,1.0,1.0,0.0,0.0,0.0,1.0,25895.0,27168.0,458.0,23377.0,23619.0,384.0,2518.0,3549.0,74.0,1.0,1.0,0.0,0.0,0.0,1.0
6095,TRLH3/1001520025,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001520025?gameHash=712734148d3eec18&amp;tab=overview,EU LCS,2016,Spring,0,2016-02-04 17:54:54,1,6.02,200,Red,team,,Fnatic,,Gangplank,Corki,Lulu,,,1449,1,14,1,29,14,1,0.0,0.0,0.0,0.0,1.0,,,,0.5797,0.6211,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,11.0,1.0,1.0,1.0,3.0,0.0,45975.0,1903.7267,,1799.9172,0.0,71.0,2.94,29.0,1.2008,13.0,0.0,0.0,49039,32983.0,1365.7557,,43635.0,0.274581,,641.0,96.0,66.0,30.0,30.5176,15550.0,18025.0,300.0,13678.0,16583.0,270.0,1872.0,1442.0,30.0,1.0,0.0,0.0,0.0,0.0,1.0,26913.0,30446.0,476.0,21215.0,25732.0,425.0,5698.0,4714.0,51.0,5.0,9.0,0.0,0.0,0.0,5.0
6407,TRLH3/1001520106,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001520106?gameHash=2b301bbba3166c91&amp;tab=overview,EU LCS,2016,Spring,0,2016-02-05 20:56:31,1,6.02,200,Red,team,,Fnatic,,Kalista,Alistar,Poppy,,,2832,1,17,15,44,17,15,1.0,0.0,0.0,0.0,0.0,,,,0.3602,0.678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,10.0,10.0,1.0,1.0,2.0,4.0,126626.0,2682.7542,,2175.0847,0.0,170.0,3.6017,79.0,1.6737,15.0,0.0,0.0,85418,55256.0,1170.678,,79335.0,-0.0521728,,1276.0,146.0,132.0,14.0,30.1271,14543.0,17007.0,259.0,14585.0,18014.0,277.0,-42.0,-1007.0,-18.0,2.0,4.0,2.0,2.0,3.0,2.0,22417.0,28202.0,431.0,22157.0,28351.0,441.0,260.0,-149.0,-10.0,3.0,5.0,3.0,3.0,4.0,3.0
7174,TRLH3/1001510083,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001510083?gameHash=d780e60329e4d10b&amp;tab=overview,EU LCS,2016,Spring,0,2016-02-11 18:12:22,1,6.02,100,Blue,team,,Fnatic,,Alistar,Fiora,Poppy,,,1748,1,16,4,51,16,4,3.0,1.0,0.0,0.0,1.0,,,,0.5492,0.6865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,11.0,3.0,1.0,1.0,1.0,0.0,42461.0,1457.4714,,2098.7643,0.0,95.0,3.2609,49.0,1.6819,17.0,0.0,0.0,61260,42154.0,1446.9336,,50250.0,0.163617,,811.0,150.0,92.0,58.0,32.9863,16936.0,15726.0,261.0,15074.0,15805.0,249.0,1862.0,-79.0,12.0,1.0,3.0,0.0,0.0,0.0,1.0,26872.0,28421.0,446.0,22674.0,24170.0,399.0,4198.0,4251.0,47.0,4.0,7.0,0.0,0.0,0.0,4.0
7391,TRLH3/1001520155,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001520155?gameHash=2d500e6b69b9add0&amp;tab=overview,EU LCS,2016,Spring,0,2016-02-12 17:50:45,1,6.02,200,Red,team,,Fnatic,,Kalista,Fiora,Lucian,,,2836,0,11,19,25,11,19,0.0,0.0,0.0,0.0,0.0,,,,0.2327,0.6347,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,5.0,10.0,1.0,1.0,0.0,2.0,106137.0,2245.4937,,2982.8209,0.0,178.0,3.7659,79.0,1.6714,37.0,0.0,0.0,76669,46466.0,983.0606,,74320.0,-0.0614281,,1200.0,170.0,143.0,27.0,28.9845,16461.0,15156.0,234.0,15227.0,14482.0,234.0,1234.0,674.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,24140.0,24362.0,395.0,22242.0,23553.0,395.0,1898.0,809.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0
