,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
2087,TRLH1/1002040154,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002040154?gameHash=decef9a64926eceb&amp;tab=overview,NA LCS,2017,Spring,0,2017-01-21 19:33:41,1,7.01,200,Red,team,,FlyQuest,,LeBlanc,Camille,Ryze,Rek'Sai,Elise,1814,1,12,4,27,12,4,1.0,0.0,0.0,0.0,1.0,,,,0.3969,0.5292,1.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,10.0,2.0,1.0,1.0,2.0,0.0,56805,1878.8864,,2312.8115,0.0,101,3.3407,28,0.9261,18,0.0,0.0,56103,36324,1201.4553,,47878.0,0.141522,,717,124,70,54,27.817,14963.0,17904.0,259.0,14482.0,17535.0,286.0,481.0,369.0,-27.0,2.0,2.0,1.0,1.0,1.0,2.0,23988.0,28542.0,438.0,21835.0,26950.0,450.0,2153.0,1592.0,-12.0,3.0,3.0,2.0,2.0,4.0,3.0
2098,TRLH1/1002040216,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002040216?gameHash=53308a5fec212eca&amp;tab=overview,NA LCS,2017,Spring,0,2017-01-21 21:24:42,2,7.01,100,Blue,team,,FlyQuest,,Ryze,Kha'Zix,Jayce,Syndra,Miss Fortune,2196,1,18,15,50,18,15,2.0,1.0,0.0,0.0,0.0,,,,0.4918,0.9016,0.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,3.0,0.0,0.0,2.0,0.0,99999,2732.2131,,2774.5628,0.0,108,2.9508,33,0.9016,25,0.0,0.0,68848,45173,1234.235,,62333.0,0.0715864,,841,166,103,63,27.5137,14168.0,18586.0,283.0,14697.0,18307.0,303.0,-529.0,279.0,-20.0,0.0,0.0,1.0,1.0,0.0,0.0,22580.0,28625.0,428.0,24374.0,29450.0,476.0,-1794.0,-825.0,-48.0,2.0,3.0,4.0,4.0,5.0,2.0
2567,TRLH1/1002040259,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002040259?gameHash=03e84bb32f2423fc&amp;tab=overview,NA LCS,2017,Spring,0,2017-01-22 22:19:14,1,7.01,200,Red,team,,FlyQuest,,Rengar,LeBlanc,Kha'Zix,Cassiopeia,Orianna,2672,0,15,19,27,15,19,1.0,0.0,0.0,0.0,1.0,,,,0.3368,0.7635,1.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,9.0,1.0,0.0,0.0,1.0,92086,2067.7994,,2642.9192,0.0,136,3.0539,51,1.1452,31,0.0,0.0,76248,47718,1071.512,,71720.0,-0.125825,,1156,163,100,63,29.6183,14494.0,18408.0,266.0,14967.0,18472.0,297.0,-473.0,-64.0,-31.0,1.0,1.0,2.0,2.0,2.0,1.0,22786.0,29698.0,436.0,23239.0,31009.0,520.0,-453.0,-1311.0,-84.0,3.0,4.0,2.0,2.0,2.0,3.0
2602,TRLH1/1002040269,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002040269?gameHash=1db0d552e9b67b33&amp;tab=overview,NA LCS,2017,Spring,0,2017-01-22 23:28:28,2,7.01,100,Blue,team,,FlyQuest,,Ryze,Fiora,Cassiopeia,Syndra,Orianna,2134,1,19,6,36,19,6,3.0,2.0,1.0,0.0,1.0,,,,0.5342,0.7029,1.0,4.0,0.0,4.0,0.0,3.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11.0,2.0,1.0,1.0,3.0,0.0,96076,2701.2933,,2721.0028,0.0,96,2.6992,50,1.4058,22,0.0,0.0,71447,48404,1360.9372,,64408.0,0.132397,,1012,184,102,82,33.627,14717.0,18381.0,295.0,14817.0,18258.0,282.0,-100.0,123.0,13.0,1.0,0.0,1.0,1.0,2.0,1.0,24740.0,30264.0,477.0,22528.0,29353.0,469.0,2212.0,911.0,8.0,4.0,4.0,2.0,2.0,2.0,4.0
2615,TRLH1/1002040275,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002040275?gameHash=554a3fa2916341ee&amp;tab=overview,NA LCS,2017,Spring,0,2017-01-23 00:25:08,3,7.01,200,Red,team,,FlyQuest,,Fiora,Ryze,Cassiopeia,Ashe,Zyra,1532,1,16,6,41,16,6,2.0,0.0,0.0,0.0,1.0,,,,0.6266,0.8616,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,1.0,1.0,1.0,0.0,53187,2083.0418,,2333.4204,0.0,77,3.0157,18,0.705,16,0.0,0.0,47102,30200,1182.7676,,38343.0,0.00938057,,608,124,86,38,28.6684,15209.0,18365.0,266.0,14527.0,18037.0,299.0,682.0,328.0,-33.0,3.0,6.0,1.0,1.0,3.0,3.0,25457.0,30028.0,427.0,22708.0,29447.0,488.0,2749.0,581.0,-61.0,8.0,16.0,2.0,2.0,5.0,8.0
3334,TRLH1/1002040283,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002040283?gameHash=4c59738ac3e7e556&amp;tab=overview,NA LCS,2017,Spring,0,2017-01-27 21:34:31,1,7.01,100,Blue,team,,FlyQuest,,Ryze,Olaf,Miss Fortune,Elise,Fiora,2538,1,26,14,52,26,14,3.0,1.0,0.0,0.0,1.0,,,,0.6147,0.9456,1.0,3.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,1.0,0.0,124528,2943.9243,,2789.1962,0.0,134,3.1678,53,1.253,29,0.0,0.0,78919,51755,1223.5225,,67485.0,-0.00713162,,1001,172,117,55,27.7305,15954.0,18617.0,280.0,15430.0,18933.0,306.0,524.0,-316.0,-26.0,4.0,4.0,1.0,1.0,1.0,4.0,25876.0,29559.0,450.0,25188.0,29905.0,487.0,688.0,-346.0,-37.0,6.0,8.0,2.0,2.0,4.0,6.0
3371,TRLH1/1002040295,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002040295?gameHash=467869ca2a365be6&amp;tab=overview,NA LCS,2017,Spring,0,2017-01-27 23:59:57,2,7.01,200,Red,team,,FlyQuest,,Camille,Ryze,Miss Fortune,Lulu,Karma,1936,1,19,8,39,19,8,3.0,0.0,0.0,0.0,1.0,,,,0.5888,0.8368,1.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,9.0,1.0,1.0,1.0,1.0,0.0,68804,2132.3554,,2385.4029,0.0,92,2.8512,29,0.8988,19,0.0,0.0,62383,41360,1281.8182,,54625.0,0.21277,,776,153,86,67,28.7913,15440.0,19636.0,287.0,14041.0,18201.0,271.0,1399.0,1435.0,16.0,2.0,2.0,1.0,1.0,1.0,2.0,23178.0,29967.0,431.0,22824.0,31024.0,449.0,354.0,-1057.0,-18.0,4.0,5.0,4.0,4.0,7.0,4.0
4151,TRLH1/1002040367,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002040367?gameHash=bccfef0c2162bafb&amp;tab=overview,NA LCS,2017,Spring,0,2017-01-29 19:39:50,1,7.01,200,Red,team,,FlyQuest,,Ryze,Fiora,Rengar,Twisted Fate,Anivia,1776,0,11,24,21,11,24,1.0,0.0,0.0,0.0,0.0,,,,0.3716,1.1824,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,0.0,0.0,0.0,2.0,52121,1760.8446,,2801.5541,0.0,84,2.8378,36,1.2162,22,0.0,0.0,47363,27972,945.0,,40805.0,-0.238031,,715,134,85,49,28.6824,13511.0,17048.0,266.0,16265.0,19403.0,330.0,-2754.0,-2355.0,-64.0,0.0,0.0,3.0,3.0,6.0,0.0,22472.0,28723.0,444.0,24398.0,30061.0,503.0,-1926.0,-1338.0,-59.0,3.0,4.0,5.0,5.0,11.0,3.0
4174,TRLH1/1002040389,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002040389?gameHash=a514722881038084&amp;tab=overview,NA LCS,2017,Spring,0,2017-01-29 20:48:15,2,7.01,100,Blue,team,,FlyQuest,,Ryze,Lee Sin,Twisted Fate,Fiora,Swain,1850,1,23,10,50,23,10,2.0,1.0,1.0,0.0,1.0,,,,0.7459,1.0703,0.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,9.0,4.0,0.0,1.0,2.0,0.0,77985,2529.2432,,2311.9784,0.0,103,3.3405,22,0.7135,21,0.0,0.0,60594,40448,1311.827,,55120.0,0.15281,,690,145,75,70,27.0811,14646.0,17836.0,283.0,14662.0,17872.0,303.0,-16.0,-36.0,-20.0,1.0,2.0,0.0,0.0,0.0,1.0,24859.0,28918.0,446.0,22579.0,28272.0,463.0,2280.0,646.0,-17.0,6.0,9.0,2.0,2.0,3.0,6.0
4199,TRLH1/1002040391,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002040391?gameHash=8c5017b8c167bc4e&amp;tab=overview,NA LCS,2017,Spring,0,2017-01-29 21:37:26,3,7.01,200,Red,team,,FlyQuest,,Camille,Ryze,Rengar,Twisted Fate,Viktor,2449,0,19,24,38,19,24,2.0,0.0,0.0,0.0,0.0,,,,0.4655,1.0535,1.0,3.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,8.0,0.0,1.0,0.0,1.0,88372,2165.096,,2953.3524,0.0,123,3.0135,39,0.9555,23,0.0,0.0,70084,43828,1073.7771,,67128.0,0.0234819,,903,160,121,39,26.0433,13965.0,17418.0,287.0,15346.0,18560.0,310.0,-1381.0,-1142.0,-23.0,0.0,0.0,1.0,1.0,1.0,0.0,22891.0,27687.0,445.0,24150.0,27701.0,455.0,-1259.0,-14.0,-10.0,1.0,1.0,3.0,3.0,5.0,1.0
5506,TRLH1/1002070036,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002070036?gameHash=108ada2fdf1a2a8e&amp;tab=overview,NA LCS,2017,Spring,0,2017-02-04 19:09:14,1,7.02,100,Blue,team,,FlyQuest,,Ryze,Karma,Camille,Maokai,Nautilus,1890,1,20,6,42,20,6,2.0,1.0,0.0,0.0,1.0,,,,0.6349,0.8254,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,2.0,0.0,62143,1972.7937,,2755.2698,0.0,96,3.0476,31,0.9841,26,0.0,0.0,64422,43868,1392.6349,,55825.0,0.195674,,849,160,94,66,32.0317,16551.0,18740.0,294.0,14303.0,18463.0,304.0,2248.0,277.0,-10.0,2.0,6.0,0.0,0.0,0.0,2.0,25782.0,30733.0,493.0,21350.0,28622.0,471.0,4432.0,2111.0,22.0,5.0,8.0,0.0,0.0,0.0,5.0
5543,TRLH1/1002070057,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002070057?gameHash=f1ca48cfef02a9db&amp;tab=overview,NA LCS,2017,Spring,0,2017-02-04 20:55:35,2,7.02,200,Red,team,,FlyQuest,,Camille,Karma,Rengar,Maokai,Ryze,2038,1,9,2,19,9,2,2.0,0.0,0.0,0.0,0.0,,,,0.265,0.3238,1.0,3.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,11.0,2.0,1.0,1.0,3.0,0.0,67296,1981.2365,,2695.1423,0.0,114,3.3562,67,1.9725,27,0.0,0.0,66311,44247,1302.6595,,58360.0,0.084081,,1010,198,109,89,35.5643,15562.0,19427.0,316.0,15023.0,17787.0,293.0,539.0,1640.0,23.0,2.0,4.0,1.0,1.0,3.0,2.0,23469.0,31065.0,519.0,22735.0,29322.0,485.0,734.0,1743.0,34.0,2.0,4.0,1.0,1.0,3.0,2.0
6095,TRLH1/1002060135,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002060135?gameHash=2a852b09c150a94e&amp;tab=overview,NA LCS,2017,Spring,0,2017-02-05 23:08:11,1,7.02,200,Red,team,,FlyQuest,,Camille,Rengar,Kha'Zix,Lee Sin,Rek'Sai,2075,1,19,6,49,19,6,3.0,0.0,0.0,0.0,1.0,,,,0.5494,0.7229,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,5.0,1.0,0.0,3.0,0.0,65261,1887.0651,,2224.5108,0.0,103,2.9783,46,1.3301,25,0.0,0.0,66542,44101,1275.2096,,59513.0,0.0788207,,888,167,107,60,30.506,15759.0,18554.0,286.0,14188.0,17667.0,298.0,1571.0,887.0,-12.0,3.0,6.0,0.0,0.0,0.0,3.0,25151.0,29822.0,459.0,23102.0,27564.0,455.0,2049.0,2258.0,4.0,6.0,13.0,2.0,2.0,4.0,6.0
