,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
2135,TRLH1/1002050161,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002050161?gameHash=1093977366149dac&amp;tab=overview,NA LCS,2017,Spring,0,2017-01-21 22:34:00,1,7.01,200,Red,team,,Immortals,,LeBlanc,Camille,Rengar,Rek'Sai,Anivia,2937,0,10,18,16,10,18,1.0,1.0,1.0,0.0,0.0,,,,0.2043,0.572,0.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,11.0,0.0,0.0,0.0,5.0,96921,1980.0,,2796.3636,0.0,165,3.3708,53,1.0827,39,0.0,0.0,85975,54742,1118.3248,,83468.0,0.028347,,1338,317,167,150,33.81,14443.0,17160.0,297.0,18299.0,18210.0,265.0,-3856.0,-1050.0,32.0,0.0,0.0,3.0,3.0,4.0,0.0,21552.0,26412.0,460.0,26256.0,28257.0,436.0,-4704.0,-1845.0,24.0,0.0,0.0,4.0,4.0,5.0,0.0
2158,TRLH1/1002050169,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002050169?gameHash=79f4be7d3c1583ab&amp;tab=overview,NA LCS,2017,Spring,0,2017-01-21 23:53:39,2,7.01,100,Blue,team,,Immortals,,Zyra,Syndra,Cassiopeia,Ashe,Jhin,2596,1,21,20,51,21,20,0.0,0.0,0.0,0.0,0.0,,,,0.4854,0.9476,0.0,2.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,11.0,8.0,0.0,0.0,5.0,3.0,125123,2891.9029,,3818.5747,0.0,161,3.7211,41,0.9476,40,0.0,0.0,89462,61707,1426.2018,,83105.0,0.0895353,,1113,223,126,97,30.8783,15536.0,18437.0,296.0,14887.0,17260.0,254.0,649.0,1177.0,42.0,2.0,5.0,3.0,3.0,3.0,2.0,24781.0,28102.0,450.0,25802.0,30813.0,440.0,-1021.0,-2711.0,10.0,4.0,8.0,8.0,8.0,9.0,4.0
2183,TRLH1/1002050170,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002050170?gameHash=11600a26e4891be0&amp;tab=overview,NA LCS,2017,Spring,0,2017-01-22 01:00:53,3,7.01,200,Red,team,,Immortals,,Camille,Rengar,LeBlanc,Anivia,,2880,1,19,18,38,19,18,3.0,0.0,0.0,0.0,0.0,,,,0.3958,0.7708,1.0,3.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,8.0,10.0,0.0,0.0,1.0,5.0,97470,2030.625,,2823.6458,0.0,175,3.6458,60,1.25,43,0.0,0.0,90463,59811,1246.0625,,84080.0,-0.0540415,,1264,206,143,63,30.625,15192.0,17944.0,256.0,16623.0,18007.0,285.0,-1431.0,-63.0,-29.0,2.0,6.0,2.0,2.0,3.0,2.0,23535.0,29640.0,446.0,24747.0,29130.0,454.0,-1212.0,510.0,-8.0,3.0,7.0,4.0,4.0,7.0,3.0
2531,TRLH1/1002040246,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002040246?gameHash=e0dd3c7026cdb67d&amp;tab=overview,NA LCS,2017,Spring,0,2017-01-22 19:21:07,1,7.01,200,Red,team,,Immortals,,LeBlanc,Camille,Rengar,Poppy,,3123,0,14,26,29,14,26,1.0,0.0,0.0,0.0,1.0,,,,0.269,0.7685,1.0,4.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,11.0,7.0,0.0,1.0,3.0,1.0,94215,1810.0865,,3516.0423,0.0,185,3.5543,53,1.0183,44,0.0,0.0,95868,62737,1205.3218,,90340.0,0.0416973,,1272,255,160,95,29.3372,16062.0,18282.0,280.0,16302.0,19559.0,270.0,-240.0,-1277.0,10.0,4.0,5.0,5.0,5.0,8.0,4.0,26469.0,29550.0,451.0,24605.0,30063.0,460.0,1864.0,-513.0,-9.0,7.0,11.0,5.0,5.0,8.0,7.0
2554,TRLH1/1002040258,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002040258?gameHash=21bd3a2eef5fcd99&amp;tab=overview,NA LCS,2017,Spring,0,2017-01-22 21:11:13,2,7.01,100,Blue,team,,Immortals,,Zyra,Ashe,Malzahar,Taric,Nautilus,3043,1,17,13,38,17,13,1.0,0.0,0.0,0.0,1.0,,,,0.3352,0.5915,1.0,4.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,8.0,7.0,1.0,1.0,2.0,0.0,119519,2356.602,,2662.2018,0.0,176,3.4703,65,1.2816,49,0.0,0.0,91915,59600,1175.1561,,84650.0,-0.0618203,,1372,213,134,79,31.2521,15281.0,18761.0,313.0,14460.0,18623.0,303.0,821.0,138.0,10.0,1.0,1.0,0.0,0.0,0.0,1.0,25764.0,31655.0,490.0,22493.0,29156.0,478.0,3271.0,2499.0,12.0,5.0,5.0,2.0,2.0,2.0,5.0
2579,TRLH1/1002040260,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002040260?gameHash=5494e7ce13fded45&amp;tab=overview,NA LCS,2017,Spring,0,2017-01-22 22:24:17,3,7.01,200,Red,team,,Immortals,,Camille,Rengar,LeBlanc,Miss Fortune,Karma,2304,0,7,13,7,7,13,0.0,0.0,0.0,0.0,0.0,,,,0.1823,0.5208,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,11.0,0.0,0.0,0.0,3.0,68366,1780.3646,,2244.6615,0.0,126,3.2813,46,1.1979,37,0.0,0.0,60877,36100,940.1042,,57865.0,-0.0742959,,1048,158,94,64,31.4063,14166.0,17444.0,267.0,15473.0,17349.0,292.0,-1307.0,95.0,-25.0,1.0,0.0,3.0,3.0,6.0,1.0,22756.0,29109.0,445.0,26437.0,28167.0,457.0,-3681.0,942.0,-12.0,4.0,2.0,6.0,6.0,12.0,4.0
3754,TRLH1/1002050241,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002050241?gameHash=458bd95d8371f217&amp;tab=overview,NA LCS,2017,Spring,0,2017-01-28 19:50:09,1,7.01,100,Blue,team,,Immortals,,Zyra,Ryze,Malzahar,Syndra,Aatrox,1652,0,3,13,4,3,13,0.0,0.0,0.0,0.0,0.0,,,,0.109,0.5811,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,3.0,29727,1079.6731,,2238.3051,0.0,86,3.1235,24,0.8717,31,0.0,0.0,40730,22604,820.9685,,38235.0,-0.200812,,723,91,61,30,29.5642,14022.0,17411.0,265.0,15364.0,19085.0,294.0,-1342.0,-1674.0,-29.0,1.0,1.0,2.0,2.0,2.0,1.0,21991.0,27913.0,417.0,25555.0,31352.0,483.0,-3564.0,-3439.0,-66.0,3.0,4.0,5.0,5.0,5.0,3.0
3767,TRLH1/1002050255,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002050255?gameHash=89a31bd88d2209dc&amp;tab=overview,NA LCS,2017,Spring,0,2017-01-28 20:45:36,2,7.01,200,Red,team,,Immortals,,Camille,Rengar,LeBlanc,Karma,Thresh,2370,0,5,20,13,5,20,0.0,0.0,0.0,0.0,0.0,,,,0.1266,0.6329,0.0,1.0,4.0,1.0,3.0,0.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,11.0,0.0,0.0,0.0,4.0,71367,1806.7595,,2743.3165,0.0,139,3.519,38,0.962,37,0.0,0.0,61494,36044,912.5063,,59745.0,-0.133333,,1044,168,109,59,30.6835,13883.0,17892.0,273.0,14831.0,18586.0,306.0,-948.0,-694.0,-33.0,0.0,0.0,1.0,1.0,0.0,0.0,21563.0,28708.0,450.0,22614.0,29974.0,487.0,-1051.0,-1266.0,-37.0,1.0,3.0,2.0,2.0,2.0,1.0
4211,TRLH1/1002040392,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002040392?gameHash=38f16283d945623d&amp;tab=overview,NA LCS,2017,Spring,0,2017-01-29 21:43:04,1,7.01,200,Red,team,,Immortals,,LeBlanc,Rengar,Camille,Kennen,Ekko,2330,0,11,27,19,11,27,1.0,0.0,0.0,0.0,0.0,,,,0.2833,0.9785,0.0,1.0,4.0,1.0,3.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,11.0,0.0,0.0,0.0,3.0,68146,1754.8326,,3123.3476,0.0,155,3.9914,45,1.1588,44,0.0,0.0,70294,45252,1165.2876,,66361.0,-0.0913059,,1094,217,124,93,33.7597,15126.0,18215.0,280.0,17489.0,19456.0,311.0,-2363.0,-1241.0,-31.0,2.0,0.0,6.0,6.0,7.0,2.0,24033.0,30707.0,490.0,26087.0,31007.0,501.0,-2054.0,-300.0,-11.0,4.0,0.0,8.0,8.0,12.0,4.0
4234,TRLH1/1002040407,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002040407?gameHash=d33877d754331039&amp;tab=overview,NA LCS,2017,Spring,0,2017-01-29 22:45:53,2,7.01,100,Blue,team,,Immortals,,Zyra,Malzahar,Syndra,Jayce,Taric,2004,1,15,7,35,15,7,2.0,1.0,0.0,0.0,1.0,,,,0.4491,0.6587,1.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,2.0,1.0,1.0,1.0,0.0,64280,1924.5509,,2397.8144,0.0,114,3.4132,30,0.8982,35,0.0,0.0,64921,43204,1293.5329,,54500.0,0.0395752,,934,195,108,87,33.8024,15650.0,18566.0,300.0,15128.0,18807.0,300.0,522.0,-241.0,0.0,2.0,3.0,2.0,2.0,1.0,2.0,23540.0,29578.0,480.0,22870.0,29638.0,488.0,670.0,-60.0,-8.0,3.0,4.0,3.0,3.0,2.0,3.0
