,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
1546,TRLH1/1002050056,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002050056?gameHash=a70a111867a1816d&amp;tab=overview,NA LCS,2017,Spring,0,2017-01-20 22:41:26,1,7.01,100,Blue,team,,TSM,,Rengar,Olaf,Janna,Nautilus,Poppy,2422,0,12,20,35,12,20,2.0,0.0,0.0,0.0,0.0,,,,0.2973,0.7927,0.0,3.0,2.0,3.0,1.0,1.0,0.0,2.0,0.0,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,11.0,0.0,0.0,0.0,1.0,66344,1643.5343,,3704.2197,0.0,146,3.6168,41,1.0157,34,0.0,0.0,69273,43293,1072.4938,,67335.0,-0.0458536,,1042,211,121,90,31.0405,14557.0,18579.0,322.0,14785.0,18699.0,317.0,-228.0,-120.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,22321.0,29134.0,498.0,24649.0,30103.0,506.0,-2328.0,-969.0,-8.0,1.0,2.0,2.0,2.0,3.0,1.0
1571,TRLH1/1002050068,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002050068?gameHash=5210793878197802&amp;tab=overview,NA LCS,2017,Spring,0,2017-01-21 00:09:37,2,7.01,200,Red,team,,TSM,,LeBlanc,Camille,Rengar,Karma,Lulu,2202,0,10,24,25,10,24,1.0,0.0,0.0,0.0,0.0,,,,0.2725,0.9264,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,2.0,64484,1757.0572,,3484.8774,0.0,123,3.3515,49,1.3351,25,0.0,0.0,62606,38870,1059.1281,,60910.0,-0.0384832,,979,184,108,76,31.6894,14679.0,18636.0,314.0,15438.0,19368.0,312.0,-759.0,-732.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,22267.0,27987.0,468.0,26341.0,32682.0,500.0,-4074.0,-4695.0,-32.0,2.0,5.0,7.0,7.0,9.0,2.0
2530,TRLH1/1002040246,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002040246?gameHash=e0dd3c7026cdb67d&amp;tab=overview,NA LCS,2017,Spring,0,2017-01-22 19:21:07,1,7.01,100,Blue,team,,TSM,,Syndra,Fiora,Zyra,Lee Sin,Rek'Sai,3123,1,26,14,61,26,14,4.0,1.0,0.0,0.0,0.0,,,,0.4995,0.7685,0.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,11.0,1.0,0.0,1.0,3.0,145150,2788.6647,,2517.7137,0.0,165,3.17,71,1.3641,37,0.0,0.0,95276,62145,1193.9481,,86650.0,-0.0416973,,1381,210,143,67,30.5668,16302.0,19559.0,270.0,16062.0,18282.0,280.0,240.0,1277.0,-10.0,5.0,8.0,4.0,4.0,5.0,5.0,24605.0,30063.0,460.0,26469.0,29550.0,451.0,-1864.0,513.0,9.0,5.0,8.0,7.0,7.0,11.0,5.0
2555,TRLH1/1002040258,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002040258?gameHash=21bd3a2eef5fcd99&amp;tab=overview,NA LCS,2017,Spring,0,2017-01-22 21:11:13,2,7.01,200,Red,team,,TSM,,Camille,LeBlanc,Rengar,Jhin,Ezreal,3043,0,13,17,31,13,17,0.0,0.0,0.0,0.0,0.0,,,,0.2563,0.5915,0.0,1.0,4.0,1.0,3.0,0.0,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,2.0,91463,1803.4111,,3041.1896,0.0,212,4.1801,51,1.0056,38,0.0,0.0,92574,60259,1188.1499,,90050.0,0.0618203,,1335,285,142,143,31.9422,14460.0,18623.0,303.0,15281.0,18761.0,313.0,-821.0,-138.0,-10.0,0.0,0.0,1.0,1.0,1.0,0.0,22493.0,29156.0,478.0,25764.0,31655.0,490.0,-3271.0,-2499.0,-12.0,2.0,2.0,5.0,5.0,5.0,2.0
2578,TRLH1/1002040260,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002040260?gameHash=5494e7ce13fded45&amp;tab=overview,NA LCS,2017,Spring,0,2017-01-22 22:24:17,3,7.01,100,Blue,team,,TSM,,Fiora,Syndra,Malzahar,Zyra,Nautilus,2304,1,13,7,29,13,7,0.0,0.0,0.0,0.0,1.0,,,,0.3385,0.5208,1.0,4.0,0.0,4.0,0.0,1.0,2.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,11.0,2.0,1.0,1.0,3.0,0.0,62270,1621.6146,,2522.8125,0.0,150,3.9063,50,1.3021,29,0.0,0.0,70727,45950,1196.6146,,62330.0,0.0742959,,1029,173,87,86,31.3021,15473.0,17349.0,292.0,14166.0,17444.0,267.0,1307.0,-95.0,25.0,3.0,6.0,1.0,1.0,0.0,3.0,26437.0,28167.0,457.0,22756.0,29109.0,445.0,3681.0,-942.0,12.0,6.0,12.0,4.0,4.0,2.0,6.0
3394,TRLH1/1002040296,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002040296?gameHash=98bffa495cec23fd&amp;tab=overview,NA LCS,2017,Spring,0,2017-01-28 00:52:45,1,7.01,100,Blue,team,,TSM,,Syndra,Jayce,Zyra,Elise,Lee Sin,2927,0,19,14,58,19,14,2.0,0.0,0.0,0.0,0.0,,,,0.3895,0.6765,0.0,1.0,4.0,1.0,3.0,0.0,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,5.0,10.0,1.0,1.0,1.0,2.0,98260,2014.2125,,2660.7448,0.0,153,3.1363,60,1.2299,33,0.0,0.0,88543,57412,1176.8773,,82020.0,-0.117674,,1382,203,130,73,32.4906,16248.0,18699.0,316.0,15445.0,18325.0,313.0,803.0,374.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,24482.0,28366.0,474.0,23898.0,28823.0,474.0,584.0,-457.0,0.0,4.0,8.0,4.0,4.0,5.0,4.0
3407,TRLH1/1002040305,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002040305?gameHash=8ebded6f8641cc65&amp;tab=overview,NA LCS,2017,Spring,0,2017-01-28 02:08:11,2,7.01,200,Red,team,,TSM,,Rengar,Camille,Syndra,Miss Fortune,Taric,2391,1,10,5,29,10,5,0.0,0.0,0.0,0.0,1.0,,,,0.2509,0.3764,0.0,3.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,11.0,2.0,0.0,1.0,4.0,0.0,48305,1212.1706,,2022.5596,0.0,154,3.8645,51,1.2798,38,0.0,0.0,75117,49453,1240.9787,,68895.0,0.156422,,1113,195,112,83,32.8231,15012.0,18333.0,310.0,14458.0,18543.0,300.0,554.0,-210.0,10.0,1.0,1.0,0.0,0.0,0.0,1.0,23894.0,28912.0,495.0,22284.0,29453.0,485.0,1610.0,-541.0,10.0,2.0,3.0,1.0,1.0,1.0,2.0
3430,TRLH1/1002040306,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002040306?gameHash=3c0bbf9519a44fb1&amp;tab=overview,NA LCS,2017,Spring,0,2017-01-28 03:08:49,3,7.01,100,Blue,team,,TSM,,Syndra,Zyra,Jayce,Malzahar,Karma,1780,1,12,3,36,12,3,1.0,1.0,0.0,0.0,1.0,,,,0.4045,0.5056,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,10.0,2.0,1.0,1.0,2.0,0.0,56233,1895.4944,,2162.427,0.0,104,3.5056,30,1.0112,27,0.0,0.0,58342,38910,1311.573,,53530.0,0.186571,,854,138,83,55,33.4382,15265.0,18271.0,299.0,14497.0,18006.0,305.0,768.0,265.0,-6.0,2.0,3.0,0.0,0.0,0.0,2.0,23376.0,27133.0,462.0,23066.0,28456.0,481.0,310.0,-1323.0,-19.0,2.0,3.0,1.0,1.0,3.0,2.0
3802,TRLH1/1002050259,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002050259?gameHash=c311fd655762f0e6&amp;tab=overview,NA LCS,2017,Spring,0,2017-01-28 21:44:59,1,7.01,100,Blue,team,,TSM,,Olaf,Elise,Rek'Sai,Maokai,Jhin,2461,1,21,16,42,21,16,2.0,0.0,0.0,0.0,1.0,,,,0.512,0.9021,0.0,2.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,3.0,1.0,1.0,1.0,0.0,76515,1865.4612,,3178.464,0.0,124,3.0232,44,1.0727,29,0.0,0.0,81172,54794,1335.896,,76035.0,0.0943396,,1106,223,129,94,32.4015,14937.0,18952.0,325.0,14785.0,19219.0,327.0,152.0,-267.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,23738.0,31131.0,516.0,22656.0,30518.0,537.0,1082.0,613.0,-21.0,2.0,2.0,0.0,0.0,0.0,2.0
3839,TRLH1/1002050274,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002050274?gameHash=40af06c41c23eb28&amp;tab=overview,NA LCS,2017,Spring,0,2017-01-28 22:51:19,2,7.01,200,Red,team,,TSM,,Rengar,LeBlanc,Camille,Fiora,Jayce,2524,0,6,17,18,6,17,0.0,0.0,0.0,0.0,1.0,,,,0.1426,0.5468,0.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,9.0,0.0,1.0,0.0,1.0,67590,1606.7353,,2381.6719,0.0,163,3.8748,48,1.141,39,0.0,0.0,65993,38972,926.4342,,64550.0,-0.109256,,1135,174,113,61,31.1173,15133.0,19062.0,320.0,14882.0,18900.0,304.0,251.0,162.0,16.0,1.0,2.0,1.0,1.0,1.0,1.0,23752.0,29320.0,499.0,22611.0,29859.0,490.0,1141.0,-539.0,9.0,1.0,2.0,2.0,2.0,3.0,1.0
3862,TRLH1/1002050275,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002050275?gameHash=fca13b89859e5f35&amp;tab=overview,NA LCS,2017,Spring,0,2017-01-28 23:57:07,3,7.01,100,Blue,team,,TSM,,Olaf,Elise,Rek'Sai,Syndra,Lulu,2731,1,10,7,30,10,7,1.0,0.0,0.0,0.0,0.0,,,,0.2197,0.3735,0.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,11.0,2.0,1.0,1.0,4.0,0.0,95830,2105.3826,,2331.0802,0.0,141,3.0978,68,1.494,33,0.0,0.0,86579,57447,1262.1091,,82420.0,0.111371,,1305,241,139,102,33.9656,14861.0,19221.0,329.0,14771.0,19020.0,327.0,90.0,201.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,22231.0,29663.0,514.0,22463.0,29258.0,496.0,-232.0,405.0,18.0,0.0,0.0,1.0,1.0,2.0,0.0
5519,TRLH1/1002070038,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002070038?gameHash=782af688a4b3d7a3&amp;tab=overview,NA LCS,2017,Spring,0,2017-02-04 19:43:06,1,7.02,200,Red,team,,TSM,,Rengar,LeBlanc,Camille,Miss Fortune,Bard,1652,0,5,11,6,5,11,0.0,0.0,0.0,0.0,0.0,,,,0.1816,0.5811,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,7.0,1.0,1.0,0.0,1.0,38311,1391.4407,,2126.9855,0.0,86,3.1235,29,1.0533,24,0.0,0.0,45220,27094,984.0436,,42216.0,-0.0446729,,766,102,80,22,31.5254,14916.0,18252.0,263.0,15268.0,17099.0,291.0,-352.0,1153.0,-28.0,3.0,4.0,2.0,2.0,3.0,3.0,23480.0,28976.0,458.0,23454.0,26883.0,452.0,26.0,2093.0,6.0,3.0,4.0,2.0,2.0,3.0,3.0
5530,TRLH1/1002070055,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002070055?gameHash=bd69c617a8590d5d&amp;tab=overview,NA LCS,2017,Spring,0,2017-02-04 20:47:42,2,7.02,100,Blue,team,,TSM,,Maokai,Kha'Zix,Aurelion Sol,Zyra,Bard,1544,1,21,6,41,21,6,1.0,1.0,0.0,0.0,1.0,,,,0.8161,1.0492,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,9.0,0.0,1.0,1.0,1.0,0.0,54017,2099.1062,,2617.4611,0.0,96,3.7306,18,0.6995,23,0.0,0.0,53440,36415,1415.0907,,46241.0,0.242232,,695,116,66,50,31.5155,15355.0,18422.0,310.0,13637.0,16980.0,269.0,1718.0,1442.0,41.0,2.0,2.0,0.0,0.0,0.0,2.0,24419.0,31010.0,491.0,21476.0,27886.0,442.0,2943.0,3124.0,49.0,6.0,9.0,2.0,2.0,4.0,6.0
5555,TRLH1/1002070061,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002070061?gameHash=28be491eb4dc7307&amp;tab=overview,NA LCS,2017,Spring,0,2017-02-04 21:33:56,3,7.02,200,Red,team,,TSM,,Rengar,Camille,LeBlanc,Aurelion Sol,Malzahar,1940,1,17,9,49,17,9,1.0,1.0,0.0,0.0,1.0,,,,0.5258,0.8041,1.0,3.0,1.0,3.0,1.0,0.0,2.0,1.0,0.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,56006,1732.1443,,2581.4227,0.0,102,3.1546,39,1.2062,27,0.0,0.0,62881,41817,1293.3093,,52035.0,0.0695004,,929,103,77,26,31.9175,15800.0,20124.0,318.0,14210.0,17927.0,300.0,1590.0,2197.0,18.0,2.0,3.0,0.0,0.0,0.0,2.0,24242.0,30232.0,492.0,23625.0,28900.0,461.0,617.0,1332.0,31.0,3.0,5.0,3.0,3.0,6.0,3.0
6035,TRLH1/1002060104,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002060104?gameHash=dd33ffcf9e219e90&amp;tab=overview,NA LCS,2017,Spring,0,2017-02-05 19:45:04,1,7.02,200,Red,team,,TSM,,Rengar,Camille,LeBlanc,Tahm Kench,Miss Fortune,1949,0,2,13,2,2,13,0.0,0.0,0.0,0.0,1.0,,,,0.0616,0.4618,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,10.0,1.0,1.0,0.0,2.0,41685,1283.2735,,2627.1626,0.0,112,3.4479,30,0.9236,32,0.0,0.0,51628,30472,938.0811,,47900.0,-0.163484,,873,164,101,63,31.9241,14509.0,18717.0,309.0,14063.0,18750.0,293.0,446.0,-33.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,24727.0,29218.0,477.0,22517.0,30035.0,471.0,2210.0,-817.0,6.0,2.0,2.0,1.0,1.0,1.0,2.0
