,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
1462,TRLH3/1001910097,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001910097?gameHash=4cdfcc0ba4e0f71a&amp;tab=overview,EU LCS,2017,Spring,0,2017-01-20 15:38:11,1,7.01,100,Blue,team,,Misfits Gaming,,Zyra,Malzahar,Katarina,Jayce,Fiora,2814,0,12,17,30,12,17,0.0,0.0,0.0,0.0,1.0,,,,0.2559,0.6183,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,11.0,0.0,1.0,0.0,3.0,104716,2232.7505,,3178.5501,0.0,137,2.9211,172,3.6674,39,0.0,0.0,78878,48899,1042.6226,,74425.0,-0.0984683,,1291,224,149,75,32.3028,15351.0,18672.0,324.0,14626.0,18242.0,320.0,725.0,430.0,4.0,2.0,3.0,0.0,0.0,0.0,2.0,25106.0,29142.0,509.0,22564.0,28163.0,491.0,2542.0,979.0,18.0,3.0,6.0,0.0,0.0,0.0,3.0
1474,TRLH3/1001910119,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001910119?gameHash=5b84eed34b794ad6&amp;tab=overview,EU LCS,2017,Spring,0,2017-01-20 17:06:52,2,7.01,100,Blue,team,,Misfits Gaming,,Zyra,Illaoi,LeBlanc,Jayce,,1602,1,14,4,24,14,4,1.0,0.0,0.0,0.0,0.0,,,,0.5243,0.6742,1.0,3.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,8.0,1.0,1.0,1.0,1.0,0.0,45265,1695.3184,,1884.8689,0.0,81,3.0337,44,1.6479,21,0.0,0.0,52296,34680,1298.8764,,45635.0,0.188467,,724,116,58,58,31.4607,14654.0,17694.0,254.0,14996.0,17379.0,262.0,-342.0,315.0,-8.0,3.0,3.0,3.0,3.0,4.0,3.0,24379.0,29118.0,443.0,22408.0,27613.0,439.0,1971.0,1505.0,4.0,5.0,6.0,3.0,3.0,4.0,5.0
1486,TRLH3/1001910125,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001910125?gameHash=b7eabec01dfcc9d7&amp;tab=overview,EU LCS,2017,Spring,0,2017-01-20 17:55:52,3,7.01,100,Blue,team,,Misfits Gaming,,Zyra,Illaoi,LeBlanc,Corki,Jayce,2175,1,13,5,39,13,5,1.0,0.0,0.0,0.0,1.0,,,,0.3586,0.4966,0.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,5.0,1.0,1.0,1.0,0.0,51809,1429.2138,,2256.7172,0.0,109,3.0069,49,1.3517,26,0.0,0.0,64743,41282,1138.8138,,56910.0,0.0147807,,1009,194,123,71,33.1862,15150.0,18553.0,318.0,14857.0,16997.0,253.0,293.0,1556.0,65.0,1.0,2.0,3.0,3.0,5.0,1.0,22878.0,26603.0,463.0,22339.0,26251.0,406.0,539.0,352.0,57.0,1.0,2.0,3.0,3.0,5.0,1.0
3154,TRLH3/1001920057,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001920057?gameHash=54cc4a7e3da206c4&amp;tab=overview,EU LCS,2017,Spring,0,2017-01-26 17:41:26,1,7.01,100,Blue,team,,Misfits Gaming,,Zyra,Malzahar,Ryze,Fiora,Tahm Kench,1965,1,16,1,39,16,1,2.0,1.0,0.0,0.0,1.0,,,,0.4885,0.5191,1.0,4.0,0.0,4.0,0.0,1.0,2.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,2.0,0.0,55789,1703.4809,,2137.4046,0.0,109,3.3282,50,1.5267,31,0.0,0.0,64329,43010,1313.2824,,57475.0,0.184676,,960,158,95,63,34.1374,16655.0,18401.0,314.0,14260.0,17626.0,293.0,2395.0,775.0,21.0,2.0,3.0,0.0,0.0,0.0,2.0,24228.0,28575.0,510.0,22157.0,29427.0,493.0,2071.0,-852.0,17.0,2.0,3.0,0.0,0.0,0.0,2.0
3167,TRLH3/1001920069,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001920069?gameHash=bf799c85424fe451&amp;tab=overview,EU LCS,2017,Spring,0,2017-01-26 18:42:46,2,7.01,200,Red,team,,Misfits Gaming,,Rengar,Camille,LeBlanc,Shen,Ryze,2949,1,12,12,20,12,12,1.0,0.0,0.0,0.0,1.0,,,,0.2442,0.4883,0.0,2.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,10.0,7.0,0.0,0.0,2.0,1.0,93021,1892.5941,,2816.5209,0.0,179,3.6419,73,1.4852,44,0.0,0.0,89136,57780,1175.5849,,81775.0,0.0235076,,1279,289,164,125,31.9023,15424.0,18003.0,307.0,13922.0,18399.0,276.0,1502.0,-396.0,31.0,2.0,4.0,0.0,0.0,0.0,2.0,23331.0,29040.0,491.0,23050.0,29123.0,451.0,281.0,-83.0,40.0,2.0,4.0,2.0,2.0,3.0,2.0
3706,TRLH3/1001930130,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001930130?gameHash=cb5516326d95e3e9&amp;tab=overview,EU LCS,2017,Spring,0,2017-01-28 18:08:14,1,7.01,100,Blue,team,,Misfits Gaming,,Zyra,Malzahar,Ryze,Rumble,Gangplank,2606,1,15,6,55,15,6,3.0,1.0,0.0,0.0,1.0,,,,0.3454,0.4835,1.0,5.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,9.0,3.0,1.0,1.0,1.0,0.0,60769,1399.1328,,2555.825,0.0,165,3.7989,74,1.7038,54,0.0,0.0,81160,53303,1227.2371,,72950.0,0.0790436,,1168,242,117,125,32.4635,16369.0,17035.0,271.0,15512.0,18238.0,313.0,857.0,-1203.0,-42.0,3.0,11.0,1.0,1.0,2.0,3.0,25582.0,28927.0,449.0,22230.0,26542.0,464.0,3352.0,2385.0,-15.0,6.0,23.0,1.0,1.0,2.0,6.0
3743,TRLH3/1001930136,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001930136?gameHash=0f15c2690aedae7a&amp;tab=overview,EU LCS,2017,Spring,0,2017-01-28 19:21:41,2,7.01,200,Red,team,,Misfits Gaming,,Rengar,Camille,LeBlanc,Shen,Katarina,2567,0,6,13,14,6,13,0.0,0.0,0.0,0.0,0.0,,,,0.1402,0.4441,1.0,2.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,11.0,0.0,0.0,0.0,4.0,77781,1818.021,,2865.8824,0.0,149,3.4827,58,1.3557,33,0.0,0.0,68338,40879,955.4889,,66885.0,-0.136519,,1285,155,107,48,33.658,14361.0,18356.0,293.0,14934.0,19130.0,322.0,-573.0,-774.0,-29.0,0.0,0.0,0.0,0.0,0.0,0.0,21940.0,30041.0,485.0,22724.0,30864.0,509.0,-784.0,-823.0,-24.0,0.0,0.0,0.0,0.0,0.0,0.0
3778,TRLH3/1001930138,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001930138?gameHash=0f743e2bda191d26&amp;tab=overview,EU LCS,2017,Spring,0,2017-01-28 20:51:01,3,7.01,100,Blue,team,,Misfits Gaming,,Zyra,Malzahar,Ryze,Katarina,Tahm Kench,2164,0,3,9,9,3,9,0.0,0.0,0.0,0.0,1.0,,,,0.0832,0.3327,1.0,3.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,10.0,0.0,0.0,0.0,2.0,53890,1494.1774,,2274.5102,0.0,109,3.0222,41,1.1368,33,0.0,0.0,54708,31359,869.4732,,52935.0,-0.0698268,,950,121,63,58,29.695,14399.0,16483.0,275.0,14259.0,17858.0,300.0,140.0,-1375.0,-25.0,1.0,3.0,0.0,0.0,0.0,1.0,23202.0,27630.0,459.0,23129.0,28906.0,495.0,73.0,-1276.0,-36.0,2.0,6.0,0.0,0.0,0.0,2.0
4751,TRLH3/1001950028,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001950028?gameHash=bd4c9ff9e4022860&amp;tab=overview,EU LCS,2017,Spring,0,2017-02-02 18:43:07,1,7.02,200,Red,team,,Misfits Gaming,,Rengar,Camille,LeBlanc,Katarina,Ryze,2458,1,12,7,31,12,7,1.0,0.0,0.0,0.0,1.0,,,,0.2929,0.4638,0.0,3.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,9.0,7.0,0.0,0.0,2.0,1.0,79266,1934.8902,,2057.38,0.0,127,3.1001,64,1.5622,29,0.0,0.0,76261,49913,1218.3808,,67458.0,0.0274705,,1172,170,123,47,32.7583,14853.0,17682.0,301.0,14724.0,18158.0,298.0,129.0,-476.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,24357.0,27819.0,471.0,25471.0,29154.0,490.0,-1114.0,-1335.0,-19.0,1.0,2.0,2.0,2.0,3.0,1.0
4762,TRLH3/1001950034,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001950034?gameHash=e0861e8027b37940&amp;tab=overview,EU LCS,2017,Spring,0,2017-02-02 19:49:06,2,7.02,100,Blue,team,,Misfits Gaming,,Zyra,Malzahar,Shen,Ryze,Syndra,2021,1,22,5,59,22,5,1.0,0.0,0.0,0.0,0.0,,,,0.6531,0.8016,1.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,9.0,3.0,0.0,0.0,1.0,0.0,72288,2146.1059,,2287.9565,0.0,102,3.0282,38,1.1282,26,0.0,0.0,64299,42409,1259.05,,56243.0,0.148668,,866,107,79,28,28.8867,15092.0,19518.0,286.0,14603.0,18293.0,279.0,489.0,1225.0,7.0,2.0,2.0,1.0,1.0,1.0,2.0,25220.0,31332.0,464.0,24034.0,28977.0,472.0,1186.0,2355.0,-8.0,5.0,9.0,2.0,2.0,2.0,5.0
