,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
1498,TRLH3/1001910133,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001910133?gameHash=c9d8c394781228a1&amp;tab=overview,EU LCS,2017,Spring,0,2017-01-20 18:52:44,1,7.01,100,Blue,team,,Team Vitality,,Ryze,Rumble,Shen,Ashe,Varus,1648,0,2,11,5,2,11,0.0,0.0,0.0,0.0,0.0,,,,0.0728,0.4733,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,48681,1772.3665,,2076.3714,0.0,83,3.0218,23,0.8374,30,0.0,0.0,41793,23707,863.1189,,40310.0,-0.132067,,741,160,98,62,32.8034,14284.0,18910.0,311.0,15305.0,19028.0,300.0,-1021.0,-118.0,11.0,0.0,0.0,1.0,1.0,1.0,0.0,22365.0,29578.0,496.0,22888.0,29717.0,465.0,-523.0,-139.0,31.0,1.0,1.0,2.0,2.0,4.0,1.0
1511,TRLH3/1001910148,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001910148?gameHash=812308e55c9af233&amp;tab=overview,EU LCS,2017,Spring,0,2017-01-20 19:49:11,2,7.01,200,Red,team,,Team Vitality,,Ryze,Rengar,Ivern,Ashe,Varus,1935,0,21,18,41,21,18,1.0,1.0,0.0,0.0,1.0,,,,0.6512,1.1783,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,11.0,0.0,0.0,0.0,2.0,71998,2232.4961,,2898.8217,0.0,123,3.814,28,0.8682,43,0.0,0.0,55145,34132,1058.3566,,52790.0,-0.0863308,,786,137,101,36,28.6202,15566.0,18179.0,270.0,15173.0,18298.0,310.0,393.0,-119.0,-40.0,4.0,4.0,2.0,2.0,1.0,4.0,23750.0,28868.0,441.0,23279.0,30218.0,506.0,471.0,-1350.0,-65.0,6.0,8.0,4.0,4.0,1.0,6.0
3263,TRLH3/1001930081,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001930081?gameHash=f726d996f4363336&amp;tab=overview,EU LCS,2017,Spring,0,2017-01-27 15:43:56,1,7.01,200,Red,team,,Team Vitality,,Camille,LeBlanc,Kha'Zix,Poppy,Maokai,2460,0,3,6,8,3,6,0.0,0.0,0.0,0.0,1.0,,,,0.0732,0.2195,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,4.0,49047,1196.2683,,1603.5366,0.0,148,3.6098,31,0.7561,53,0.0,0.0,62852,36484,889.8537,,61145.0,-0.14611,,1185,125,104,21,31.9512,14224.0,18319.0,288.0,15058.0,19040.0,333.0,-834.0,-721.0,-45.0,0.0,0.0,0.0,0.0,0.0,0.0,21959.0,29145.0,456.0,24499.0,28922.0,492.0,-2540.0,223.0,-36.0,1.0,1.0,1.0,1.0,3.0,1.0
3275,TRLH3/1001920107,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001920107?gameHash=216ef6004e09f9ef&amp;tab=overview,EU LCS,2017,Spring,0,2017-01-27 17:14:51,2,7.01,200,Red,team,,Team Vitality,,Camille,LeBlanc,Shen,Maokai,Corki,1636,0,6,19,12,6,19,0.0,0.0,0.0,0.0,1.0,,,,0.22,0.9169,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,10.0,0.0,0.0,0.0,1.0,35233,1292.1638,,3128.0318,0.0,90,3.3007,22,0.8068,34,0.0,0.0,40856,22893,839.5966,,38945.0,-0.148672,,628,97,86,11,26.5892,15253.0,17138.0,260.0,15846.0,16977.0,278.0,-593.0,161.0,-18.0,1.0,2.0,3.0,3.0,8.0,1.0,22909.0,28021.0,451.0,24096.0,29232.0,493.0,-1187.0,-1211.0,-42.0,1.0,2.0,3.0,3.0,8.0,1.0
4006,TRLH3/1001920165,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001920165?gameHash=bb5bcdcaaddc97c0&amp;tab=overview,EU LCS,2017,Spring,0,2017-01-29 15:06:39,1,7.01,100,Blue,team,,Team Vitality,,Zyra,Malzahar,Jayce,Rumble,Poppy,1823,1,14,3,30,14,3,1.0,0.0,0.0,0.0,1.0,,,,0.4608,0.5595,1.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,1.0,1.0,1.0,0.0,52440,1725.9462,,1861.9419,0.0,100,3.2913,38,1.2507,45,0.0,0.0,57983,38112,1254.3719,,52633.0,0.141555,,841,144,80,64,32.4191,15948.0,18954.0,309.0,14680.0,18091.0,320.0,1268.0,863.0,-11.0,3.0,4.0,0.0,0.0,0.0,3.0,25031.0,29969.0,495.0,22440.0,28958.0,524.0,2591.0,1011.0,-29.0,4.0,6.0,0.0,0.0,0.0,4.0
4043,TRLH3/1001930163,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001930163?gameHash=6b634194f954bd25&amp;tab=overview,EU LCS,2017,Spring,0,2017-01-29 15:48:16,2,7.01,200,Red,team,,Team Vitality,,LeBlanc,Zyra,Rengar,Poppy,Maokai,2630,1,27,21,48,27,21,2.0,0.0,0.0,0.0,1.0,,,,0.616,1.0951,0.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,10.0,4.0,0.0,1.0,4.0,0.0,99313,2265.6958,,2717.3384,0.0,158,3.6046,55,1.2548,60,0.0,0.0,86039,57937,1321.7567,,81925.0,0.111224,,1135,244,113,131,31.4601,16470.0,18653.0,315.0,13216.0,15873.0,252.0,3254.0,2780.0,63.0,4.0,4.0,0.0,0.0,0.0,4.0,25674.0,29595.0,495.0,23002.0,27096.0,400.0,2672.0,2499.0,95.0,5.0,5.0,6.0,6.0,16.0,5.0
4954,TRLH3/1001950041,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001950041?gameHash=409dd92037e76e31&amp;tab=overview,EU LCS,2017,Spring,0,2017-02-03 15:41:30,1,7.02,100,Blue,team,,Team Vitality,,Ashe,Jayce,Tahm Kench,Jhin,Caitlyn,2053,1,12,11,26,12,11,2.0,0.0,0.0,0.0,0.0,,,,0.3507,0.6722,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,11.0,2.0,1.0,1.0,3.0,0.0,75927,2219.0063,,2379.1038,0.0,141,4.1208,41,1.1982,59,0.0,0.0,66763,44546,1301.8802,,59225.0,0.119759,,986,116,93,23,32.2065,14582.0,18486.0,303.0,15523.0,18899.0,277.0,-941.0,-413.0,26.0,0.0,0.0,3.0,3.0,4.0,0.0,23373.0,28843.0,489.0,23310.0,29871.0,455.0,63.0,-1028.0,34.0,0.0,0.0,4.0,4.0,6.0,0.0
4967,TRLH3/1001950051,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001950051?gameHash=9a1f0366cd896b87&amp;tab=overview,EU LCS,2017,Spring,0,2017-02-03 16:53:30,2,7.02,200,Red,team,,Team Vitality,,Camille,LeBlanc,Rengar,Jhin,Ashe,1763,0,6,15,13,6,15,1.0,1.0,1.0,0.0,0.0,,,,0.2042,0.7147,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,10.0,0.0,0.0,0.0,2.0,42930,1461.0323,,2567.6801,0.0,92,3.131,24,0.8168,37,0.0,0.0,45953,26694,908.4742,,44250.0,-0.0811552,,758,123,85,38,29.983,13983.0,17783.0,291.0,14988.0,18390.0,314.0,-1005.0,-607.0,-23.0,0.0,0.0,1.0,1.0,0.0,0.0,21196.0,27436.0,443.0,23661.0,28852.0,487.0,-2465.0,-1416.0,-44.0,1.0,1.0,2.0,2.0,1.0,1.0
4978,TRLH3/1001950052,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001950052?gameHash=da57c45a8373b21b&amp;tab=overview,EU LCS,2017,Spring,0,2017-02-03 17:44:30,3,7.02,100,Blue,team,,Team Vitality,,Jayce,Caitlyn,Kha'Zix,Zyra,Lulu,2655,0,16,25,38,16,25,0.0,0.0,0.0,0.0,1.0,,,,0.3616,0.9266,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,11.0,0.0,0.0,0.0,5.0,107845,2437.1751,,3585.8079,0.0,176,3.9774,46,1.0395,53,0.0,0.0,77163,48806,1102.9605,,75053.0,-0.0933594,,1252,170,101,69,32.1356,16078.0,18872.0,306.0,14362.0,17431.0,263.0,1716.0,1441.0,43.0,4.0,6.0,1.0,1.0,1.0,4.0,23860.0,29494.0,483.0,23837.0,29283.0,433.0,23.0,211.0,50.0,5.0,9.0,5.0,5.0,6.0,5.0
7487,TRLH3/1001940156,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001940156?gameHash=980fe4b932ca50f1&amp;tab=overview,EU LCS,2017,Spring,0,2017-02-10 17:48:19,1,7.02,200,Red,team,,Team Vitality,,Rengar,Camille,LeBlanc,Ryze,Orianna,1833,0,7,15,13,7,15,0.0,0.0,0.0,0.0,0.0,,,,0.2291,0.7201,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,37903,1240.6874,,2497.054,0.0,86,2.8151,34,1.1129,32,0.0,0.0,44811,24838,813.0278,,40075.0,-0.303309,,757,102,74,28,28.1178,13896.0,18013.0,280.0,16804.0,18563.0,309.0,-2908.0,-550.0,-29.0,0.0,0.0,1.0,1.0,2.0,0.0,21209.0,28228.0,441.0,28034.0,29614.0,490.0,-6825.0,-1386.0,-49.0,1.0,1.0,3.0,3.0,5.0,1.0
