,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
38425,ESPORTSTMNT06/730202,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/730202?gameHash=bb9389657f612a6d&amp;tab=overview,LCK,2018,Summer,0,2018-06-12 10:31:47,1,8.11,200,Red,team,,Hanwha Life Esports,,Pyke,Taliyah,Taric,Kennen,Lucian,1598,1,15,6,40,15,6,5.0,0.0,0.0,0.0,1.0,,,,0.5632,0.7885,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,10.0,2.0,1.0,1.0,2.0,0.0,40305,1513.3292,,1969.2991,1204.4305,125,4.6934,34,1.2766,39,220.0,8.2603,54149,36471,1369.3742,,47933.0,0.163749,,692.0,153,105,11,31.7272,16785.0,18863.0,283.0,15043.0,18269.0,314.0,1742.0,594.0,-31.0,4.0,3.0,2.0,2.0,4.0,4.0,26484.0,31241.0,456.0,24287.0,29113.0,481.0,2197.0,2128.0,-25.0,9.0,18.0,5.0,5.0,12.0,9.0
38460,ESPORTSTMNT06/720189,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/720189?gameHash=1145a5165c23603d&amp;tab=overview,LCK,2018,Summer,0,2018-06-12 11:37:05,2,8.11,100,Blue,team,,Hanwha Life Esports,,Taric,Pyke,Taliyah,Karthus,Darius,2222,0,10,19,27,10,19,0.0,0.0,0.0,0.0,1.0,,,,0.27,0.7831,1.0,4.0,1.0,4.0,1.0,2.0,0.0,0.0,2.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,7.0,7.0,1.0,1.0,1.0,1.0,59206,1598.7219,,2770.045,2081.5302,120,3.2403,44,1.1881,45,262.0,7.0747,64747,40705,1099.1449,,63121.0,-0.0904395,,960.0,221,137,37,31.8902,15389.0,18156.0,289.0,14876.0,18903.0,328.0,513.0,-747.0,-39.0,2.0,3.0,0.0,0.0,0.0,2.0,25646.0,30373.0,475.0,24324.0,30119.0,499.0,1322.0,254.0,-24.0,6.0,12.0,3.0,3.0,7.0,6.0
38485,ESPORTSTMNT06/720196,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/720196?gameHash=7352467eb94cd57f,LCK,2018,Summer,0,2018-06-12 12:43:33,3,8.11,200,Red,team,,Hanwha Life Esports,,Taliyah,Pyke,Taric,Soraka,Shen,1791,0,5,15,11,5,15,0.0,0.0,0.0,0.0,1.0,,,,0.1675,0.67,1.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,2.0,40781,1366.1977,,2689.8157,1578.2245,95,3.1826,38,1.273,44,207.0,6.9347,44563,24917,834.7404,,43799.0,-0.103406,,773.0,132,90,8,30.3183,14960.0,17412.0,309.0,14035.0,17442.0,287.0,925.0,-30.0,22.0,1.0,3.0,0.0,0.0,0.0,1.0,22275.0,27987.0,490.0,23721.0,29711.0,490.0,-1446.0,-1724.0,0.0,1.0,3.0,1.0,1.0,2.0,1.0
38772,ESPORTSTMNT06/730427,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/730427?gameHash=9dbbccaf7d4768ca&amp;tab=overview,LCK,2018,Summer,0,2018-06-14 07:31:48,1,8.11,100,Blue,team,,Hanwha Life Esports,,Lucian,Master Yi,Lulu,Olaf,Graves,2220,1,12,7,31,12,7,1.0,0.0,0.0,0.0,0.0,,,,0.3243,0.5135,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,10.0,3.0,1.0,1.0,2.0,0.0,59687,1613.1622,,2072.1622,2222.4595,119,3.2162,58,1.5676,52,288.0,7.7838,67147,43125,1165.5405,,62650.0,0.0925533,,993.0,250,161,27,33.5946,14903.0,19326.0,343.0,15226.0,18430.0,327.0,-323.0,896.0,16.0,0.0,0.0,1.0,1.0,1.0,0.0,23011.0,29026.0,506.0,22716.0,29488.0,509.0,295.0,-462.0,-3.0,1.0,3.0,2.0,2.0,3.0,1.0
38809,ESPORTSTMNT06/730432,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/730432?gameHash=033e812a5f4bc1b0&amp;tab=overview,LCK,2018,Summer,0,2018-06-14 08:48:31,2,8.11,200,Red,team,,Hanwha Life Esports,,Taliyah,Master Yi,Zoe,Kennen,Pyke,2043,1,17,8,51,17,8,1.0,0.0,0.0,0.0,1.0,,,,0.4993,0.7342,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,10.0,4.0,1.0,1.0,2.0,0.0,60861,1787.4009,,2337.9148,1909.8678,129,3.7885,44,1.2922,49,271.0,7.9589,63538,41321,1213.5389,,56383.0,0.0646307,,794.0,210,128,26,29.486,15542.0,17147.0,270.0,15005.0,18479.0,293.0,537.0,-1332.0,-23.0,4.0,11.0,2.0,2.0,2.0,4.0,24080.0,27177.0,429.0,23016.0,28226.0,469.0,1064.0,-1049.0,-40.0,4.0,11.0,3.0,3.0,4.0,4.0
39937,ESPORTSTMNT06/720884,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/720884?gameHash=8d696b9669e64d17&amp;tab=overview,LCK,2018,Summer,0,2018-06-17 10:04:06,1,8.11,200,Red,team,,Hanwha Life Esports,,Taliyah,Taric,Zoe,Galio,Dr. Mundo,1894,1,14,8,31,14,8,1.0,0.0,0.0,0.0,0.0,,,,0.4435,0.6969,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,7.0,4.0,0.0,0.0,1.0,0.0,46718,1479.9789,,2532.0063,1395.5227,102,3.2313,46,1.4572,43,232.0,7.3495,60181,39484,1250.8131,,52150.0,0.0342686,,929.0,196,116,23,35.6389,14560.0,18689.0,320.0,15051.0,19162.0,322.0,-491.0,-473.0,-2.0,0.0,0.0,1.0,1.0,0.0,0.0,22773.0,30259.0,518.0,24028.0,30566.0,515.0,-1255.0,-307.0,3.0,1.0,4.0,4.0,4.0,8.0,1.0
39972,ESPORTSTMNT06/720906,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/720906?gameHash=ee97764f290b68f6,LCK,2018,Summer,0,2018-06-17 11:42:05,2,8.11,100,Blue,team,,Hanwha Life Esports,,Taric,Braum,Zoe,Dr. Mundo,Ornn,1971,1,13,9,41,13,9,3.0,0.0,0.0,0.0,1.0,,,,0.3957,0.6697,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,11.0,4.0,0.0,0.0,4.0,0.0,53095,1616.2861,,2410.6849,1706.4536,106,3.2268,45,1.3699,39,258.0,7.8539,60782,39300,1196.347,,57783.0,0.0791609,,830.0,187,127,30,30.9589,14204.0,17047.0,272.0,16241.0,19457.0,340.0,-2037.0,-2410.0,-68.0,1.0,3.0,3.0,3.0,4.0,1.0,21574.0,28204.0,457.0,25596.0,30969.0,553.0,-4022.0,-2765.0,-96.0,1.0,3.0,4.0,4.0,6.0,1.0
40681,ESPORTSTMNT06/721278,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/721278?gameHash=923c08cad13616cd&amp;tab=overview,LCK,2018,Summer,0,2018-06-20 10:27:07,1,8.11,200,Red,team,,Hanwha Life Esports,,Camille,Taliyah,Taric,Dr. Mundo,Kennen,1658,0,4,10,10,4,10,0.0,0.0,0.0,0.0,0.0,,,,0.1448,0.5066,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,2.0,34637,1253.4499,,2825.8263,1936.0314,100,3.6188,31,1.1218,33,187.0,6.7672,41060,22770,824.0048,,38743.0,-0.294368,,741.0,147,88,34,32.1351,15144.0,18490.0,330.0,16257.0,18472.0,318.0,-1113.0,18.0,12.0,1.0,1.0,2.0,2.0,3.0,1.0,22715.0,29679.0,526.0,24554.0,30570.0,536.0,-1839.0,-891.0,-10.0,1.0,1.0,2.0,2.0,3.0,1.0
40704,ESPORTSTMNT06/721292,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/721292?gameHash=b6f1f92136458a29&amp;tab=overview,LCK,2018,Summer,0,2018-06-20 11:49:01,2,8.11,100,Blue,team,,Hanwha Life Esports,,Camille,Taliyah,Aurelion Sol,Ryze,Kennen,1417,1,15,4,44,15,4,4.0,3.0,1.0,0.0,0.0,,,,0.6351,0.8045,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,6.0,3.0,1.0,0.0,1.0,0.0,34022,1440.5928,,2147.9746,1655.2294,87,3.6838,34,1.4397,30,192.0,8.1299,44928,29097,1232.0536,,36900.0,0.0029583,,601.0,113,88,3,30.2329,13867.0,17684.0,279.0,16774.0,18998.0,326.0,-2907.0,-1314.0,-47.0,0.0,0.0,1.0,1.0,1.0,0.0,22298.0,27885.0,427.0,26158.0,30180.0,522.0,-3860.0,-2295.0,-95.0,4.0,11.0,3.0,3.0,5.0,4.0
40729,ESPORTSTMNT06/721302,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/721302?gameHash=69ff6fbed65c7429&amp;tab=overview,LCK,2018,Summer,0,2018-06-20 12:34:58,3,8.11,200,Red,team,,Hanwha Life Esports,,Camille,Aurelion Sol,Lulu,Zoe,Taliyah,1636,0,5,13,14,5,13,0.0,0.0,0.0,0.0,1.0,,,,0.1834,0.6601,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,38400,1408.313,,2572.2249,1681.8337,104,3.8142,28,1.0269,31,172.0,6.3081,42463,24398,894.7922,,40466.0,-0.16166,,739.0,135,113,0,32.0538,15693.0,19064.0,303.0,15586.0,19021.0,329.0,107.0,43.0,-26.0,2.0,6.0,1.0,1.0,3.0,2.0,23560.0,28854.0,467.0,26269.0,32439.0,528.0,-2709.0,-3585.0,-61.0,4.0,11.0,6.0,6.0,14.0,4.0
