,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
515,ESPORTSTMNT06/550331,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/550331?gameHash=e3e9539ecaa3c32c&amp;tab=overview,LCK,2018,Spring,0,2018-01-17 07:24:00,1,8.01,200,Red,team,,KT Rolster,,Kalista,Ezreal,Camille,Rengar,Nidalee,2783,0,4,11,4,4,11,0.0,0.0,0.0,0.0,1.0,,,,0.0862,0.3234,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0,0.0,0.0,1.0,99919,2154.2005,,2242.853,2332.7991,268,5.7779,149,3.2124,63,535.0,11.5343,81519,51754,1115.7887,,80408.0,-0.108136,,1487.0,259,202,4,37.6428,15576.0,19464.0,335.0,15891.0,20075.0,373.0,-315.0,-611.0,-38.0,0.0,0.0,0.0,0.0,0.0,0.0,24724.0,31737.0,559.0,24396.0,31690.0,606.0,328.0,47.0,-47.0,1.0,1.0,0.0,0.0,0.0,1.0
538,ESPORTSTMNT06/550351,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/550351?gameHash=dd9a8dfd6091a220&amp;tab=overview,LCK,2018,Spring,0,2018-01-17 09:45:35,2,8.01,100,Blue,team,,KT Rolster,,Camille,Kog'Maw,Ryze,Gnar,Zoe,2385,1,9,7,22,9,7,1.0,0.0,0.0,0.0,1.0,,,,0.2264,0.4025,1.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,9.0,4.0,1.0,1.0,1.0,0.0,77864,1958.8428,,2669.0063,3398.0881,225,5.6604,113,2.8428,56,463.0,11.6478,79560,53855,1354.8428,,69603.0,0.0329018,,1369.0,245,157,20,40.6038,15469.0,18088.0,329.0,15535.0,18158.0,325.0,-66.0,-70.0,4.0,1.0,2.0,2.0,2.0,4.0,1.0,24069.0,30162.0,562.0,24434.0,30119.0,574.0,-365.0,43.0,-12.0,1.0,2.0,2.0,2.0,4.0,1.0
563,ESPORTSTMNT06/550356,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/550356?gameHash=359805cb9574ce85&amp;tab=overview,LCK,2018,Spring,0,2018-01-17 10:51:47,3,8.01,200,Red,team,,KT Rolster,,Kalista,Ezreal,Sejuani,Zac,Rengar,2250,0,4,13,7,4,13,0.0,0.0,0.0,0.0,1.0,,,,0.1067,0.4533,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,11.0,0.0,0.0,1.0,4.0,66304,1768.1067,,2506.5067,2757.3867,214,5.7067,70,1.8667,55,397.0,10.5867,69333,45005,1200.1333,,67383.0,-0.0302552,,1244.0,229,161,8,39.28,16384.0,19207.0,356.0,15087.0,19398.0,318.0,1297.0,-191.0,38.0,1.0,1.0,0.0,0.0,0.0,1.0,24689.0,30530.0,577.0,23898.0,31141.0,531.0,791.0,-611.0,46.0,1.0,1.0,1.0,1.0,1.0,1.0
1258,ESPORTSTMNT06/550585,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/550585?gameHash=be0d08f27b0d7611,LCK,2018,Spring,0,2018-01-20 07:27:34,1,8.01,100,Blue,team,,KT Rolster,,Kog'Maw,Sejuani,Tahm Kench,Janna,Shen,2224,1,11,8,33,11,8,1.0,0.0,0.0,0.0,1.0,,,,0.2968,0.5126,0.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,9.0,1.0,1.0,1.0,2.0,0.0,69454,1873.759,,2425.5486,2834.2986,193,5.2068,100,2.6978,55,372.0,10.036,72320,48257,1301.8975,,61880.0,0.0565826,,1174.0,230,137,32,37.8777,16079.0,18842.0,354.0,15626.0,19032.0,344.0,453.0,-190.0,10.0,1.0,2.0,1.0,1.0,2.0,1.0,26606.0,29002.0,531.0,23126.0,28747.0,530.0,3480.0,255.0,1.0,3.0,7.0,2.0,2.0,2.0,3.0
1283,ESPORTSTMNT06/550590,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/550590?gameHash=e71dff22cf4f4333,LCK,2018,Spring,0,2018-01-20 08:48:13,2,8.01,200,Red,team,,KT Rolster,,Kalista,Ezreal,Tristana,Janna,Braum,3598,1,14,12,34,14,12,3.0,0.0,0.0,0.0,0.0,,,,0.2335,0.4336,0.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,8.0,7.0,1.0,1.0,2.0,1.0,151210,2521.5675,,3563.8966,6251.0561,263,4.3858,124,2.0678,65,508.0,8.4714,109356,71278,1188.627,,116048.0,0.0266587,,1806.0,311,222,22,35.3029,14996.0,18571.0,343.0,16655.0,20030.0,333.0,-1659.0,-1459.0,10.0,0.0,0.0,1.0,1.0,1.0,0.0,24469.0,29944.0,546.0,25502.0,31627.0,521.0,-1033.0,-1683.0,25.0,2.0,1.0,2.0,2.0,3.0,2.0
2494,ESPORTSTMNT06/540853,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/540853?gameHash=3125fd4c4f7124ed&amp;tab=overview,LCK,2018,Spring,0,2018-01-24 09:46:02,1,8.01,100,Blue,team,,KT Rolster,,Ryze,Varus,Sivir,Jarvan IV,Zoe,2104,1,9,1,25,9,1,0.0,0.0,0.0,0.0,0.0,,,,0.2567,0.2852,0.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,11.0,0.0,1.0,1.0,3.0,0.0,70711,2016.4734,,2604.7243,2991.2167,207,5.903,94,2.6806,56,397.0,11.3213,70739,47900,1365.9696,,65370.0,0.180126,,1152.0,231,119,46,39.4392,16036.0,19605.0,349.0,15849.0,18709.0,346.0,187.0,896.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,26706.0,30930.0,552.0,24503.0,30421.0,567.0,2203.0,509.0,-15.0,3.0,8.0,1.0,1.0,3.0,3.0
2543,ESPORTSTMNT06/540885,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/540885?gameHash=24216cb12c2f22e7&amp;tab=overview,LCK,2018,Spring,0,2018-01-24 12:04:52,2,8.01,200,Red,team,,KT Rolster,,Sejuani,Ezreal,Tahm Kench,Camille,Gangplank,1885,0,3,15,7,3,15,0.0,0.0,0.0,0.0,0.0,,,,0.0955,0.5729,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,11.0,0.0,1.0,0.0,3.0,42281,1345.8143,,2801.0928,2989.305,126,4.0106,69,2.1963,45,236.0,7.5119,53990,33385,1062.6525,,50475.0,-0.226614,,1015.0,203,136,15,38.7692,15787.0,19967.0,374.0,15880.0,19477.0,368.0,-93.0,490.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,24373.0,32071.0,618.0,24495.0,31348.0,597.0,-122.0,723.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
2554,ESPORTSTMNT06/540892,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/540892?gameHash=ae1050af224bc9c6&amp;tab=overview,LCK,2018,Spring,0,2018-01-24 12:42:50,3,8.01,100,Blue,team,,KT Rolster,,Ryze,Sivir,Zoe,Malzahar,Xerath,2535,1,12,10,35,12,10,2.0,1.0,0.0,0.0,1.0,,,,0.284,0.5207,1.0,2.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,6.0,0.0,0.0,1.0,0.0,117060,2770.6509,,3034.2485,4174.2012,199,4.7101,95,2.2485,61,390.0,9.2308,78352,51117,1209.8698,,71725.0,-0.0951432,,1302.0,228,166,0,36.213,15954.0,19000.0,362.0,15742.0,19601.0,367.0,212.0,-601.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,24280.0,30136.0,580.0,24271.0,31560.0,586.0,9.0,-1424.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0
3022,ESPORTSTMNT06/551065,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/551065?gameHash=072e23009552496a&amp;tab=overview,LCK,2018,Spring,0,2018-01-26 10:45:38,1,8.01,100,Blue,team,,KT Rolster,,Gangplank,Braum,Malzahar,Janna,Taric,1929,1,9,4,22,9,4,0.0,0.0,0.0,0.0,1.0,,,,0.2799,0.4044,1.0,3.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,11.0,0.0,1.0,1.0,3.0,0.0,49459,1538.3826,,1848.056,2248.8025,184,5.7232,89,2.7683,49,379.0,11.7885,67268,46214,1437.4495,,63675.0,0.226788,,1101.0,240,130,45,41.7107,17287.0,19719.0,384.0,14840.0,17981.0,329.0,2447.0,1738.0,55.0,2.0,3.0,0.0,0.0,0.0,2.0,26874.0,31229.0,597.0,24415.0,30105.0,547.0,2459.0,1124.0,50.0,4.0,8.0,3.0,3.0,6.0,4.0
3071,ESPORTSTMNT06/551074,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/551074?gameHash=4469644c6c145c57&amp;tab=overview,LCK,2018,Spring,0,2018-01-26 11:41:34,2,8.01,200,Red,team,,KT Rolster,,Gangplank,Sejuani,Malzahar,Kha'Zix,Zac,2460,0,5,12,12,5,12,1.0,0.0,0.0,0.0,0.0,,,,0.122,0.4146,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,11.0,1.0,0.0,0.0,4.0,73562,1794.1951,,2988.4634,4014.8293,216,5.2683,97,2.3659,46,393.0,9.5854,68419,41949,1023.1463,,65155.0,-0.17682,,1359.0,200,157,9,38.0244,15555.0,19318.0,356.0,15380.0,18837.0,352.0,175.0,481.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,23741.0,30247.0,578.0,24807.0,31052.0,586.0,-1066.0,-805.0,-8.0,0.0,0.0,1.0,1.0,2.0,0.0
