,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
1079,TRLH3/1002360080,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002360080?gameHash=e55d2d38fc9eaf08,EU LCS,2018,Spring,0,2018-01-19 20:28:56,1,8.01,200,Red,team,,FC Schalke 04 Esports,,Kalista,Jarvan IV,Xayah,Sejuani,Vladimir,1833,1,14,3,33,14,3,3.0,1.0,0.0,0.0,1.0,,,,0.4583,0.5565,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,7.0,1.0,1.0,1.0,1.0,0.0,49638,1624.8118,,2273.3552,2768.9362,129,4.2226,49,1.6039,33,275.0,9.0016,60692,40617,1329.5254,,53350.0,0.11864,,986.0,191,128,13,38.527,16054.0,18439.0,342.0,15301.0,18457.0,330.0,753.0,-18.0,12.0,2.0,3.0,0.0,0.0,0.0,2.0,26903.0,29976.0,520.0,23050.0,28007.0,507.0,3853.0,1969.0,13.0,6.0,13.0,1.0,1.0,1.0,6.0
1691,TRLH3/1002350179,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002350179?gameHash=fe464f4e99a1d286,EU LCS,2018,Spring,0,2018-01-20 20:43:20,1,8.01,200,Red,team,,FC Schalke 04 Esports,,Kalista,Xayah,Jarvan IV,Tahm Kench,Kog'Maw,2525,0,5,18,11,5,18,1.0,0.0,0.0,0.0,0.0,,,,0.1188,0.5465,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,10.0,1.0,0.0,0.0,1.0,63147,1500.5228,,3165.3624,3285.7188,199,4.7287,104,2.4713,41,382.0,9.0772,69234,42101,1000.4198,,64150.0,-0.142706,,1266.0,238,189,4,35.7386,15584.0,18312.0,339.0,15918.0,18613.0,341.0,-334.0,-301.0,-2.0,1.0,3.0,1.0,1.0,2.0,1.0,23976.0,29088.0,555.0,26634.0,30535.0,532.0,-2658.0,-1447.0,23.0,2.0,5.0,5.0,5.0,11.0,2.0
3191,TRLH3/1002360202,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002360202?gameHash=8ccf4628e78ffdd3,EU LCS,2018,Spring,0,2018-01-26 21:28:58,1,8.01,200,Red,team,,FC Schalke 04 Esports,,Evelynn,Ryze,Kalista,Sejuani,Zac,2155,1,10,4,28,10,4,1.0,0.0,0.0,0.0,1.0,,,,0.2784,0.3898,1.0,4.0,0.0,4.0,0.0,0.0,3.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,10.0,2.0,1.0,1.0,2.0,0.0,57443,1599.3411,,2231.6102,3027.0348,169,4.7053,70,1.949,41,379.0,10.5522,71241,47882,1333.1415,,63425.0,0.0836071,,1200.0,185,113,29,38.5615,16245.0,19562.0,373.0,14870.0,18020.0,327.0,1375.0,1542.0,46.0,1.0,1.0,0.0,0.0,0.0,1.0,24206.0,30471.0,588.0,22836.0,29097.0,523.0,1370.0,1374.0,65.0,1.0,1.0,0.0,0.0,0.0,1.0
3694,TRLH3/1002350269,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002350269?gameHash=669a22dc761c74cf,EU LCS,2018,Spring,0,2018-01-27 18:35:54,1,8.01,100,Blue,team,,FC Schalke 04 Esports,,Skarner,Kalista,Vel'Koz,Braum,Janna,2877,0,5,11,16,5,11,0.0,0.0,0.0,0.0,0.0,,,,0.1043,0.3337,1.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,7.0,10.0,1.0,1.0,0.0,2.0,99277,2070.4275,,2830.1356,4128.6548,231,4.8175,74,1.5433,55,451.0,9.4056,90988,60265,1256.83,,94758.0,0.123631,,1541.0,296,216,20,38.3107,15992.0,19032.0,355.0,16201.0,19633.0,350.0,-209.0,-601.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,24629.0,30442.0,575.0,25038.0,31382.0,566.0,-409.0,-940.0,9.0,0.0,0.0,2.0,2.0,4.0,0.0
5410,TRLH4/1002060045,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH4/1002060045?gameHash=6cd34a8d10be38a9,EU LCS,2018,Spring,0,2018-02-02 19:08:37,1,8.02,100,Blue,team,,FC Schalke 04 Esports,,Zac,Jarvan IV,Ryze,Tristana,Jinx,2143,0,8,9,23,8,9,1.0,0.0,0.0,0.0,1.0,,,,0.224,0.476,1.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,11.0,0.0,0.0,0.0,5.0,76323,2136.9015,,2734.2697,2524.8437,164,4.5917,43,1.2039,42,254.0,7.1115,59634,36397,1019.0481,,55605.0,-0.149861,,1153.0,165,130,5,36.9015,15950.0,18874.0,341.0,14722.0,18341.0,325.0,1228.0,533.0,16.0,2.0,3.0,0.0,0.0,0.0,2.0,24470.0,29603.0,548.0,24186.0,28863.0,515.0,284.0,740.0,33.0,2.0,3.0,1.0,1.0,2.0,2.0
5902,TRLH3/1002390022,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002390022?gameHash=e37c9696860995de&amp;tab=overview,EU LCS,2018,Spring,0,2018-02-03 16:50:57,1,8.02,100,Blue,team,,FC Schalke 04 Esports,,Azir,Zac,Jarvan IV,Skarner,Tahm Kench,2179,1,22,9,59,22,9,5.0,0.0,0.0,0.0,1.0,,,,0.6058,0.8536,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,10.0,5.0,0.0,0.0,2.0,0.0,76855,2116.246,,3162.5425,2792.5195,164,4.5158,71,1.955,48,328.0,9.0317,72919,49315,1357.9165,,65788.0,0.161892,,1105.0,202,144,21,35.989,14860.0,18489.0,312.0,16492.0,18742.0,316.0,-1632.0,-253.0,-4.0,1.0,1.0,0.0,0.0,0.0,1.0,22675.0,29017.0,509.0,25060.0,29605.0,503.0,-2385.0,-588.0,6.0,2.0,3.0,1.0,1.0,2.0,2.0
7691,TRLH3/1002390099,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002390099?gameHash=75cc1cbc460b0e87,EU LCS,2018,Spring,0,2018-02-09 21:31:32,1,8.02,200,Red,team,,FC Schalke 04 Esports,,Kalista,Jarvan IV,Ryze,Xayah,Kog'Maw,3459,0,17,18,30,17,18,2.0,0.0,0.0,0.0,1.0,,,,0.2949,0.6071,1.0,4.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,,2.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,9.0,8.0,0.0,0.0,3.0,1.0,146210,2536.1665,,3782.4111,4120.6071,244,4.2324,92,1.5958,66,614.0,10.6505,104071,67411,1169.3148,,104270.0,0.084587,,1695.0,289,177,43,34.4146,15235.0,19265.0,347.0,16071.0,19330.0,359.0,-836.0,-65.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,24530.0,30223.0,517.0,25603.0,29147.0,547.0,-1073.0,1076.0,-30.0,4.0,4.0,0.0,0.0,0.0,4.0
8194,TRLH3/1002390124,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002390124?gameHash=e5ec891dfbca101c&amp;tab=overview,EU LCS,2018,Spring,0,2018-02-10 17:00:00,1,8.02,100,Blue,team,,FC Schalke 04 Esports,,Jarvan IV,Kalista,Ryze,Malzahar,Taliyah,1807,1,16,1,32,16,1,3.0,0.0,0.0,0.0,1.0,,,,0.5313,0.5645,1.0,3.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,11.0,2.0,1.0,1.0,3.0,0.0,78049,2591.5551,,2237.4986,1908.6774,128,4.2501,55,1.8262,43,269.0,8.9319,62856,43047,1429.3414,,56038.0,0.275863,,985.0,185,89,41,38.8489,15475.0,18539.0,337.0,14435.0,17972.0,316.0,1040.0,567.0,21.0,1.0,2.0,0.0,0.0,0.0,1.0,25945.0,30050.0,554.0,23300.0,28117.0,501.0,2645.0,1933.0,53.0,3.0,5.0,0.0,0.0,0.0,3.0
9466,TRLH3/1002410069,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002410069?gameHash=f399e81ee9d51662,EU LCS,2018,Spring,0,2018-02-16 21:07:32,1,8.03,100,Blue,team,,FC Schalke 04 Esports,,Jarvan IV,Xayah,Sivir,Twitch,Varus,1957,0,5,10,14,5,10,0.0,0.0,0.0,0.0,0.0,,,,0.1533,0.4599,0.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,9.0,1.0,1.0,0.0,1.0,49348,1512.9688,,2854.8595,2696.2902,132,4.047,45,1.3797,43,265.0,8.1247,54808,33469,1026.1318,,51400.0,-0.111145,,1010.0,190,108,31,36.791,16497.0,19136.0,320.0,17143.0,18361.0,323.0,-646.0,775.0,-3.0,2.0,6.0,2.0,2.0,2.0,2.0,25437.0,30549.0,526.0,26111.0,30030.0,549.0,-674.0,519.0,-23.0,3.0,9.0,2.0,2.0,2.0,3.0
9814,TRLH3/1002420073,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002420073?gameHash=6d17944673917044,EU LCS,2018,Spring,0,2018-02-17 17:56:56,1,8.03,100,Blue,team,,FC Schalke 04 Esports,,Gnar,Camille,Ryze,Galio,Kassadin,2261,0,2,11,6,2,11,0.0,0.0,0.0,0.0,0.0,,,,0.0531,0.345,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,7.0,1.0,1.0,0.0,1.0,52655,1397.3021,,3245.4401,2700.6634,203,5.387,85,2.2556,46,383.0,10.1636,59495,35055,930.2521,,54145.0,-0.0817162,,1085.0,219,152,20,34.6042,15756.0,20251.0,366.0,14713.0,18382.0,324.0,1043.0,1869.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,23659.0,31045.0,576.0,23401.0,30455.0,539.0,258.0,590.0,37.0,0.0,0.0,1.0,1.0,1.0,0.0
