,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
1042,TRLH3/1002360040,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002360040?gameHash=6e24bcbfb775efcf&amp;tab=overview,EU LCS,2018,Spring,0,2018-01-19 16:32:51,1,8.01,100,Blue,team,,G2 Esports,,Shen,Malzahar,Azir,Jarvan IV,Kha'Zix,2556,1,18,7,59,18,7,2.0,0.0,0.0,0.0,0.0,,,,0.4225,0.5869,0.0,2.0,3.0,2.0,2.0,0.0,2.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,11.0,3.0,1.0,1.0,4.0,0.0,81901,1922.5587,,2723.3099,3718.216,226,5.3052,111,2.6056,46,455.0,10.6808,86634,59185,1389.3192,,80460.0,0.148823,,1437.0,272,165,44,40.1174,15861.0,19178.0,354.0,15455.0,18940.0,321.0,406.0,238.0,33.0,1.0,3.0,1.0,1.0,2.0,1.0,24799.0,31025.0,586.0,23493.0,29588.0,505.0,1306.0,1437.0,81.0,2.0,5.0,2.0,2.0,6.0,2.0
1678,TRLH3/1002350171,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002350171?gameHash=41265ec7f4199730,EU LCS,2018,Spring,0,2018-01-20 19:36:45,1,8.01,100,Blue,team,,G2 Esports,,Shen,Malzahar,Kha'Zix,Sejuani,Camille,2705,0,7,12,21,7,12,2.0,0.0,0.0,0.0,0.0,,,,0.1553,0.4214,1.0,3.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,6.0,10.0,0.0,0.0,0.0,4.0,84938,1884.0222,,2731.1867,4373.4787,268,5.9445,100,2.2181,47,471.0,10.4473,82458,53489,1186.4473,,78225.0,-0.0400877,,1452.0,278,176,46,38.3734,15427.0,18895.0,357.0,15524.0,18620.0,333.0,-97.0,275.0,24.0,0.0,0.0,1.0,1.0,1.0,0.0,23195.0,29204.0,563.0,25111.0,30629.0,559.0,-1916.0,-1425.0,4.0,0.0,0.0,2.0,2.0,2.0,0.0
3143,TRLH3/1002360154,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002360154?gameHash=48d15245939e50fe,EU LCS,2018,Spring,0,2018-01-26 16:00:29,1,8.01,200,Red,team,,G2 Esports,,Galio,Jarvan IV,Braum,Sivir,Tristana,2398,0,7,16,21,7,16,0.0,0.0,0.0,0.0,1.0,,,,0.1751,0.5755,1.0,4.0,0.0,4.0,0.0,0.0,1.0,2.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,10.0,1.0,1.0,0.0,2.0,100947,2525.7798,,2861.3595,3454.6038,167,4.1785,73,1.8265,47,391.0,9.7832,70190,44352,1109.7248,,68533.0,-0.0150896,,1178.0,211,143,14,34.754,16168.0,17574.0,324.0,15330.0,17801.0,332.0,838.0,-227.0,-8.0,1.0,4.0,1.0,1.0,3.0,1.0,26249.0,27511.0,510.0,23744.0,28364.0,511.0,2505.0,-853.0,-1.0,3.0,10.0,4.0,4.0,6.0,3.0
3743,TRLH3/1002350277,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002350277?gameHash=a28dd8a420b9c7f9,EU LCS,2018,Spring,0,2018-01-27 19:48:15,1,8.01,200,Red,team,,G2 Esports,,Galio,Shen,Vladimir,Jarvan IV,Zac,2619,0,10,11,23,10,11,1.0,0.0,0.0,0.0,1.0,,,,0.2291,0.4811,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,11.0,1.0,1.0,0.0,4.0,106180,2432.5315,,2602.7491,2972.7377,219,5.0172,93,2.1306,51,433.0,9.9198,79318,51226,1173.5624,,74475.0,0.0598099,,1433.0,186,132,19,37.0905,15965.0,19457.0,375.0,15292.0,18593.0,353.0,673.0,864.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,25818.0,32473.0,610.0,23415.0,30558.0,578.0,2403.0,1915.0,32.0,2.0,2.0,0.0,0.0,0.0,2.0
5422,TRLH4/1002060061,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH4/1002060061?gameHash=2a88cfbe3e46d60c,EU LCS,2018,Spring,0,2018-02-02 20:15:42,1,8.02,100,Blue,team,,G2 Esports,,Zac,Galio,Caitlyn,Lulu,Zilean,2551,1,7,2,25,7,2,1.0,0.0,0.0,0.0,0.0,,,,0.1646,0.2117,1.0,4.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,11.0,4.0,1.0,1.0,3.0,0.0,119687,2815.0608,,2391.5327,3348.5927,215,5.0568,67,1.5759,39,454.0,10.6782,76999,49601,1166.6249,,69725.0,0.081421,,1182.0,244,135,41,33.5398,15135.0,19034.0,325.0,14887.0,19063.0,317.0,248.0,-29.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,24376.0,29596.0,520.0,22579.0,30553.0,524.0,1797.0,-957.0,-4.0,1.0,1.0,1.0,1.0,1.0,1.0
5975,TRLH3/1002390037,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002390037?gameHash=b61ed63fb8f92cd2&amp;tab=overview,EU LCS,2018,Spring,0,2018-02-03 19:00:28,1,8.02,200,Red,team,,G2 Esports,,Galio,Braum,Nunu & Willump,Caitlyn,Varus,1952,1,9,1,27,9,1,1.0,0.0,0.0,0.0,1.0,,,,0.2766,0.3074,1.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,11.0,2.0,1.0,1.0,3.0,0.0,55396,1702.7459,,2537.9508,2253.5656,126,3.873,67,2.0594,42,312.0,9.5902,69189,47901,1472.3668,,61545.0,0.124476,,1132.0,251,143,60,42.5102,15588.0,19703.0,360.0,14715.0,18472.0,322.0,873.0,1231.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,24188.0,31586.0,583.0,21844.0,28680.0,496.0,2344.0,2906.0,87.0,1.0,2.0,0.0,0.0,0.0,1.0
7690,TRLH3/1002390099,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002390099?gameHash=75cc1cbc460b0e87,EU LCS,2018,Spring,0,2018-02-09 21:31:32,1,8.02,100,Blue,team,,G2 Esports,,Galio,Camille,Azir,Braum,Twitch,3459,1,18,17,51,18,17,2.0,1.0,0.0,0.0,0.0,,,,0.3122,0.6071,0.0,2.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,8.0,9.0,1.0,1.0,1.0,3.0,180306,3127.5976,,3303.5039,3265.6028,240,4.1631,101,1.752,69,550.0,9.5403,107457,70797,1228.0486,,95808.0,-0.084587,,1731.0,283,203,23,34.935,16071.0,19330.0,359.0,15235.0,19265.0,347.0,836.0,65.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,25603.0,29147.0,547.0,24530.0,30223.0,517.0,1073.0,-1076.0,30.0,0.0,0.0,4.0,4.0,4.0,0.0
8302,TRLH3/1002390150,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002390150?gameHash=9ea5e751bc8ba7f3,EU LCS,2018,Spring,0,2018-02-10 19:50:16,1,8.02,100,Blue,team,,G2 Esports,,Galio,Rakan,Gnar,Kalista,Varus,2211,1,12,10,36,12,10,1.0,1.0,0.0,0.0,1.0,,,,0.3256,0.597,1.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,10.0,3.0,0.0,0.0,1.0,0.0,101539,2755.4681,,2740.2442,1885.4545,161,4.3691,92,2.4966,49,356.0,9.6608,76062,52132,1414.7083,,66408.0,0.139985,,1197.0,219,145,16,38.4261,16329.0,18507.0,348.0,14444.0,18583.0,308.0,1885.0,-76.0,40.0,1.0,2.0,0.0,0.0,0.0,1.0,24753.0,29439.0,550.0,21964.0,28969.0,498.0,2789.0,470.0,52.0,2.0,6.0,1.0,1.0,2.0,2.0
9454,TRLH3/1002410054,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002410054?gameHash=74829c6d5d9a3fbd,EU LCS,2018,Spring,0,2018-02-16 19:50:32,1,8.03,100,Blue,team,,G2 Esports,,Ryze,Jarvan IV,Camille,Thresh,Taric,2041,1,11,0,35,11,0,2.0,0.0,0.0,0.0,1.0,,,,0.3234,0.3234,0.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,11.0,0.0,1.0,1.0,3.0,0.0,67046,1970.975,,2857.5698,2697.266,162,4.7624,75,2.2048,44,314.0,9.2308,66344,44148,1297.8344,,61393.0,0.207032,,1070.0,171,132,10,36.4821,14661.0,18862.0,322.0,14722.0,18448.0,324.0,-61.0,414.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,23370.0,31028.0,542.0,22344.0,29277.0,530.0,1026.0,1751.0,12.0,1.0,3.0,0.0,0.0,0.0,1.0
9887,TRLH3/1002420080,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002420080?gameHash=54633e2aeff8f1ce,EU LCS,2018,Spring,0,2018-02-17 19:00:29,1,8.03,200,Red,team,,G2 Esports,,Galio,Kalista,Gangplank,Ezreal,Braum,2212,1,14,6,35,14,6,2.0,0.0,0.0,0.0,0.0,,,,0.3797,0.5425,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,10.0,5.0,0.0,0.0,2.0,0.0,54414,1475.9675,,2037.9928,2623.9964,237,6.4286,89,2.4141,56,399.0,10.8228,68468,44528,1207.8119,,60970.0,0.000328084,,1117.0,190,137,13,35.4521,15052.0,18375.0,327.0,16187.0,19519.0,345.0,-1135.0,-1144.0,-18.0,1.0,0.0,2.0,2.0,4.0,1.0,23638.0,29362.0,542.0,25317.0,31030.0,568.0,-1679.0,-1668.0,-26.0,1.0,0.0,2.0,2.0,4.0,1.0
11185,TRLH3/1002410197,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002410197?gameHash=5f20ad2d3d7bd528,EU LCS,2018,Spring,0,2018-02-23 18:08:02,1,8.03,200,Red,team,,G2 Esports,,Gangplank,Skarner,Braum,Sejuani,Janna,2430,1,10,3,25,10,3,2.0,1.0,0.0,0.0,1.0,,,,0.2469,0.321,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,11.0,1.0,0.0,1.0,4.0,0.0,73445,1813.4568,,2736.4444,1984.8889,159,3.9259,112,2.7654,51,390.0,9.6296,80687,54523,1346.2469,,70591.0,0.185209,,1401.0,251,140,55,40.7901,15851.0,19472.0,350.0,14750.0,18804.0,332.0,1101.0,668.0,18.0,1.0,1.0,0.0,0.0,0.0,1.0,23680.0,30569.0,562.0,23121.0,30671.0,541.0,559.0,-102.0,21.0,1.0,1.0,1.0,1.0,3.0,1.0
11832,TRLH3/1002410269,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002410269?gameHash=5d4c65c4a6099dd9,EU LCS,2018,Spring,0,2018-02-24 19:29:59,1,8.03,100,Blue,team,,G2 Esports,,Jarvan IV,Xayah,Tristana,Ezreal,Azir,2463,0,6,10,13,6,10,0.0,0.0,0.0,0.0,0.0,,,,0.1462,0.3898,0.0,2.0,3.0,2.0,2.0,0.0,2.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,6.0,1.0,1.0,0.0,1.0,61103,1488.5018,,2703.0451,2910.5238,189,4.6041,93,2.2655,60,412.0,10.0365,76766,50265,1224.4823,,72683.0,0.0673099,,1357.0,252,157,28,39.1961,16556.0,18955.0,347.0,16331.0,18056.0,334.0,225.0,899.0,13.0,2.0,2.0,3.0,3.0,7.0,2.0,26011.0,30894.0,580.0,24527.0,29654.0,555.0,1484.0,1240.0,25.0,3.0,4.0,3.0,3.0,7.0,3.0
13873,TRLH3/1002430043,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002430043?gameHash=e618a0db0b680269,EU LCS,2018,Spring,0,2018-03-02 19:07:30,1,8.04,200,Red,team,,G2 Esports,,Skarner,Camille,Ryze,Shen,Zac,1839,0,1,11,4,1,11,0.0,0.0,0.0,0.0,0.0,,,,0.0326,0.3915,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,10.0,0.0,0.0,0.0,2.0,31238,1019.1843,,2022.6101,1806.9168,118,3.8499,58,1.8923,44,218.0,7.1126,47178,27042,882.2838,,45120.0,-0.13303,,957.0,177,126,12,36.9984,15225.0,18902.0,358.0,17305.0,18918.0,296.0,-2080.0,-16.0,62.0,0.0,0.0,4.0,4.0,8.0,0.0,22672.0,29022.0,556.0,24610.0,28547.0,457.0,-1938.0,475.0,99.0,0.0,0.0,5.0,5.0,12.0,0.0
14700,TRLH3/1002430118,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002430118?gameHash=c89d193646e772b8,EU LCS,2018,Spring,0,2018-03-03 20:16:02,1,8.04,100,Blue,team,,G2 Esports,,Xayah,Azir,Sejuani,Thresh,Taric,2836,1,9,10,26,9,10,1.0,0.0,0.0,0.0,1.0,,,,0.1904,0.402,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,7.0,9.0,0.0,0.0,1.0,1.0,125052,2645.67,,2829.6051,4927.4894,216,4.5698,97,2.0522,64,370.0,7.8279,80746,50441,1067.158,,73075.0,-0.0948967,,1416.0,236,177,16,34.9506,15759.0,19435.0,325.0,14810.0,18449.0,342.0,949.0,986.0,-17.0,2.0,3.0,0.0,0.0,0.0,2.0,24597.0,30856.0,550.0,23729.0,29882.0,560.0,868.0,974.0,-10.0,2.0,3.0,0.0,0.0,0.0,2.0
17064,TRLH3/1002440110,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002440110?gameHash=0437fe6c1cb2a654,EU LCS,2018,Spring,0,2018-03-09 20:03:59,1,8.04,100,Blue,team,,G2 Esports,,Camille,Sion,Galio,Kha'Zix,Sejuani,2391,0,13,9,36,13,9,1.0,0.0,0.0,0.0,1.0,,,,0.3262,0.5521,0.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,5.0,9.0,1.0,1.0,0.0,2.0,79374,1991.8193,,2653.7767,2771.6437,166,4.1656,49,1.2296,51,308.0,7.729,66128,40362,1012.8482,,63950.0,-0.0258538,,1072.0,233,159,30,32.7478,17257.0,19588.0,324.0,14838.0,17901.0,334.0,2419.0,1687.0,-10.0,3.0,4.0,0.0,0.0,0.0,3.0,26910.0,30305.0,500.0,22408.0,28576.0,540.0,4502.0,1729.0,-40.0,6.0,13.0,0.0,0.0,0.0,6.0
17941,TRLH3/1002430210,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002430210?gameHash=6869586697eeefb6,EU LCS,2018,Spring,0,2018-03-10 19:43:19,1,8.04,200,Red,team,,G2 Esports,,Ryze,Galio,Skarner,Trundle,Shen,3005,0,10,14,32,10,14,0.0,0.0,0.0,0.0,0.0,,,,0.1997,0.4792,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,4.0,11.0,0.0,0.0,0.0,4.0,102750,2051.5807,,3832.0932,4321.7371,218,4.3527,111,2.2163,68,410.0,8.1864,84483,52454,1047.3344,,82913.0,-0.0171232,,1568.0,244,203,0,36.1797,15543.0,19388.0,372.0,15380.0,19494.0,360.0,163.0,-106.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,23625.0,30533.0,581.0,24091.0,32102.0,597.0,-466.0,-1569.0,-16.0,1.0,2.0,1.0,1.0,0.0,1.0
20605,TRLH3/1002450048,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1002450048?gameHash=212573df24fd8f69,EU LCS,2018,Spring,0,2018-03-16 20:51:37,1,8.05,200,Red,team,,G2 Esports,,Sion,Skarner,Azir,Jarvan IV,Kha'Zix,2940,1,10,8,23,10,8,2.0,1.0,0.0,0.0,0.0,,,,0.2041,0.3673,0.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,11.0,5.0,0.0,0.0,2.0,0.0,102996,2101.9592,,2292.6939,2574.3061,256,5.2245,78,1.5918,71,491.0,10.0204,94342,62976,1285.2245,,79166.0,0.0105523,,1623.0,300,204,28,39.2449,14998.0,18442.0,342.0,14845.0,18295.0,303.0,153.0,147.0,39.0,0.0,0.0,1.0,1.0,1.0,0.0,22755.0,29190.0,549.0,24130.0,30164.0,491.0,-1375.0,-974.0,58.0,0.0,0.0,3.0,3.0,5.0,0.0
