,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
251,ESPORTSTMNT01/1041205,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1041205?gameHash=c6b3e8de3b098479&amp;tab=overview,LCK,2019,Spring,0,2019-01-16 10:41:54,1,9.01,200,Red,team,,Gen.G,,Jayce,Aatrox,Camille,Rakan,Viktor,2255,0,2,12,6,2,12,0.0,0.0,0.0,0.0,1.0,,,,0.0532,0.3725,1.0,2.0,3.0,2.0,3.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,9.0,0.0,0.0,0.0,1.0,53056,1411.6896,,2393.9335,2679.1929,123,3.2727,80,2.1286,63,291.0,7.7428,59997,35618,947.7073,,57000.0,-0.145708,,1089.0,199,152,0,34.2705,15060.0,19575.0,330.0,15293.0,19629.0,340.0,-233.0,-54.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,23575.0,31842.0,538.0,22650.0,30444.0,515.0,925.0,1398.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
286,ESPORTSTMNT01/1041216,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1041216?gameHash=0366dbcf63ce8e8f&amp;tab=overview,LCK,2019,Spring,0,2019-01-16 11:51:23,2,9.01,100,Blue,team,,Gen.G,,Jayce,Galio,Cassiopeia,Kha'Zix,Ryze,1799,0,6,12,15,6,12,0.0,0.0,0.0,0.0,0.0,,,,0.2001,0.6003,1.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,9.0,0.0,0.0,0.0,1.0,47636,1588.7493,,2334.03,2224.1023,95,3.1684,56,1.8677,43,229.0,7.6376,51125,31397,1047.1484,,47158.0,-0.0933359,,888.0,160,119,8,34.9528,15815.0,19007.0,341.0,15862.0,19117.0,316.0,-47.0,-110.0,25.0,1.0,2.0,2.0,2.0,5.0,1.0,24578.0,30207.0,537.0,24796.0,31973.0,531.0,-218.0,-1766.0,6.0,2.0,4.0,3.0,3.0,6.0,2.0
562,ESPORTSTMNT01/1041676,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1041676?gameHash=ee12ff55942fbf22&amp;tab=overview,LCK,2019,Spring,0,2019-01-18 07:15:06,1,9.01,100,Blue,team,,Gen.G,,Irelia,Sion,Cassiopeia,Zoe,Lissandra,2219,0,6,18,15,6,18,0.0,0.0,0.0,0.0,0.0,,,,0.1622,0.6489,0.0,1.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,9.0,0.0,0.0,0.0,3.0,70224,1898.8013,,2497.909,3376.6562,142,3.8396,56,1.5142,60,263.0,7.1113,61709,37697,1019.297,,56875.0,-0.131033,,1024.0,180,134,0,32.5552,15721.0,18495.0,311.0,16745.0,19787.0,343.0,-1024.0,-1292.0,-32.0,1.0,1.0,2.0,2.0,2.0,1.0,25003.0,29250.0,493.0,27308.0,31675.0,542.0,-2305.0,-2425.0,-49.0,2.0,3.0,4.0,4.0,5.0,2.0
623,ESPORTSTMNT01/1041724,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1041724?gameHash=e592380c2a4b7cac&amp;tab=overview,LCK,2019,Spring,0,2019-01-18 08:51:30,2,9.01,200,Red,team,,Gen.G,,Aatrox,Cassiopeia,Irelia,Thresh,Morgana,1896,0,7,9,12,7,9,1.0,0.0,0.0,0.0,1.0,,,,0.2215,0.5063,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,37236,1178.3544,,2856.8987,2446.5823,106,3.3544,42,1.3291,47,209.0,6.6139,51093,30376,961.2658,,48195.0,-0.132266,,863.0,137,119,5,31.6456,14908.0,17791.0,290.0,15573.0,19017.0,340.0,-665.0,-1226.0,-50.0,1.0,0.0,0.0,0.0,0.0,1.0,23407.0,28408.0,479.0,24287.0,29978.0,545.0,-880.0,-1570.0,-66.0,2.0,1.0,1.0,1.0,3.0,2.0
2914,ESPORTSTMNT01/1043203,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1043203?gameHash=b59209cc67e23c3e,LCK,2019,Spring,0,2019-01-24 11:16:41,1,9.01,100,Blue,team,,Gen.G,,Irelia,Karthus,Cassiopeia,Olaf,Xin Zhao,1946,0,2,13,7,2,13,0.0,0.0,0.0,0.0,0.0,,,,0.0617,0.4625,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,9.0,0.0,0.0,0.0,1.0,32744,1009.5786,,2533.2888,2644.7482,102,3.1449,65,2.0041,41,261.0,8.0473,52783,31556,972.9496,,47585.0,-0.0370844,,895.0,189,143,0,33.4224,15624.0,19491.0,336.0,15610.0,19591.0,330.0,14.0,-100.0,6.0,0.0,0.0,1.0,1.0,2.0,0.0,23640.0,30844.0,528.0,23291.0,30838.0,531.0,349.0,6.0,-3.0,0.0,0.0,1.0,1.0,2.0,0.0
2939,ESPORTSTMNT01/1043218,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1043218?gameHash=276b0fa0e4a0f375,LCK,2019,Spring,0,2019-01-24 12:20:16,2,9.01,200,Red,team,,Gen.G,,Cassiopeia,Karthus,Morgana,Irelia,Camille,2391,1,12,15,40,12,15,0.0,0.0,0.0,0.0,0.0,,,,0.3011,0.6775,1.0,4.0,2.0,3.0,2.0,1.0,0.0,2.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,1.0,1.0,0.0,83352,2091.6437,,2399.4479,2095.7089,205,5.1443,107,2.6851,66,416.0,10.4391,71647,45881,1151.3425,,64060.0,-0.0283164,,1054.0,268,174,36,33.1744,14704.0,18280.0,302.0,15458.0,18362.0,303.0,-754.0,-82.0,-1.0,1.0,1.0,2.0,2.0,2.0,1.0,24287.0,30771.0,514.0,24274.0,28875.0,477.0,13.0,1896.0,37.0,2.0,3.0,3.0,3.0,3.0,2.0
2974,ESPORTSTMNT01/1043223,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1043223?gameHash=1cc1cba9a548e1a7,LCK,2019,Spring,0,2019-01-24 13:12:39,3,9.01,100,Blue,team,,Gen.G,,Morgana,Karthus,Cassiopeia,Camille,Olaf,2637,0,9,15,18,9,15,0.0,0.0,0.0,0.0,1.0,,,,0.2048,0.5461,0.0,1.0,5.0,1.0,4.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,11.0,0.0,0.0,0.0,4.0,64811,1474.653,,2561.57,3978.8851,228,5.1877,133,3.0262,67,429.0,9.7611,70254,41979,955.1536,,67150.0,0.00410371,,1150.0,207,164,0,30.876,15747.0,18065.0,293.0,14713.0,17818.0,304.0,1034.0,247.0,-11.0,3.0,4.0,1.0,1.0,2.0,3.0,23861.0,28775.0,493.0,23314.0,27629.0,452.0,547.0,1146.0,41.0,3.0,4.0,4.0,4.0,11.0,3.0
4475,ESPORTSTMNT02/982686,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/982686?gameHash=4d823bf65b6ba5b2,LCK,2019,Spring,0,2019-01-27 10:50:25,1,9.01,200,Red,team,,Gen.G,,Galio,Lucian,Cassiopeia,Xin Zhao,Olaf,1970,1,10,4,27,10,4,3.0,0.0,0.0,0.0,1.0,,,,0.3046,0.4264,1.0,4.0,0.0,4.0,0.0,0.0,1.0,2.0,1.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,11.0,0.0,1.0,1.0,3.0,0.0,46068,1403.0863,,2424.7919,1747.0355,108,3.2893,69,2.1015,37,269.0,8.1929,67275,45803,1395.0152,,55875.0,0.113115,,1074.0,226,137,15,39.5939,15565.0,19105.0,346.0,14995.0,18526.0,327.0,570.0,579.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,25084.0,31596.0,568.0,23565.0,30130.0,547.0,1519.0,1466.0,21.0,1.0,2.0,0.0,0.0,0.0,1.0
4510,ESPORTSTMNT02/992771,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/992771?gameHash=9eb23e118f1a4ae6,LCK,2019,Spring,0,2019-01-27 12:17:55,2,9.01,100,Blue,team,,Gen.G,,Galio,Cassiopeia,Lucian,Xin Zhao,Zac,2381,0,5,13,14,5,13,0.0,0.0,0.0,0.0,0.0,,,,0.126,0.4536,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,7.0,8.0,1.0,1.0,3.0,1.0,63200,1592.6081,,2183.9143,2076.3629,181,4.5611,95,2.394,61,393.0,9.9034,71603,45939,1157.6396,,65850.0,-0.00272975,,1149.0,277,178,26,35.9345,15715.0,19109.0,349.0,15291.0,18515.0,318.0,424.0,594.0,31.0,0.0,0.0,1.0,1.0,1.0,0.0,26320.0,31238.0,579.0,24413.0,29615.0,491.0,1907.0,1623.0,88.0,0.0,0.0,2.0,2.0,3.0,0.0
4547,ESPORTSTMNT02/992779,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/992779?gameHash=fd3325d79f4d6c64,LCK,2019,Spring,0,2019-01-27 13:17:10,3,9.01,200,Red,team,,Gen.G,,Galio,Lucian,Cassiopeia,Xin Zhao,Olaf,1895,1,15,5,40,15,5,2.0,1.0,0.0,0.0,1.0,,,,0.4749,0.6332,0.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,8.0,0.0,1.0,1.0,1.0,0.0,77921,2467.1557,,2154.1741,2661.2137,122,3.8628,40,1.2665,39,260.0,8.2322,59520,38813,1228.9077,,54490.0,0.169447,,878.0,210,127,22,34.4485,15689.0,19178.0,344.0,14593.0,18232.0,314.0,1096.0,946.0,30.0,1.0,2.0,0.0,0.0,0.0,1.0,23718.0,30429.0,532.0,22800.0,30346.0,535.0,918.0,83.0,-3.0,2.0,3.0,0.0,0.0,0.0,2.0
