,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
862,ESPORTSTMNT02/990708,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/990708?gameHash=590131306fb4ed14&amp;tab=overview,LEC,2019,Spring,0,2019-01-18 21:39:22,1,9.01,100,Blue,team,,Rogue,,Lucian,Irelia,Galio,Xayah,Kalista,1473,0,3,12,6,3,12,0.0,0.0,0.0,0.0,0.0,,,,0.1222,0.611,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,26374,1074.2974,,2588.2281,1725.8248,81,3.2994,15,0.611,28,126.0,5.1324,36081,19678,801.5479,,32175.0,-0.189237,,616.0,117,82,9,29.8574,14843.0,18476.0,329.0,15992.0,18799.0,316.0,-1149.0,-323.0,13.0,0.0,0.0,2.0,2.0,3.0,0.0,22538.0,28486.0,497.0,25591.0,29534.0,490.0,-3053.0,-1048.0,7.0,1.0,2.0,3.0,3.0,4.0,1.0
1367,ESPORTSTMNT02/980693,complete,https://matchhistory.euw.leagueoflegends.com/de/#match-details/ESPORTSTMNT02/980693?gameHash=9ae7b7fa0ca02595&amp;tab=overview,LEC,2019,Spring,0,2019-01-19 16:38:02,1,9.01,200,Red,team,,Rogue,,Cassiopeia,Aatrox,Urgot,Thresh,Janna,1652,0,3,12,9,3,12,0.0,0.0,0.0,0.0,1.0,,,,0.109,0.5448,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,37108,1347.7482,,2529.3705,1525.5327,89,3.2324,23,0.8354,30,163.0,5.9201,44158,25930,941.7676,,41950.0,-0.0380006,,764.0,159,99,13,33.523,15973.0,18814.0,354.0,14836.0,18945.0,317.0,1137.0,-131.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,24069.0,29054.0,505.0,25096.0,30664.0,480.0,-1027.0,-1610.0,25.0,2.0,5.0,4.0,4.0,10.0,2.0
3634,ESPORTSTMNT05/1080609,complete,https://matchhistory.euw.leagueoflegends.com/de/#match-details/ESPORTSTMNT05/1080609?gameHash=849575e6851dba56&amp;tab=overview,LEC,2019,Spring,0,2019-01-25 17:51:05,1,9.01,100,Blue,team,,Rogue,,Galio,Irelia,Rakan,LeBlanc,Thresh,2069,0,11,22,25,11,22,0.0,0.0,0.0,0.0,0.0,,,,0.319,0.957,0.0,1.0,4.0,1.0,4.0,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,9.0,0.0,0.0,0.0,1.0,68667,1991.3098,,3601.16,2469.0188,104,3.0159,37,1.073,43,214.0,6.2059,59086,36604,1061.4983,,55875.0,-0.140599,,898.0,169,132,0,30.9425,15369.0,18474.0,313.0,17112.0,19764.0,341.0,-1743.0,-1290.0,-28.0,1.0,1.0,2.0,2.0,3.0,1.0,23578.0,28241.0,469.0,27703.0,32119.0,536.0,-4125.0,-3878.0,-67.0,3.0,5.0,6.0,6.0,14.0,3.0
4211,ESPORTSTMNT05/1070822,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1070822?gameHash=c25a22c3e12e38ed&amp;tab=overview,LEC,2019,Spring,0,2019-01-26 18:00:54,1,9.01,200,Red,team,,Rogue,,Cassiopeia,Aatrox,Akali,Xin Zhao,Sejuani,1391,0,9,17,18,9,17,1.0,0.0,0.0,0.0,0.0,,,,0.3882,1.1215,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,33429,1441.941,,3798.0302,3167.8361,64,2.7606,11,0.4745,30,107.0,4.6154,35862,20296,875.4565,,32700.0,-0.171857,,540.0,103,83,4,27.7354,14682.0,18656.0,307.0,16258.0,18734.0,335.0,-1576.0,-78.0,-28.0,0.0,0.0,1.0,1.0,1.0,0.0,22248.0,27275.0,441.0,27360.0,30640.0,499.0,-5112.0,-3365.0,-58.0,3.0,5.0,6.0,6.0,12.0,3.0
6419,ESPORTSTMNT04/890254,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/890254?gameHash=a9cbca8036c9eace&amp;tab=overview,LEC,2019,Spring,0,2019-02-01 18:42:18,1,9.02,200,Red,team,,Rogue,,Lucian,Akali,Cassiopeia,Nocturne,Lee Sin,1922,0,8,15,15,8,15,0.0,0.0,0.0,0.0,1.0,,,,0.2497,0.718,1.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,11.0,0.0,0.0,0.0,2.0,39110,1220.9157,,3190.5827,2569.23,104,3.2466,35,1.0926,39,211.0,6.5869,54199,33217,1036.9511,,50645.0,-0.0566934,,822.0,170,120,11,30.9677,15726.0,18884.0,310.0,14706.0,18347.0,311.0,1020.0,537.0,-1.0,2.0,2.0,0.0,0.0,0.0,2.0,25193.0,28855.0,453.0,24265.0,29192.0,450.0,928.0,-337.0,3.0,6.0,9.0,6.0,6.0,13.0,6.0
6874,ESPORTSTMNT04/890368,complete,https://matchhistory.euw.leagueoflegends.com/de/#match-details/ESPORTSTMNT04/890368?gameHash=edffb6d3927511c4&amp;tab=overview,LEC,2019,Spring,0,2019-02-02 18:54:58,1,9.02,100,Blue,team,,Rogue,,Draven,Urgot,LeBlanc,Lee Sin,Thresh,1996,0,13,3,28,13,3,0.0,0.0,0.0,0.0,1.0,,,,0.3908,0.481,0.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,7.0,0.0,0.0,1.0,1.0,42865,1288.5271,,2360.7415,2451.5531,124,3.7275,52,1.5631,44,254.0,7.6353,60086,38349,1152.7756,,55570.0,0.0263458,,956.0,137,95,5,32.8557,15151.0,18115.0,289.0,15578.0,18001.0,324.0,-427.0,114.0,-35.0,1.0,1.0,0.0,0.0,0.0,1.0,24311.0,29287.0,465.0,26076.0,28948.0,514.0,-1765.0,339.0,-49.0,3.0,3.0,2.0,2.0,2.0,3.0
8387,ESPORTSTMNT04/890855,complete,https://matchhistory.euw.leagueoflegends.com/de/#match-details/ESPORTSTMNT04/890855?gameHash=d2ccb1f6a49f676f&amp;tab=overview,LEC,2019,Spring,0,2019-02-08 18:50:56,1,9.02,200,Red,team,,Rogue,,Cassiopeia,Akali,Lucian,Sejuani,Gragas,1896,0,4,12,4,4,12,1.0,0.0,0.0,0.0,0.0,,,,0.1266,0.5063,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,11.0,0.0,0.0,0.0,2.0,27334,865.0,,2029.1456,1410.1266,122,3.8608,28,0.8861,35,207.0,6.5506,49065,28348,897.0886,,47020.0,-0.175575,,812.0,163,107,25,30.8544,15039.0,18767.0,315.0,15402.0,18237.0,339.0,-363.0,530.0,-24.0,0.0,0.0,0.0,0.0,0.0,0.0,22710.0,28124.0,459.0,25965.0,29523.0,520.0,-3255.0,-1399.0,-61.0,1.0,2.0,3.0,3.0,5.0,1.0
8759,ESPORTSTMNT04/880992,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/880992?gameHash=253c21df856a2bb1&amp;tab=overview,LEC,2019,Spring,0,2019-02-09 16:46:19,1,9.02,200,Red,team,,Rogue,,Cassiopeia,Braum,Alistar,Morgana,Lee Sin,1988,0,9,15,26,9,15,2.0,0.0,0.0,0.0,0.0,,,,0.2716,0.7243,1.0,2.0,3.0,2.0,3.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,9.0,0.0,0.0,0.0,1.0,49853,1504.6177,,2956.5091,2161.1469,105,3.169,35,1.0563,39,229.0,6.9115,55450,33794,1019.9396,,52350.0,-0.0651421,,864.0,204,136,26,32.2334,15294.0,18293.0,339.0,15826.0,18577.0,351.0,-532.0,-284.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,24535.0,29301.0,537.0,26234.0,28674.0,535.0,-1699.0,627.0,2.0,0.0,0.0,1.0,1.0,4.0,0.0
10882,ESPORTSTMNT05/1100307,complete,https://matchhistory.euw.leagueoflegends.com/de/#match-details/ESPORTSTMNT05/1100307?gameHash=1cc40f7de2c40e5c&amp;tab=overview,LEC,2019,Spring,0,2019-02-15 19:40:59,1,9.03,100,Blue,team,,Rogue,,Lissandra,Zoe,Thresh,Sejuani,Olaf,2048,0,3,8,4,3,8,0.0,0.0,0.0,0.0,0.0,,,,0.0879,0.3223,0.0,1.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,11.0,0.0,0.0,0.0,3.0,43395,1271.3379,,2527.3535,3001.875,123,3.6035,38,1.1133,42,234.0,6.8555,53755,31487,922.4707,,51758.0,-0.102069,,1046.0,140,109,8,34.7461,14477.0,17803.0,305.0,15768.0,18440.0,328.0,-1291.0,-637.0,-23.0,0.0,0.0,1.0,1.0,1.0,0.0,22677.0,29019.0,509.0,24723.0,29868.0,538.0,-2046.0,-849.0,-29.0,1.0,1.0,1.0,1.0,1.0,1.0
11531,ESPORTSTMNT05/1100450,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1100450?gameHash=6c305bca52278633&amp;tab=overview,LEC,2019,Spring,0,2019-02-16 18:46:26,1,9.03,200,Red,team,,Rogue,,Draven,Thresh,Jayce,Zoe,Sejuani,1631,1,9,4,23,9,4,0.0,0.0,0.0,0.0,1.0,,,,0.3311,0.4782,1.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,6.0,3.0,0.0,0.0,1.0,0.0,49020,1803.3109,,1816.6278,1796.3213,85,3.1269,38,1.3979,34,205.0,7.5414,49336,31322,1152.2502,,43358.0,0.0534704,,771.0,170,108,4,34.6168,15920.0,18931.0,348.0,15063.0,18819.0,337.0,857.0,112.0,11.0,1.0,1.0,0.0,0.0,0.0,1.0,24535.0,30748.0,535.0,23522.0,29042.0,526.0,1013.0,1706.0,9.0,3.0,4.0,0.0,0.0,0.0,3.0
