,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
827,ESPORTSTMNT02/980560,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/980560?gameHash=d56172de0aebcb5c&amp;tab=overview,LEC,2019,Spring,0,2019-01-18 18:05:38,1,9.01,200,Red,team,,SK Gaming,,Cassiopeia,Aatrox,Urgot,Swain,Galio,1849,1,11,12,23,11,12,1.0,0.0,0.0,0.0,1.0,,,,0.3569,0.7463,1.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,8.0,4.0,0.0,0.0,1.0,0.0,74701,2424.0454,,2805.5922,2421.3196,89,2.888,36,1.1682,35,189.0,6.133,57315,37077,1203.1476,,53283.0,0.0266824,,848.0,168,122,8,32.9692,16764.0,19689.0,350.0,15304.0,18459.0,334.0,1460.0,1230.0,16.0,2.0,3.0,0.0,0.0,0.0,2.0,25837.0,31766.0,562.0,23790.0,30449.0,554.0,2047.0,1317.0,8.0,4.0,6.0,0.0,0.0,0.0,4.0
1415,ESPORTSTMNT02/980715,complete,https://matchhistory.euw.leagueoflegends.com/de/#match-details/ESPORTSTMNT02/980715?gameHash=789db76e3dd33dd2&amp;tab=overview,LEC,2019,Spring,0,2019-01-19 18:52:42,1,9.01,200,Red,team,,SK Gaming,,Cassiopeia,Aatrox,Urgot,Swain,Leona,1369,0,4,21,7,4,21,0.0,0.0,0.0,0.0,0.0,,,,0.1753,1.0957,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,27295,1196.2747,,2802.3813,2130.3287,51,2.2352,18,0.7889,25,101.0,4.4266,32702,17360,760.8473,,30950.0,-0.323061,,533.0,80,67,0,26.8663,13625.0,15695.0,247.0,18787.0,17803.0,315.0,-5162.0,-2108.0,-68.0,1.0,1.0,6.0,6.0,11.0,1.0,21514.0,26270.0,403.0,31622.0,30960.0,497.0,-10108.0,-4690.0,-94.0,2.0,4.0,14.0,14.0,23.0,2.0
3659,ESPORTSTMNT05/1080623,complete,https://matchhistory.euw.leagueoflegends.com/de/#match-details/ESPORTSTMNT05/1080623?gameHash=215e8e02cadeb046&amp;tab=overview,LEC,2019,Spring,0,2019-01-25 20:18:08,1,9.01,200,Red,team,,SK Gaming,,Lucian,Aatrox,Urgot,Kennen,Olaf,2433,0,7,18,14,7,18,1.0,0.0,0.0,0.0,0.0,,,,0.1726,0.6165,1.0,2.0,4.0,2.0,3.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,10.0,1.0,0.0,0.0,2.0,64774,1597.3859,,3473.9827,3589.5684,150,3.6991,46,1.1344,69,253.0,6.2392,64082,37887,934.328,,59510.0,-0.179886,,1016.0,208,161,4,30.185,15888.0,19167.0,351.0,15280.0,18553.0,330.0,608.0,614.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,24867.0,29617.0,520.0,25661.0,30634.0,538.0,-794.0,-1017.0,-18.0,2.0,4.0,1.0,1.0,2.0,2.0
4186,ESPORTSTMNT05/1070799,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1070799?gameHash=ea86b9eece71eb57&amp;tab=overview,LEC,2019,Spring,0,2019-01-26 16:55:53,1,9.01,100,Blue,team,,SK Gaming,,Galio,Zilean,Morgana,Nocturne,Sejuani,1714,1,8,1,18,8,1,1.0,0.0,0.0,0.0,1.0,,,,0.28,0.3151,1.0,4.0,0.0,4.0,0.0,0.0,1.0,1.0,2.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,8.0,1.0,1.0,1.0,1.0,0.0,34521,1208.4364,,2376.231,2353.7223,75,2.6254,37,1.2952,31,203.0,7.1062,56949,38088,1333.3022,,48050.0,0.168444,,898.0,203,120,12,38.5414,16515.0,19177.0,348.0,14666.0,19149.0,328.0,1849.0,28.0,20.0,1.0,1.0,0.0,0.0,0.0,1.0,26756.0,31334.0,555.0,22099.0,29757.0,513.0,4657.0,1577.0,42.0,2.0,4.0,0.0,0.0,0.0,2.0
6382,ESPORTSTMNT04/890228,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/890228?gameHash=6f0facbfb82d20e6&amp;tab=overview,LEC,2019,Spring,0,2019-02-01 16:34:54,1,9.02,100,Blue,team,,SK Gaming,,Jayce,Karthus,Cassiopeia,Ryze,Syndra,1518,0,8,18,13,8,18,1.0,0.0,0.0,0.0,1.0,,,,0.3162,1.0277,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,34602,1367.668,,2648.1818,1991.4229,80,3.1621,26,1.0277,33,149.0,5.8893,41153,24291,960.1186,,37310.0,-0.133217,,617.0,126,99,3,29.3676,16151.0,18696.0,314.0,15889.0,18550.0,320.0,262.0,146.0,-6.0,2.0,1.0,2.0,2.0,2.0,2.0,24372.0,28313.0,473.0,26034.0,29367.0,461.0,-1662.0,-1054.0,12.0,4.0,6.0,7.0,7.0,11.0,4.0
6850,ESPORTSTMNT04/890362,complete,https://matchhistory.euw.leagueoflegends.com/de/#match-details/ESPORTSTMNT04/890362?gameHash=60a7336ebc6e283d&amp;tab=overview,LEC,2019,Spring,0,2019-02-02 17:47:36,1,9.02,100,Blue,team,,SK Gaming,,Jayce,Ryze,Lucian,LeBlanc,,2227,0,11,22,26,11,22,0.0,0.0,0.0,0.0,1.0,,,,0.2964,0.8891,1.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,7.0,1.0,1.0,0.0,1.0,63750,1717.5573,,3165.586,2357.5932,116,3.1253,52,1.401,49,278.0,7.4899,64035,39942,1076.1203,,58250.0,-0.157302,,1020.0,205,134,20,33.004,16175.0,19171.0,319.0,16583.0,18993.0,335.0,-408.0,178.0,-16.0,2.0,2.0,1.0,1.0,1.0,2.0,26249.0,31824.0,532.0,25834.0,30379.0,536.0,415.0,1445.0,-4.0,6.0,12.0,3.0,3.0,4.0,6.0
8374,ESPORTSTMNT04/890839,complete,https://matchhistory.euw.leagueoflegends.com/de/#match-details/ESPORTSTMNT04/890839?gameHash=e248398bfefb82f6&amp;tab=overview,LEC,2019,Spring,0,2019-02-08 17:35:57,1,9.02,100,Blue,team,,SK Gaming,,Karthus,Ryze,Sylas,Ornn,Olaf,2750,0,14,19,38,14,19,2.0,0.0,0.0,0.0,0.0,,,,0.3055,0.72,1.0,2.0,4.0,2.0,3.0,1.0,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,7.0,10.0,1.0,1.0,1.0,2.0,87692,1913.28,,3647.9127,4209.3164,137,2.9891,64,1.3964,47,288.0,6.2836,78783,49355,1076.8364,,74590.0,-0.0687423,,1102.0,237,181,0,29.2145,15368.0,18163.0,329.0,16593.0,19237.0,346.0,-1225.0,-1074.0,-17.0,0.0,0.0,2.0,2.0,4.0,0.0,23509.0,29262.0,517.0,25070.0,30065.0,536.0,-1561.0,-803.0,-19.0,0.0,0.0,3.0,3.0,5.0,0.0
8758,ESPORTSTMNT04/880992,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/880992?gameHash=253c21df856a2bb1&amp;tab=overview,LEC,2019,Spring,0,2019-02-09 16:46:19,1,9.02,100,Blue,team,,SK Gaming,,Karthus,Sylas,Kennen,Ezreal,Sejuani,1988,1,15,9,42,15,9,1.0,1.0,0.0,0.0,1.0,,,,0.4527,0.7243,0.0,3.0,2.0,3.0,2.0,2.0,0.0,1.0,0.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,9.0,5.0,1.0,1.0,1.0,0.0,66966,2021.1066,,2348.33,2491.3581,99,2.9879,43,1.2978,36,234.0,7.0624,64155,42499,1282.666,,55875.0,0.0651421,,887.0,171,110,16,31.9316,15826.0,18577.0,351.0,15294.0,18293.0,339.0,532.0,284.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,26234.0,28674.0,535.0,24535.0,29301.0,537.0,1699.0,-627.0,-2.0,1.0,4.0,0.0,0.0,0.0,1.0
10871,ESPORTSTMNT05/1100294,complete,https://matchhistory.euw.leagueoflegends.com/de/#match-details/ESPORTSTMNT05/1100294?gameHash=a2701622c7a1a32e&amp;tab=overview,LEC,2019,Spring,0,2019-02-15 18:45:31,1,9.03,200,Red,team,,SK Gaming,,Draven,Karthus,Sylas,LeBlanc,Yasuo,1718,1,16,9,37,16,9,2.0,0.0,0.0,0.0,0.0,,,,0.5588,0.8731,1.0,3.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,10.0,2.0,1.0,1.0,2.0,0.0,45202,1578.6496,,2637.695,2867.2177,86,3.0035,34,1.1874,27,156.0,5.4482,55102,36200,1264.2608,,47175.0,0.0433135,,727.0,164,96,17,31.1176,15109.0,18615.0,305.0,15645.0,18933.0,318.0,-536.0,-318.0,-13.0,2.0,3.0,2.0,2.0,1.0,2.0,24877.0,30129.0,513.0,23323.0,28818.0,501.0,1554.0,1311.0,12.0,3.0,4.0,2.0,2.0,1.0,3.0
11422,ESPORTSTMNT05/1100411,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1100411?gameHash=f4d49814b5a98ad8&amp;tab=overview,LEC,2019,Spring,0,2019-02-16 15:35:26,1,9.03,100,Blue,team,,SK Gaming,,Sivir,Rakan,Karma,Elise,Ivern,1873,1,12,8,33,12,8,1.0,0.0,0.0,0.0,0.0,,,,0.3844,0.6407,0.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,10.0,2.0,1.0,1.0,2.0,0.0,61773,1978.8468,,2271.3187,2420.9183,102,3.2675,26,0.8329,33,199.0,6.3748,58782,38299,1226.8767,,53280.0,0.0260481,,842.0,197,125,10,33.2835,16109.0,19172.0,364.0,16938.0,19606.0,324.0,-829.0,-434.0,40.0,0.0,0.0,3.0,3.0,5.0,0.0,25049.0,30791.0,549.0,25785.0,30641.0,525.0,-736.0,150.0,24.0,2.0,4.0,3.0,3.0,5.0,2.0
