,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
58,ESPORTSTMNT03/1241386,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241386?gameHash=70ee5d9886465bc5,KeSPA,2020,,0,2020-01-04 05:33:33,1,9.24,100,Blue,team,,DRX,,Qiyana,Orianna,Irelia,Tahm Kench,Gangplank,1812,0,3,21,7,3,21,0.0,0.0,0.0,0.0,0.0,,,,0.0993,0.7947,0.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,4.0,8.0,0.0,0.0,0.0,1.0,42830,1418.2119,,2763.4768,2432.5828,106,3.5099,56,1.8543,49,196.0,6.4901,48633,28773,952.7483,,47010.0,-0.0966648,,799.0,205,151,7,33.245,15388.0,18396.0,337.0,16135.0,18709.0,325.0,-747.0,-313.0,12.0,0.0,0.0,3.0,3.0,7.0,0.0,24644.0,29576.0,550.0,23767.0,29371.0,524.0,877.0,205.0,26.0,0.0,0.0,3.0,3.0,7.0,0.0
71,ESPORTSTMNT03/1241394,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241394?gameHash=3c389ef679856473,KeSPA,2020,,0,2020-01-04 06:55:30,2,9.24,200,Red,team,,DRX,,Akali,Lucian,Qiyana,Rek'Sai,Poppy,1548,0,4,19,10,4,19,0.0,0.0,0.0,0.0,0.0,,,,0.155,0.8915,1.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,38541,1493.8372,,2938.1783,2253.4884,78,3.0233,34,1.3178,34,120.0,4.6512,39440,22272,863.2558,,37375.0,-0.183916,,681.0,164,116,3,32.7519,15510.0,19457.0,347.0,15415.0,18771.0,336.0,95.0,686.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,23223.0,29928.0,539.0,25610.0,30131.0,526.0,-2387.0,-203.0,13.0,2.0,5.0,4.0,4.0,12.0,2.0
83,ESPORTSTMNT03/1241396,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241396?gameHash=eb3bfc67009f83fa,KeSPA,2020,,0,2020-01-04 07:43:09,3,9.24,200,Red,team,,DRX,,Akali,Lucian,Rek'Sai,Fiora,Ryze,1594,0,4,14,6,4,14,0.0,0.0,0.0,0.0,0.0,,,,0.1506,0.6775,1.0,3.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,9.0,0.0,0.0,0.0,1.0,26658,1003.4379,,2455.6713,2128.8708,87,3.2748,43,1.6186,34,187.0,7.0389,42590,24953,939.2597,,41075.0,-0.0768555,,762.0,175,128,0,35.2698,15194.0,17775.0,345.0,15771.0,17958.0,306.0,-577.0,-183.0,39.0,0.0,0.0,3.0,3.0,5.0,0.0,25176.0,30297.0,570.0,24288.0,28314.0,504.0,888.0,1983.0,66.0,2.0,2.0,3.0,3.0,5.0,2.0
5566,ESPORTSTMNT01/1293929,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293929?gameHash=f4b6f53e68bbbc86,LCK,2020,Spring,0,2020-02-07 11:00:47,1,10.02,100,Blue,team,,DRX,,Jarvan IV,Olaf,Elise,Yuumi,Thresh,2068,0,7,16,20,7,16,1.0,0.0,0.0,0.0,0.0,,,,0.2031,0.6673,1.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,9.0,0.0,0.0,0.0,2.0,52528,1524.0232,,2713.5783,2590.0967,149,4.323,74,2.147,44,329.0,9.5455,54220,31748,921.1219,,49950.0,-0.0825336,,901.0,217,175,8,32.4371,14805.0,19195.0,338.0,15774.0,19436.0,344.0,-969.0,-241.0,-6.0,0.0,0.0,1.0,1.0,1.0,0.0,22679.0,29116.0,513.0,25031.0,30440.0,512.0,-2352.0,-1324.0,1.0,2.0,5.0,6.0,6.0,11.0,2.0
5591,ESPORTSTMNT01/1293950,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293950?gameHash=e2f3a99412844d36,LCK,2020,Spring,0,2020-02-07 12:27:11,2,10.02,200,Red,team,,DRX,,Pantheon,LeBlanc,Sett,Syndra,Qiyana,2030,1,20,2,46,20,2,3.0,0.0,0.0,0.0,0.0,,,,0.5911,0.6502,0.0,4.0,1.0,4.0,1.0,0.0,0.0,1.0,3.0,,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,11.0,3.0,0.0,1.0,2.0,0.0,69835,2064.0887,,2742.2365,2702.601,140,4.1379,59,1.7438,60,303.0,8.9557,65602,43518,1286.2463,,59200.0,0.188337,,933.0,246,153,15,34.8473,15428.0,18088.0,334.0,15611.0,18198.0,326.0,-183.0,-110.0,8.0,1.0,1.0,2.0,2.0,3.0,1.0,26027.0,30480.0,535.0,22599.0,27594.0,498.0,3428.0,2886.0,37.0,6.0,10.0,2.0,2.0,3.0,6.0
5614,ESPORTSTMNT01/1293964,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293964?gameHash=10bd6ec239231196,LCK,2020,Spring,0,2020-02-07 13:25:47,3,10.02,100,Blue,team,,DRX,,LeBlanc,Elise,Sett,Kennen,Rumble,2192,1,13,5,37,13,5,2.0,1.0,0.0,0.0,0.0,,,,0.3558,0.4927,0.0,4.0,1.0,4.0,1.0,0.0,0.0,3.0,1.0,,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,10.0,4.0,1.0,1.0,3.0,0.0,64842,1774.8723,,2318.3485,2390.2828,150,4.1058,92,2.5182,62,328.0,8.9781,66593,42857,1173.0931,,61675.0,0.0544124,,981.0,264,147,31,34.0785,14677.0,18206.0,332.0,15403.0,18226.0,315.0,-726.0,-20.0,17.0,0.0,0.0,2.0,2.0,3.0,0.0,23674.0,29350.0,543.0,23110.0,28661.0,514.0,564.0,689.0,29.0,2.0,5.0,2.0,2.0,3.0,2.0
6419,ESPORTSTMNT01/1294710,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1294710?gameHash=0d01dd80aa803997,LCK,2020,Spring,0,2020-02-09 07:27:58,1,10.02,200,Red,team,,DRX,,Lucian,Akali,Sett,Leona,Thresh,2127,0,5,13,12,5,13,0.0,0.0,0.0,0.0,1.0,,,,0.141,0.5078,0.0,3.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,10.0,0.0,0.0,0.0,2.0,65070,1835.543,,2542.9055,2714.3583,136,3.8364,47,1.3258,58,248.0,6.9958,55803,32730,923.2722,,54425.0,-0.0158585,,947.0,250,191,5,33.7659,15271.0,19175.0,359.0,14866.0,18710.0,344.0,405.0,465.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,24942.0,30416.0,553.0,22834.0,29484.0,531.0,2108.0,932.0,22.0,3.0,9.0,1.0,1.0,2.0,3.0
6430,ESPORTSTMNT01/1294725,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1294725?gameHash=3ae63821918e2b43,LCK,2020,Spring,0,2020-02-09 08:48:49,2,10.02,100,Blue,team,,DRX,,Elise,Olaf,Renekton,Leona,Irelia,1942,1,17,9,35,17,9,4.0,0.0,0.0,0.0,0.0,,,,0.5252,0.8033,1.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,9.0,2.0,1.0,1.0,1.0,0.0,60073,1856.0144,,2182.7085,2889.0216,122,3.7693,52,1.6066,49,246.0,7.6004,61927,40741,1258.7333,,54575.0,0.0665499,,880.0,236,156,21,34.4799,15094.0,18143.0,343.0,14838.0,18417.0,332.0,256.0,-274.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,24657.0,29556.0,524.0,22242.0,27695.0,485.0,2415.0,1861.0,39.0,4.0,4.0,2.0,2.0,2.0,4.0
6443,ESPORTSTMNT01/1294738,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1294738?gameHash=5fd20a0eec2c86f4,LCK,2020,Spring,0,2020-02-09 09:44:09,3,10.02,200,Red,team,,DRX,,Lucian,Akali,Sett,Quinn,Blitzcrank,2797,1,18,8,47,18,8,1.0,0.0,0.0,0.0,1.0,,,,0.3861,0.5577,0.0,3.0,4.0,2.0,4.0,0.0,0.0,2.0,0.0,,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,10.0,5.0,0.0,1.0,2.0,2.0,85765,1839.7926,,2481.9664,2538.2124,221,4.7408,111,2.3811,74,474.0,10.168,86315,56408,1210.0393,,86035.0,0.161751,,1229.0,326,192,35,33.3572,15994.0,19425.0,338.0,14970.0,18578.0,334.0,1024.0,847.0,4.0,2.0,3.0,1.0,1.0,1.0,2.0,25679.0,31377.0,557.0,22615.0,28967.0,528.0,3064.0,2410.0,29.0,4.0,5.0,1.0,1.0,1.0,4.0
8230,ESPORTSTMNT01/1305855,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1305855?gameHash=adee7f1bea61dc2b,LCK,2020,Spring,0,2020-02-13 09:38:31,1,10.02,100,Blue,team,,DRX,,Yuumi,Renekton,Sett,Xayah,Varus,1457,1,11,3,20,11,3,3.0,0.0,0.0,0.0,0.0,,,,0.453,0.5765,1.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,8.0,0.0,1.0,1.0,1.0,0.0,43012,1771.256,,1984.9828,1576.1839,79,3.2533,53,2.1826,35,205.0,8.442,48342,32103,1322.0178,,44400.0,0.265306,,777.0,188,113,25,39.7392,17668.0,19801.0,361.0,14789.0,19056.0,287.0,2879.0,745.0,74.0,2.0,4.0,1.0,1.0,1.0,2.0,30175.0,33638.0,590.0,21339.0,29280.0,438.0,8836.0,4358.0,152.0,8.0,12.0,1.0,1.0,1.0,8.0
