,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
107891,ESPORTSTMNT03/1641597,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1641597?gameHash=df4902a92306d14f&amp;tab=overview,KeSPA,2021,,0,2020-12-21 07:46:46,1,10.25,200,Red,team,,Nongshim RedForce,,Akali,Taliyah,Leona,Alistar,Rakan,1757,0,11,28,30,11,28,0.0,0.0,0.0,0.0,0.0,,,,0.3756,1.3318,1.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,2.0,49586,1693.3182,,3307.6494,3031.0415,82,2.8002,38,1.2977,41,196.0,6.6932,46922,27623,943.3011,,45675.0,-0.21364,,676.0,149,115,0,28.173,15374.0,17804.0,313.0,16105.0,18553.0,325.0,-731.0,-749.0,-12.0,2.0,7.0,3.0,3.0,8.0,2.0,23382.0,28143.0,483.0,27046.0,30586.0,515.0,-3664.0,-2443.0,-32.0,4.0,11.0,8.0,8.0,19.0,4.0
107999,ESPORTSTMNT03/1641632,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1641632?gameHash=88463f61cc683a9d&amp;tab=overview,KeSPA,2021,,0,2020-12-21 10:54:27,1,10.25,200,Red,team,,Nongshim RedForce,,Akali,Renekton,Sett,Caitlyn,Aphelios,1748,1,22,8,45,22,8,2.0,0.0,0.0,0.0,1.0,,,,0.7551,1.0297,0.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,10.0,0.0,1.0,1.0,2.0,0.0,67151,2304.9542,,2487.5286,1970.4577,101,3.4668,52,1.7849,45,246.0,8.4439,59533,40325,1384.1533,,51465.0,0.133596,,804.0,213,121,21,34.9085,16513.0,18430.0,312.0,15660.0,17476.0,317.0,853.0,954.0,-5.0,4.0,9.0,3.0,3.0,3.0,4.0,26818.0,31585.0,528.0,23836.0,28256.0,509.0,2982.0,3329.0,19.0,8.0,15.0,4.0,4.0,4.0,8.0
108322,ESPORTSTMNT03/1641885,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1641885?gameHash=761c2b9cb3d2d4ea,KeSPA,2021,,0,2020-12-23 08:58:05,1,10.25,100,Blue,team,,Nongshim RedForce,,Miss Fortune,Jhin,Renekton,Hecarim,Kindred,1606,1,10,3,26,10,3,1.0,0.0,0.0,0.0,0.0,,,,0.3736,0.4857,1.0,3.0,1.0,3.0,1.0,1.0,0.0,2.0,0.0,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,9.0,3.0,0.0,0.0,1.0,0.0,35088,1310.8842,,2009.5143,1343.9103,89,3.325,34,1.2702,34,194.0,7.2478,50149,32390,1210.0872,,41375.0,0.0499164,,704.0,200,130,16,33.7733,15535.0,19175.0,343.0,15869.0,19473.0,354.0,-334.0,-298.0,-11.0,1.0,2.0,1.0,1.0,1.0,1.0,26060.0,30017.0,548.0,23517.0,30588.0,559.0,2543.0,-571.0,-11.0,1.0,2.0,1.0,1.0,1.0,1.0
108358,ESPORTSTMNT03/1641904,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1641904?gameHash=fb8e824b0d8c0e50,KeSPA,2021,,0,2020-12-23 11:48:42,1,10.25,100,Blue,team,,Nongshim RedForce,,Renekton,Akali,Lucian,Zoe,Orianna,1978,1,11,10,21,11,10,2.0,1.0,0.0,0.0,0.0,,,,0.3337,0.637,1.0,3.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,7.0,3.0,1.0,1.0,1.0,0.0,42121,1277.6845,,2739.4641,1781.2235,120,3.64,66,2.002,47,307.0,9.3124,61419,39865,1209.2518,,53735.0,-0.0359117,,897.0,251,172,8,34.8231,15630.0,17927.0,298.0,16001.0,18082.0,321.0,-371.0,-155.0,-23.0,3.0,8.0,3.0,3.0,4.0,3.0,24984.0,29205.0,504.0,24695.0,29513.0,535.0,289.0,-308.0,-31.0,3.0,8.0,4.0,4.0,6.0,3.0
108512,ESPORTSTMNT03/1642138,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1642138?gameHash=e1b258cd00319c93&amp;tab=overview,KeSPA,2021,,0,2020-12-25 07:34:20,1,10.25,100,Blue,team,,Nongshim RedForce,,Renekton,Akali,Lucian,Jayce,Camille,2029,1,15,8,33,15,8,4.0,0.0,0.0,0.0,0.0,,,,0.4436,0.6801,0.0,3.0,2.0,3.0,2.0,1.0,2.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,8.0,3.0,1.0,0.0,1.0,0.0,57977,1714.4505,,2739.5959,2317.4667,162,4.7905,82,2.4248,48,336.0,9.9359,64636,42562,1258.6102,,57235.0,0.0378299,,959.0,259,155,35,36.0177,15577.0,18502.0,322.0,15977.0,17416.0,315.0,-400.0,1086.0,7.0,2.0,3.0,3.0,3.0,6.0,2.0,24279.0,29032.0,505.0,25219.0,28421.0,517.0,-940.0,611.0,-12.0,4.0,8.0,5.0,5.0,14.0,4.0
108537,ESPORTSTMNT03/1642150,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1642150?gameHash=9937acaabdd444c0&amp;tab=overview,KeSPA,2021,,0,2020-12-25 08:53:52,2,10.25,200,Red,team,,Nongshim RedForce,,Renekton,Akali,Samira,Miss Fortune,Jhin,2098,0,14,21,31,14,21,2.0,2.0,0.0,0.0,1.0,,,,0.4004,1.001,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,3.0,9.0,0.0,0.0,0.0,2.0,54974,1572.183,,2897.0448,2527.5214,119,3.4032,50,1.4299,42,234.0,6.6921,59369,36591,1046.4538,,58835.0,-0.000679636,,845.0,219,146,28,30.429,15079.0,16624.0,298.0,16038.0,18868.0,338.0,-959.0,-2244.0,-40.0,2.0,3.0,3.0,3.0,9.0,2.0,22749.0,25885.0,461.0,27599.0,29728.0,497.0,-4850.0,-3843.0,-36.0,4.0,7.0,10.0,10.0,24.0,4.0
108570,ESPORTSTMNT03/1642156,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1642156?gameHash=3798761b01afbc9f&amp;tab=overview,KeSPA,2021,,0,2020-12-25 09:57:43,3,10.25,100,Blue,team,,Nongshim RedForce,,Renekton,Akali,Lucian,Orianna,Zoe,1969,1,17,14,38,17,14,4.0,1.0,0.0,0.0,1.0,,,,0.518,0.9446,1.0,3.0,2.0,3.0,2.0,1.0,2.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,9.0,2.0,0.0,1.0,1.0,0.0,58452,1781.1681,,3549.3855,3446.0538,149,4.5404,62,1.8893,39,293.0,8.9284,63660,42198,1285.871,,59258.0,0.101478,,816.0,239,142,28,32.1483,15752.0,17697.0,297.0,14973.0,17066.0,313.0,779.0,631.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,24474.0,28800.0,493.0,23623.0,28458.0,520.0,851.0,342.0,-27.0,2.0,1.0,2.0,2.0,4.0,2.0
108761,ESPORTSTMNT03/1632072,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1632072?gameHash=342796be9ccacd20,KeSPA,2021,,0,2020-12-27 07:43:16,1,10.25,200,Red,team,,Nongshim RedForce,,Samira,Akali,Lucian,Yone,Jayce,2139,1,12,13,31,12,13,1.0,0.0,0.0,0.0,0.0,,,,0.3366,0.7013,1.0,5.0,0.0,4.0,0.0,1.0,1.0,0.0,2.0,,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,9.0,6.0,0.0,0.0,2.0,0.0,69168,1940.1964,,2703.6466,2138.1487,158,4.432,90,2.5245,45,352.0,9.8738,66272,43076,1208.3029,,58505.0,-0.0139184,,987.0,262,175,18,35.0351,14799.0,18589.0,342.0,16320.0,19361.0,360.0,-1521.0,-772.0,-18.0,0.0,0.0,1.0,1.0,1.0,0.0,23147.0,29651.0,564.0,26481.0,31570.0,587.0,-3334.0,-1919.0,-23.0,0.0,0.0,2.0,2.0,3.0,0.0
108773,ESPORTSTMNT03/1632078,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1632078?gameHash=3781156c7fbd422b,KeSPA,2021,,0,2020-12-27 08:50:40,2,10.25,200,Red,team,,Nongshim RedForce,,Samira,Akali,Lucian,Kindred,Yone,1583,1,20,13,56,20,13,3.0,0.0,0.0,0.0,0.0,,,,0.7581,1.2508,0.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,9.0,3.0,1.0,1.0,1.0,0.0,60711,2301.1118,,3563.6513,3023.8787,84,3.1838,49,1.8572,34,184.0,6.9741,54112,36587,1386.7467,,46715.0,0.0545806,,695.0,201,97,44,33.9608,16537.0,18843.0,315.0,17568.0,18696.0,328.0,-1031.0,147.0,-13.0,4.0,9.0,6.0,6.0,10.0,4.0,25647.0,29574.0,506.0,26743.0,29516.0,511.0,-1096.0,58.0,-5.0,7.0,16.0,9.0,9.0,20.0,7.0
108797,ESPORTSTMNT03/1632082,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1632082?gameHash=b235d2d9b714fd10,KeSPA,2021,,0,2020-12-27 09:48:16,3,10.25,200,Red,team,,Nongshim RedForce,,Samira,Renekton,Akali,Orianna,Lillia,1955,1,14,8,33,14,8,3.0,0.0,0.0,0.0,0.0,,,,0.4297,0.6752,1.0,4.0,1.0,4.0,1.0,0.0,0.0,3.0,1.0,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,10.0,3.0,1.0,1.0,1.0,0.0,52113,1599.376,,2436.6138,2426.087,143,4.3887,63,1.9335,40,335.0,10.2813,61339,40020,1228.2353,,54950.0,0.0777993,,843.0,252,151,21,33.6061,15264.0,19056.0,365.0,16130.0,18733.0,320.0,-866.0,323.0,45.0,0.0,0.0,2.0,2.0,3.0,0.0,24934.0,30438.0,545.0,24414.0,28059.0,506.0,520.0,2379.0,39.0,3.0,6.0,3.0,3.0,4.0,3.0
