,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
1582,ESPORTSTMNT02/1270592,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270592?gameHash=7fa61eb33bd32bfc&amp;tab=overview,LCS,2020,Spring,0,2020-01-25 23:39:30,1,10.01,100,Blue,team,,100 Thieves,,Qiyana,Rumble,Senna,Vladimir,Lee Sin,2282,1,14,12,33,14,12,2.0,0.0,0.0,0.0,1.0,,,,0.3681,0.6836,0.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,10.0,3.0,0.0,0.0,2.0,0.0,82957,2181.1656,,2756.1087,2391.6915,143,3.7599,59,1.5513,44,282.0,7.4145,66011,41357,1087.3883,,60933.0,0.0732915,,868.0,178,129,14,27.5022,13973.0,16586.0,291.0,13927.0,16813.0,292.0,46.0,-227.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,24058.0,26322.0,461.0,22600.0,26940.0,461.0,1458.0,-618.0,0.0,3.0,5.0,3.0,3.0,8.0,3.0
2075,ESPORTSTMNT02/1271091,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271091?gameHash=d31d642fb546e43e,LCS,2020,Spring,0,2020-01-28 00:52:53,1,10.01,200,Red,team,,100 Thieves,,Akali,Aphelios,Qiyana,Jarvan IV,Zoe,2350,0,4,15,8,4,15,0.0,0.0,0.0,0.0,0.0,,,,0.1021,0.4851,0.0,1.0,5.0,1.0,4.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,9.0,0.0,0.0,0.0,1.0,51756,1321.4298,,2682.3064,2394.8936,150,3.8298,77,1.966,75,350.0,8.9362,60256,34908,891.2681,,58450.0,-0.101502,,994.0,255,164,23,31.8894,14654.0,18080.0,326.0,14965.0,18109.0,312.0,-311.0,-29.0,14.0,0.0,0.0,1.0,1.0,2.0,0.0,22384.0,27687.0,493.0,22308.0,28496.0,488.0,76.0,-809.0,5.0,1.0,2.0,1.0,1.0,2.0,1.0
3431,ESPORTSTMNT01/1291406,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1291406?gameHash=5220923eb35c42c6,LCS,2020,Spring,0,2020-02-01 21:36:35,1,10.02,200,Red,team,,100 Thieves,,Akali,Rumble,Tahm Kench,LeBlanc,Diana,2186,1,14,9,37,14,9,4.0,0.0,0.0,0.0,0.0,,,,0.3843,0.6313,1.0,4.0,1.0,4.0,0.0,0.0,2.0,1.0,1.0,,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,11.0,4.0,1.0,1.0,4.0,0.0,49429,1356.6972,,1976.2397,3754.3367,147,4.0348,78,2.1409,52,333.0,9.14,65682,42007,1152.9826,,58525.0,-0.0139979,,872.0,213,112,40,29.7804,14565.0,18507.0,329.0,14724.0,18139.0,335.0,-159.0,368.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,23792.0,29804.0,515.0,22948.0,28430.0,515.0,844.0,1374.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0
3694,ESPORTSTMNT01/1291812,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1291812?gameHash=e540d208bbc69bb3,LCS,2020,Spring,0,2020-02-02 21:43:55,1,10.02,100,Blue,team,,100 Thieves,,Elise,Tahm Kench,Rumble,Syndra,Zoe,1951,0,5,19,9,5,19,0.0,0.0,0.0,0.0,0.0,,,,0.1538,0.7381,0.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,43569,1339.8975,,2761.3532,2682.655,135,4.1517,52,1.5992,52,283.0,8.7032,49222,27944,859.3747,,48797.0,-0.0912576,,825.0,179,115,13,30.8765,14332.0,17064.0,283.0,16091.0,18481.0,317.0,-1759.0,-1417.0,-34.0,1.0,2.0,3.0,3.0,8.0,1.0,23210.0,27808.0,449.0,25133.0,29571.0,500.0,-1923.0,-1763.0,-51.0,4.0,7.0,6.0,6.0,14.0,4.0
6334,ESPORTSTMNT01/1304374,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304374?gameHash=175112ba57cbce5e,LCS,2020,Spring,0,2020-02-08 22:48:29,1,10.02,100,Blue,team,,100 Thieves,,Rumble,Jarvan IV,Xayah,Elise,LeBlanc,2508,1,13,5,24,13,5,1.0,1.0,1.0,0.0,1.0,,,,0.311,0.4306,1.0,6.0,0.0,4.0,0.0,2.0,1.0,1.0,0.0,,2.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,4.0,0.0,72739,1740.1675,,2613.8038,2745.6459,148,3.5407,65,1.555,47,379.0,9.067,73922,46962,1123.4928,,67800.0,0.093675,,1005.0,271,126,64,30.5263,15246.0,17420.0,298.0,14245.0,17643.0,307.0,1001.0,-223.0,-9.0,3.0,5.0,0.0,0.0,0.0,3.0,24951.0,29799.0,510.0,22223.0,28335.0,502.0,2728.0,1464.0,8.0,4.0,7.0,0.0,0.0,0.0,4.0
6779,ESPORTSTMNT01/1304700,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304700?gameHash=b50bc9265ac35f9f,LCS,2020,Spring,0,2020-02-09 19:18:31,1,10.02,200,Red,team,,100 Thieves,,Akali,Rumble,Sett,LeBlanc,Ornn,2164,0,6,17,19,6,17,0.0,0.0,0.0,0.0,0.0,,,,0.1664,0.6377,1.0,2.0,4.0,2.0,4.0,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,3.0,78165,2167.2366,,3154.9908,2575.9797,126,3.4935,56,1.5527,44,279.0,7.7357,55238,31787,881.3401,,53868.0,-0.0686935,,926.0,151,119,0,29.8614,14155.0,17062.0,291.0,15967.0,17977.0,311.0,-1812.0,-915.0,-20.0,0.0,0.0,3.0,3.0,4.0,0.0,22000.0,27152.0,464.0,25184.0,28572.0,515.0,-3184.0,-1420.0,-51.0,1.0,2.0,4.0,4.0,5.0,1.0
9502,ESPORTSTMNT02/1281322,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281322?gameHash=e961b42dd7bcd270&amp;tab=overview,LCS,2020,Spring,0,2020-02-16 00:42:51,1,10.03,100,Blue,team,,100 Thieves,,Rumble,Elise,Lucian,LeBlanc,Braum,1770,0,7,13,13,7,13,2.0,0.0,0.0,0.0,1.0,,,,0.2373,0.678,0.0,1.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,4.0,7.0,0.0,0.0,0.0,1.0,55508,1881.6271,,2786.1695,3090.2034,93,3.1525,20,0.678,40,159.0,5.3898,47140,27708,939.2542,,46903.0,-0.0194663,,704.0,213,138,27,31.0847,14886.0,17885.0,309.0,14405.0,18532.0,314.0,481.0,-647.0,-5.0,1.0,1.0,0.0,0.0,0.0,1.0,22343.0,28212.0,481.0,23661.0,30279.0,529.0,-1318.0,-2067.0,-48.0,1.0,1.0,1.0,1.0,1.0,1.0
10451,ESPORTSTMNT02/1291972,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1291972?gameHash=a60dff3eb8156c50&amp;tab=overview,LCS,2020,Spring,0,2020-02-18 00:12:52,1,10.03,200,Red,team,,100 Thieves,,Rumble,Yuumi,Riven,Lee Sin,Olaf,1823,0,1,8,3,1,8,0.0,0.0,0.0,0.0,0.0,,,,0.0329,0.2962,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,1.0,27760,913.6588,,2383.4778,1824.4871,91,2.9951,32,1.0532,35,185.0,6.0889,43326,23353,768.6122,,44830.0,-0.0235865,,799.0,168,134,8,31.8267,14313.0,17712.0,328.0,15331.0,17874.0,299.0,-1018.0,-162.0,29.0,0.0,0.0,2.0,2.0,5.0,0.0,21099.0,27060.0,495.0,23681.0,28704.0,489.0,-2582.0,-1644.0,6.0,0.0,0.0,3.0,3.0,5.0,0.0
12646,ESPORTSTMNT02/1294462,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1294462?gameHash=34bd51d69a3d105c&amp;tab=overview,LCS,2020,Spring,0,2020-02-22 21:37:14,1,10.03,100,Blue,team,,100 Thieves,,Senna,Soraka,Sett,Jarvan IV,Sejuani,2137,0,7,16,14,7,16,0.0,0.0,0.0,0.0,0.0,,,,0.1965,0.6458,0.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,3.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,8.0,1.0,0.0,0.0,1.0,46504,1305.6809,,2574.3847,2431.446,144,4.0431,70,1.9654,56,297.0,8.3388,57500,34325,963.7342,,56675.0,0.0263687,,892.0,238,136,39,31.7267,14343.0,18192.0,309.0,15345.0,18663.0,322.0,-1002.0,-471.0,-13.0,0.0,0.0,2.0,2.0,2.0,0.0,23630.0,28318.0,493.0,24357.0,28133.0,494.0,-727.0,185.0,-1.0,1.0,1.0,3.0,3.0,3.0,1.0
13187,ESPORTSTMNT02/1294934,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1294934?gameHash=886bd129f922d05d&amp;tab=overview,LCS,2020,Spring,0,2020-02-23 21:48:34,1,10.03,200,Red,team,,100 Thieves,,Aphelios,Ornn,Sett,LeBlanc,Orianna,1855,1,22,7,36,22,7,2.0,0.0,0.0,0.0,1.0,,,,0.7116,0.938,1.0,4.0,0.0,4.0,0.0,0.0,1.0,1.0,2.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,1.0,1.0,0.0,56014,1811.7736,,2590.221,2593.0997,108,3.4933,46,1.4879,49,239.0,7.7305,59481,39182,1267.3423,,54500.0,0.137129,,868.0,210,118,36,34.8679,16045.0,18247.0,322.0,16162.0,19015.0,316.0,-117.0,-768.0,6.0,3.0,4.0,3.0,3.0,11.0,3.0,23772.0,28892.0,512.0,25428.0,29099.0,488.0,-1656.0,-207.0,24.0,4.0,6.0,6.0,6.0,17.0,4.0
