,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
1991,ESPORTSTMNT03/1681444,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1681444?gameHash=3ece5d9433401707,LCK,2021,Spring,0,2021-01-14 11:19:56,1,11.01,200,Red,team,,Afreeca Freecs,,Samira,Nidalee,Kai'Sa,Thresh,Renekton,2162,0,8,13,12,8,13,0.0,0.0,0.0,0.0,1.0,,,,0.222,0.5828,1.0,3.0,3.0,3.0,3.0,0.0,0.0,2.0,1.0,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,5.0,11.0,1.0,1.0,0.0,3.0,48562,1347.6966,,2654.7641,2081.7391,141,3.913,87,2.4144,72,337.0,9.3525,62152,38722,1074.6161,,59358.0,-0.0371356,,1042.0,208,146,8,34.6901,16033.0,19247.0,346.0,15597.0,19794.0,369.0,436.0,-547.0,-23.0,1.0,2.0,0.0,0.0,0.0,1.0,26326.0,30971.0,538.0,23840.0,30533.0,577.0,2486.0,438.0,-39.0,4.0,7.0,0.0,0.0,0.0,4.0
2038,ESPORTSTMNT03/1681477,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1681477?gameHash=5da6773ada18612f,LCK,2021,Spring,0,2021-01-14 12:33:18,2,11.01,100,Blue,team,,Afreeca Freecs,,Akali,Alistar,Nidalee,Aatrox,Sylas,1797,1,19,2,58,19,2,3.0,1.0,0.0,0.0,1.0,,,,0.6344,0.7012,1.0,4.0,0.0,4.0,0.0,2.0,0.0,1.0,1.0,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,8.0,0.0,1.0,1.0,1.0,0.0,59168,1975.5593,,2904.3406,2634.7913,102,3.4057,63,2.1035,44,264.0,8.8147,58050,38343,1280.2337,,53650.0,0.2008,,795.0,225,124,38,34.0568,15785.0,19958.0,356.0,15288.0,19173.0,349.0,497.0,785.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,26340.0,31377.0,538.0,22267.0,29341.0,517.0,4073.0,2036.0,21.0,4.0,15.0,0.0,0.0,0.0,4.0
2063,ESPORTSTMNT03/1681511,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1681511?gameHash=8e14d7092c466162,LCK,2021,Spring,0,2021-01-14 13:50:50,3,11.01,200,Red,team,,Afreeca Freecs,,Aphelios,Alistar,Samira,Yone,Ornn,2343,0,4,11,10,4,11,0.0,0.0,0.0,0.0,0.0,,,,0.1024,0.3841,0.0,2.0,3.0,2.0,3.0,1.0,0.0,1.0,0.0,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,10.0,1.0,1.0,0.0,2.0,69849,1788.7068,,2755.2881,1961.8694,136,3.4827,69,1.767,68,325.0,8.3227,61472,36195,926.8886,,59175.0,-0.0385333,,1051.0,228,159,15,32.7529,15489.0,18922.0,340.0,15488.0,18513.0,337.0,1.0,409.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,24718.0,30074.0,522.0,23917.0,30058.0,526.0,801.0,16.0,-4.0,1.0,2.0,2.0,2.0,5.0,1.0
3466,ESPORTSTMNT01/1691681,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1691681?gameHash=0fbd11d73bf98cae,LCK,2021,Spring,0,2021-01-17 09:30:59,1,11.01,100,Blue,team,,Afreeca Freecs,,Akali,Olaf,Renekton,Alistar,Yone,1874,1,20,11,41,20,11,4.0,1.0,0.0,0.0,1.0,,,,0.6403,0.9925,1.0,4.0,0.0,4.0,0.0,1.0,0.0,2.0,1.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,8.0,2.0,1.0,1.0,1.0,0.0,63147,2021.7823,,2578.3671,2454.8453,122,3.9061,62,1.9851,57,275.0,8.8047,61329,40836,1307.4493,,55660.0,0.0411082,,838.0,246,158,24,34.7065,16589.0,20153.0,362.0,16882.0,19802.0,351.0,-293.0,351.0,11.0,3.0,1.0,3.0,3.0,4.0,3.0,26513.0,31540.0,573.0,25196.0,30038.0,538.0,1317.0,1502.0,35.0,4.0,3.0,3.0,3.0,4.0,4.0
3515,ESPORTSTMNT01/1691701,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1691701?gameHash=cde0de30a0745d28,LCK,2021,Spring,0,2021-01-17 11:13:10,2,11.01,200,Red,team,,Afreeca Freecs,,Samira,Akali,Nidalee,Lillia,Zoe,2420,1,19,13,46,19,13,3.0,1.0,0.0,0.0,1.0,,,,0.4711,0.7934,1.0,5.0,1.0,4.0,0.0,1.0,0.0,2.0,1.0,,1.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,11.0,3.0,1.0,1.0,6.0,0.0,91318,2264.0826,,3093.4711,2771.4545,170,4.2149,89,2.2066,66,389.0,9.6446,77536,51474,1276.2149,,70720.0,0.0315272,,1028.0,259,125,50,31.9091,16128.0,19301.0,338.0,14372.0,16995.0,307.0,1756.0,2306.0,31.0,2.0,6.0,0.0,0.0,0.0,2.0,26139.0,31199.0,558.0,22929.0,28553.0,525.0,3210.0,2646.0,33.0,3.0,8.0,0.0,0.0,0.0,3.0
5867,ESPORTSTMNT01/1683103,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1683103?gameHash=63883ead7266e3a8,LCK,2021,Spring,0,2021-01-20 07:19:14,1,11.01,200,Red,team,,Afreeca Freecs,,Alistar,Olaf,Renekton,Galio,Sett,2054,0,8,15,15,8,15,0.0,0.0,0.0,0.0,1.0,,,,0.2337,0.6719,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,7.0,9.0,0.0,0.0,1.0,2.0,38617,1128.0526,,2415.2191,2284.7322,130,3.7975,79,2.3077,54,289.0,8.4421,60350,38021,1110.6426,,57658.0,-0.00444741,,1049.0,228,165,38,37.3028,15201.0,18917.0,360.0,15320.0,19710.0,361.0,-119.0,-793.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,24457.0,29444.0,522.0,23856.0,30192.0,521.0,601.0,-748.0,1.0,5.0,11.0,4.0,4.0,5.0,5.0
5902,ESPORTSTMNT01/1683114,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1683114?gameHash=e53a0d000a3692c4,LCK,2021,Spring,0,2021-01-20 08:43:46,2,11.01,100,Blue,team,,Afreeca Freecs,,Alistar,Olaf,Nidalee,Maokai,Jayce,1554,0,1,18,3,1,18,0.0,0.0,0.0,0.0,0.0,,,,0.0386,0.7336,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,9.0,0.0,0.0,0.0,2.0,26356,1017.6062,,2649.8842,1665.4054,86,3.3205,36,1.39,47,182.0,7.027,38233,21004,810.9653,,36725.0,-0.25067,,674.0,166,115,10,32.4324,14173.0,17025.0,306.0,16994.0,19095.0,338.0,-2821.0,-2070.0,-32.0,0.0,0.0,4.0,4.0,11.0,0.0,22338.0,29214.0,531.0,25799.0,30818.0,559.0,-3461.0,-1604.0,-28.0,0.0,0.0,4.0,4.0,11.0,0.0
7942,ESPORTSTMNT01/1730173,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1730173?gameHash=88bd5e223badce68,LCK,2021,Spring,0,2021-01-23 06:06:05,1,11.01,100,Blue,team,,Afreeca Freecs,,Lucian,Olaf,Samira,Gnar,Zoe,2216,0,8,13,24,8,13,0.0,0.0,0.0,0.0,1.0,,,,0.2166,0.5686,1.0,2.0,3.0,2.0,3.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,10.0,0.0,0.0,0.0,2.0,51478,1393.8087,,2223.4928,1619.5397,152,4.1155,55,1.4892,58,306.0,8.2852,61113,37132,1005.3791,,59385.0,-0.0845093,,1021.0,241,182,0,34.1697,15768.0,18818.0,340.0,16186.0,19718.0,346.0,-418.0,-900.0,-6.0,1.0,2.0,1.0,1.0,2.0,1.0,24532.0,29997.0,537.0,25909.0,30844.0,541.0,-1377.0,-847.0,-4.0,3.0,8.0,3.0,3.0,4.0,3.0
8027,ESPORTSTMNT01/1730251,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1730251?gameHash=15261b91a7dd1db5,LCK,2021,Spring,0,2021-01-23 08:41:42,2,11.01,200,Red,team,,Afreeca Freecs,,Taliyah,Pantheon,Graves,Gnar,Aatrox,1548,0,13,10,21,13,10,0.0,0.0,0.0,0.0,1.0,,,,0.5039,0.8915,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,8.0,0.0,0.0,0.0,1.0,46623,1807.093,,3003.6822,2779.6899,91,3.5271,30,1.1628,34,166.0,6.4341,42654,25486,987.8295,,40275.0,-0.088968,,642.0,136,110,1,30.155,14839.0,17441.0,288.0,16502.0,19283.0,354.0,-1663.0,-1842.0,-66.0,2.0,3.0,2.0,2.0,3.0,2.0,23865.0,29924.0,498.0,26508.0,31939.0,587.0,-2643.0,-2015.0,-89.0,5.0,8.0,3.0,3.0,4.0,5.0
12791,ESPORTSTMNT05/1820279,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1820279?gameHash=24d0e19a9d3b7271,LCK,2021,Spring,0,2021-01-29 07:10:43,1,11.02,200,Red,team,,Afreeca Freecs,,Aphelios,Taliyah,Syndra,Viktor,Rumble,2349,1,12,12,35,12,12,1.0,0.0,0.0,0.0,1.0,,,,0.3065,0.613,0.0,2.0,4.0,2.0,4.0,0.0,1.0,0.0,1.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,2.0,1.0,1.0,1.0,0.0,79845,2039.4636,,2934.7382,3055.0702,160,4.0868,85,2.1711,69,393.0,10.0383,67700,42362,1082.0434,,59800.0,-0.0643334,,1009.0,246,176,14,32.0562,16586.0,19819.0,328.0,14979.0,18444.0,329.0,1607.0,1375.0,-1.0,3.0,3.0,1.0,1.0,1.0,3.0,24163.0,30085.0,511.0,22918.0,29787.0,545.0,1245.0,298.0,-34.0,3.0,3.0,1.0,1.0,1.0,3.0
