,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
2122,ESPORTSTMNT01/1691020,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1691020?gameHash=3a20c6080120cfa5,LCK,2021,Spring,0,2021-01-15 05:53:23,1,11.01,100,Blue,team,,Fredit BRION,,Sett,Gragas,Olaf,Nautilus,Yone,1835,0,3,9,8,3,9,0.0,0.0,0.0,0.0,0.0,,,,0.0981,0.3924,1.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,2.0,42886,1402.267,,2163.6621,1367.6403,142,4.6431,91,2.9755,51,302.0,9.8747,49417,29322,958.7575,,48550.0,-0.0974773,,907.0,215,171,5,36.6866,15014.0,18535.0,350.0,16229.0,19296.0,352.0,-1215.0,-761.0,-2.0,0.0,0.0,2.0,2.0,3.0,0.0,24069.0,29824.0,564.0,24704.0,30235.0,567.0,-635.0,-411.0,-3.0,0.0,0.0,2.0,2.0,3.0,0.0
2183,ESPORTSTMNT01/1691048,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1691048?gameHash=88451f57741979af,LCK,2021,Spring,0,2021-01-15 08:43:35,2,11.01,200,Red,team,,Fredit BRION,,Sett,Renekton,Kai'Sa,Galio,Twisted Fate,1664,0,6,21,11,6,21,0.0,0.0,0.0,0.0,1.0,,,,0.2163,0.9736,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,10.0,0.0,0.0,0.0,2.0,39397,1420.5649,,2832.6202,1809.8438,106,3.8221,34,1.226,42,188.0,6.7788,44660,26309,948.6418,,43100.0,-0.190653,,743.0,163,131,5,32.6683,15867.0,18787.0,339.0,16332.0,19411.0,349.0,-465.0,-624.0,-10.0,1.0,1.0,3.0,3.0,6.0,1.0,25077.0,30036.0,544.0,28386.0,32591.0,566.0,-3309.0,-2555.0,-22.0,3.0,4.0,8.0,8.0,16.0,3.0
3467,ESPORTSTMNT01/1691681,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1691681?gameHash=0fbd11d73bf98cae,LCK,2021,Spring,0,2021-01-17 09:30:59,1,11.01,200,Red,team,,Fredit BRION,,Pantheon,Taliyah,Rumble,Gnar,Gragas,1874,0,11,20,27,11,20,2.0,1.0,0.0,0.0,0.0,,,,0.3522,0.9925,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,0.0,1.0,53382,1709.1355,,2996.8623,2409.8613,117,3.746,57,1.825,49,260.0,8.3244,54639,34146,1093.2551,,53418.0,-0.0411082,,838.0,201,159,7,33.2657,16882.0,19802.0,351.0,16589.0,20153.0,362.0,293.0,-351.0,-11.0,3.0,4.0,3.0,3.0,1.0,3.0,25196.0,30038.0,538.0,26513.0,31540.0,573.0,-1317.0,-1502.0,-35.0,3.0,4.0,4.0,4.0,3.0,3.0
3514,ESPORTSTMNT01/1691701,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1691701?gameHash=cde0de30a0745d28,LCK,2021,Spring,0,2021-01-17 11:13:10,2,11.01,100,Blue,team,,Fredit BRION,,Rell,Gragas,Taliyah,Camille,Orianna,2420,0,13,19,36,13,19,3.0,0.0,0.0,0.0,0.0,,,,0.3223,0.7934,0.0,1.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,11.0,0.0,0.0,0.0,6.0,84262,2089.1405,,3004.7355,2618.7521,154,3.8182,78,1.9339,65,294.0,7.2893,70269,44207,1096.0413,,68525.0,-0.0315272,,1133.0,234,170,20,33.8926,14372.0,16995.0,307.0,16128.0,19301.0,338.0,-1756.0,-2306.0,-31.0,0.0,0.0,2.0,2.0,6.0,0.0,22929.0,28553.0,525.0,26139.0,31199.0,558.0,-3210.0,-2646.0,-33.0,0.0,0.0,3.0,3.0,8.0,0.0
6695,ESPORTSTMNT01/1693596,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1693596?gameHash=d64348865f8a2f0c,LCK,2021,Spring,0,2021-01-21 10:36:05,1,11.01,200,Red,team,,Fredit BRION,,Pantheon,Taliyah,Nidalee,Camille,Renekton,2184,1,15,5,39,15,5,3.0,0.0,0.0,0.0,1.0,,,,0.4121,0.5495,0.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,8.0,5.0,1.0,1.0,1.0,0.0,78007,2143.0495,,2331.6209,2577.6374,168,4.6154,90,2.4725,59,393.0,10.7967,67501,43846,1204.5604,,64075.0,0.0935266,,984.0,247,177,12,33.8187,15940.0,19582.0,356.0,15763.0,18748.0,362.0,177.0,834.0,-6.0,1.0,1.0,0.0,0.0,0.0,1.0,24398.0,30800.0,544.0,26646.0,30469.0,576.0,-2248.0,331.0,-32.0,3.0,6.0,1.0,1.0,1.0,3.0
6778,ESPORTSTMNT01/1693626,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1693626?gameHash=2a3dba466374782b,LCK,2021,Spring,0,2021-01-21 12:18:35,2,11.01,100,Blue,team,,Fredit BRION,,Nidalee,Taliyah,Pantheon,Maokai,Gangplank,2011,1,16,8,45,16,8,4.0,0.0,0.0,0.0,1.0,,,,0.4774,0.7161,0.0,4.0,2.0,4.0,2.0,1.0,0.0,3.0,0.0,,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,8.0,4.0,0.0,0.0,1.0,0.0,71147,2122.735,,2752.5709,2735.6837,171,5.1019,65,1.9393,55,373.0,11.1288,61371,39481,1177.9513,,55675.0,0.0136534,,877.0,232,145,20,33.088,15800.0,19351.0,334.0,14920.0,17988.0,317.0,880.0,1363.0,17.0,2.0,2.0,1.0,1.0,2.0,2.0,24873.0,32255.0,554.0,24574.0,29697.0,547.0,299.0,2558.0,7.0,3.0,4.0,2.0,2.0,4.0,3.0
8098,ESPORTSTMNT01/1730313,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1730313?gameHash=522153f874d243cc,LCK,2021,Spring,0,2021-01-23 09:57:08,1,11.01,100,Blue,team,,Fredit BRION,,Taliyah,Nidalee,Syndra,Aatrox,Rell,2342,0,2,11,6,2,11,0.0,0.0,0.0,0.0,0.0,,,,0.0512,0.333,1.0,3.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,7.0,1.0,1.0,0.0,1.0,56419,1445.4056,,2733.3561,2676.1486,151,3.8685,81,2.0751,71,344.0,8.813,59572,34306,878.8898,,59175.0,-0.0590406,,974.0,280,214,9,32.1264,15832.0,19390.0,363.0,16485.0,19210.0,344.0,-653.0,180.0,19.0,0.0,0.0,3.0,3.0,3.0,0.0,24807.0,30663.0,569.0,26019.0,30333.0,551.0,-1212.0,330.0,18.0,0.0,0.0,4.0,4.0,5.0,0.0
8207,ESPORTSTMNT01/1730332,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1730332?gameHash=1c8ba8d1f8cf790e,LCK,2021,Spring,0,2021-01-23 11:20:20,2,11.01,200,Red,team,,Fredit BRION,,Taliyah,Nidalee,Olaf,Lillia,Hecarim,1483,0,7,21,16,7,21,0.0,0.0,0.0,0.0,0.0,,,,0.2832,1.1328,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,1.0,43823,1773.0142,,3191.733,1799.029,87,3.5199,28,1.1328,40,168.0,6.797,37076,20571,832.2724,,35750.0,-0.202953,,572.0,155,119,6,29.4134,15437.0,16894.0,289.0,16857.0,17143.0,287.0,-1420.0,-249.0,2.0,3.0,6.0,6.0,6.0,12.0,3.0,24033.0,28835.0,518.0,25186.0,28093.0,491.0,-1153.0,742.0,27.0,3.0,6.0,6.0,6.0,12.0,3.0
11231,ESPORTSTMNT05/1830051,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1830051?gameHash=dbe04fb7274af7a3,LCK,2021,Spring,0,2021-01-27 05:47:47,1,11.02,200,Red,team,,Fredit BRION,,Renekton,Taliyah,Kai'Sa,Kalista,Twisted Fate,1946,0,5,19,11,5,19,0.0,0.0,0.0,0.0,0.0,,,,0.1542,0.74,1.0,2.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,9.0,1.0,0.0,0.0,1.0,46454,1432.2919,,3413.926,2955.9096,116,3.5766,41,1.2641,49,211.0,6.5057,48492,27265,840.6475,,48000.0,-0.136375,,799.0,194,156,0,30.6166,14354.0,17267.0,303.0,15078.0,18056.0,317.0,-724.0,-789.0,-14.0,0.0,0.0,1.0,1.0,1.0,0.0,22802.0,28842.0,511.0,24065.0,30065.0,505.0,-1263.0,-1223.0,6.0,1.0,1.0,3.0,3.0,6.0,1.0
11290,ESPORTSTMNT05/1830073,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1830073?gameHash=2ee8581360cc1b02,LCK,2021,Spring,0,2021-01-27 08:46:04,2,11.02,100,Blue,team,,Fredit BRION,,Renekton,Pantheon,Camille,Samira,Senna,1866,0,5,14,13,5,14,0.0,0.0,0.0,0.0,1.0,,,,0.1608,0.6109,0.0,1.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,9.0,0.0,0.0,0.0,1.0,38259,1230.1929,,2747.3312,2325.4662,135,4.3408,54,1.7363,51,238.0,7.6527,49781,29370,944.373,,50495.0,-0.131026,,863.0,180,139,7,33.537,15426.0,18241.0,328.0,14665.0,18425.0,347.0,761.0,-184.0,-19.0,1.0,3.0,0.0,0.0,0.0,1.0,23604.0,29450.0,532.0,24828.0,30382.0,569.0,-1224.0,-932.0,-37.0,1.0,3.0,1.0,1.0,2.0,1.0
