,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
1835,ESPORTSTMNT01/1690820,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1690820?gameHash=fd0b28d1ae633da9,LCK,2021,Spring,0,2021-01-14 07:35:03,1,11.01,200,Red,team,,Liiv SANDBOX,,Aatrox,Kai'Sa,Samira,Twisted Fate,Orianna,1939,0,5,8,9,5,8,0.0,0.0,0.0,0.0,0.0,,,,0.1547,0.4023,0.0,1.0,4.0,1.0,4.0,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,1.0,40389,1249.7886,,2588.819,2134.8118,111,3.4348,49,1.5162,57,244.0,7.5503,49069,27913,863.7339,,48600.0,-0.0746756,,826.0,176,141,0,31.0057,15677.0,18517.0,328.0,16679.0,19334.0,367.0,-1002.0,-817.0,-39.0,1.0,1.0,1.0,1.0,1.0,1.0,23642.0,28141.0,515.0,26379.0,31033.0,580.0,-2737.0,-2892.0,-65.0,1.0,1.0,2.0,2.0,3.0,1.0
1870,ESPORTSTMNT01/1690828,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1690828?gameHash=d5fc3d0477233ff4,LCK,2021,Spring,0,2021-01-14 08:45:33,2,11.01,100,Blue,team,,Liiv SANDBOX,,Aatrox,Kai'Sa,Aphelios,Orianna,Syndra,1585,1,28,6,70,28,6,5.0,0.0,0.0,0.0,1.0,,,,1.0599,1.2871,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,9.0,4.0,1.0,1.0,1.0,0.0,75967,2875.7224,,2761.8549,2732.2145,85,3.2177,27,1.0221,40,190.0,7.1924,54750,37205,1408.3912,,49450.0,0.214138,,640.0,167,92,21,30.5489,16325.0,17925.0,309.0,14030.0,17346.0,291.0,2295.0,579.0,18.0,4.0,5.0,0.0,0.0,0.0,4.0,28379.0,30142.0,477.0,24067.0,27540.0,456.0,4312.0,2602.0,21.0,13.0,24.0,3.0,3.0,8.0,13.0
1919,ESPORTSTMNT01/1690841,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1690841?gameHash=187b8779c2c7426b,LCK,2021,Spring,0,2021-01-14 09:37:48,3,11.01,200,Red,team,,Liiv SANDBOX,,Kai'Sa,Samira,Aphelios,Aatrox,Kalista,1838,0,7,10,16,7,10,1.0,0.0,0.0,0.0,1.0,,,,0.2285,0.555,1.0,3.0,2.0,3.0,2.0,0.0,0.0,1.0,2.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,9.0,0.0,1.0,0.0,2.0,61586,2010.4244,,2122.3286,1547.5299,106,3.4603,46,1.5016,53,223.0,7.2797,50895,30769,1004.4287,,50285.0,0.00868827,,797.0,211,138,22,32.9053,15638.0,19270.0,360.0,14411.0,17580.0,325.0,1227.0,1690.0,35.0,1.0,0.0,0.0,0.0,0.0,1.0,26402.0,30137.0,555.0,22242.0,28335.0,521.0,4160.0,1802.0,34.0,3.0,7.0,0.0,0.0,0.0,3.0
2482,ESPORTSTMNT01/1691379,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1691379?gameHash=d598a4558e969372,LCK,2021,Spring,0,2021-01-16 06:07:26,1,11.01,100,Blue,team,,Liiv SANDBOX,,Taliyah,Aphelios,Renekton,Twisted Fate,Galio,2070,0,5,15,14,5,15,0.0,0.0,0.0,0.0,0.0,,,,0.1449,0.5797,1.0,3.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,2.0,9.0,0.0,0.0,0.0,1.0,36883,1069.0725,,2229.1304,2174.2609,138,4.0,83,2.4058,71,300.0,8.6957,55707,33215,962.7536,,55425.0,-0.117006,,1000.0,206,139,4,34.9565,14536.0,18484.0,317.0,15739.0,18750.0,350.0,-1203.0,-266.0,-33.0,0.0,0.0,1.0,1.0,1.0,0.0,22541.0,29980.0,519.0,25345.0,29496.0,546.0,-2804.0,484.0,-27.0,1.0,3.0,2.0,2.0,3.0,1.0
2543,ESPORTSTMNT01/1691409,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1691409?gameHash=f0ae9efe8c0b8823,LCK,2021,Spring,0,2021-01-16 08:50:13,2,11.01,200,Red,team,,Liiv SANDBOX,,Aphelios,Twisted Fate,Pantheon,Gnar,Aatrox,1850,0,7,19,13,7,19,0.0,0.0,0.0,0.0,1.0,,,,0.227,0.8432,1.0,4.0,1.0,4.0,1.0,2.0,0.0,1.0,1.0,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,9.0,1.0,1.0,0.0,1.0,38584,1251.373,,3241.1676,3201.3081,135,4.3784,53,1.7189,49,265.0,8.5946,49110,28862,936.0649,,48910.0,-0.0851522,,805.0,155,104,3,31.1351,15004.0,19007.0,349.0,15918.0,19619.0,372.0,-914.0,-612.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,23938.0,29975.0,528.0,24518.0,30929.0,593.0,-580.0,-954.0,-65.0,2.0,4.0,0.0,0.0,0.0,2.0
5866,ESPORTSTMNT01/1683103,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1683103?gameHash=63883ead7266e3a8,LCK,2021,Spring,0,2021-01-20 07:19:14,1,11.01,100,Blue,team,,Liiv SANDBOX,,Seraphine,Rell,Pantheon,Gragas,Jayce,2054,1,15,8,16,15,8,2.0,1.0,0.0,0.0,0.0,,,,0.4382,0.6719,1.0,5.0,0.0,4.0,0.0,1.0,2.0,0.0,1.0,,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,9.0,7.0,1.0,1.0,2.0,1.0,48110,1405.3554,,1829.4158,1828.3642,149,4.3525,71,2.074,53,313.0,9.1431,65484,43155,1260.6134,,57915.0,0.00444741,,987.0,224,124,15,35.3749,15320.0,19710.0,361.0,15201.0,18917.0,360.0,119.0,793.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23856.0,30192.0,521.0,24457.0,29444.0,522.0,-601.0,748.0,-1.0,4.0,5.0,5.0,5.0,11.0,4.0
5903,ESPORTSTMNT01/1683114,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1683114?gameHash=e53a0d000a3692c4,LCK,2021,Spring,0,2021-01-20 08:43:46,2,11.01,200,Red,team,,Liiv SANDBOX,,Seraphine,Taliyah,Pantheon,Syndra,Renekton,1554,1,18,1,48,18,1,3.0,1.0,0.0,0.0,1.0,,,,0.695,0.7336,1.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,9.0,2.0,1.0,1.0,2.0,0.0,47526,1834.9807,,1696.6023,1416.2162,95,3.668,41,1.583,39,214.0,8.2625,53184,35955,1388.2239,,47250.0,0.25067,,742.0,195,126,25,36.1776,16994.0,19095.0,338.0,14173.0,17025.0,306.0,2821.0,2070.0,32.0,4.0,11.0,0.0,0.0,0.0,4.0,25799.0,30818.0,559.0,22338.0,29214.0,531.0,3461.0,1604.0,28.0,4.0,11.0,0.0,0.0,0.0,4.0
7415,ESPORTSTMNT01/1694062,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1694062?gameHash=1cf92aad68e9a178,LCK,2021,Spring,0,2021-01-22 10:43:49,1,11.01,200,Red,team,,Liiv SANDBOX,,Aphelios,Rell,Samira,Orianna,Gnar,1943,0,3,16,8,3,16,0.0,0.0,0.0,0.0,0.0,,,,0.0926,0.5867,1.0,3.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,11.0,1.0,0.0,0.0,3.0,43296,1336.984,,2889.1405,2653.3093,119,3.6747,61,1.8837,54,240.0,7.4112,49818,28621,883.8188,,47300.0,-0.187305,,873.0,160,111,4,31.8991,15540.0,19407.0,365.0,15338.0,19375.0,359.0,202.0,32.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,23657.0,28914.0,538.0,25005.0,31061.0,556.0,-1348.0,-2147.0,-18.0,1.0,4.0,3.0,3.0,10.0,1.0
7498,ESPORTSTMNT01/1694108,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1694108?gameHash=230c8cd6365b5213,LCK,2021,Spring,0,2021-01-22 12:22:55,2,11.01,100,Blue,team,,Liiv SANDBOX,,Aphelios,Rell,Rakan,Syndra,Akali,1321,1,20,4,39,20,4,4.0,0.0,0.0,0.0,0.0,,,,0.9084,1.0901,1.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,7.0,1.0,1.0,1.0,1.0,0.0,47863,2173.944,,2549.7502,2458.4557,75,3.4065,37,1.6805,31,172.0,7.8123,47905,33053,1501.2718,,42550.0,0.269031,,638.0,171,105,17,36.7449,17233.0,20360.0,358.0,15224.0,18359.0,334.0,2009.0,2001.0,24.0,3.0,5.0,1.0,1.0,1.0,3.0,26388.0,32639.0,590.0,23377.0,30144.0,552.0,3011.0,2495.0,38.0,4.0,6.0,1.0,1.0,1.0,4.0
7547,ESPORTSTMNT01/1694118,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1694118?gameHash=3fbdcf904598c517,LCK,2021,Spring,0,2021-01-22 13:08:15,3,11.01,200,Red,team,,Liiv SANDBOX,,Aphelios,Samira,Kai'Sa,Rakan,Sett,2587,0,9,14,22,9,14,0.0,0.0,0.0,0.0,1.0,,,,0.2087,0.5334,0.0,4.0,3.0,4.0,3.0,0.0,4.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,9.0,1.0,1.0,0.0,2.0,86448,2004.9787,,2352.7329,3376.838,236,5.4735,100,2.3193,85,462.0,10.7151,72634,44869,1040.6417,,68585.0,-0.0873566,,1250.0,293,215,7,35.7866,16103.0,19940.0,364.0,15656.0,19702.0,375.0,447.0,238.0,-11.0,1.0,1.0,0.0,0.0,0.0,1.0,24974.0,30962.0,576.0,24447.0,31896.0,606.0,527.0,-934.0,-30.0,1.0,1.0,0.0,0.0,0.0,1.0
