,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
2447,ESPORTSTMNT03/1672030,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1672030?gameHash=d0df39be673c8e95,LCS,2021,Spring,1,2021-01-16 00:46:51,1,11.01,200,Red,team,,Cloud9,,Shen,Pantheon,Taliyah,Alistar,Sett,2697,0,10,21,20,10,21,0.0,0.0,0.0,0.0,1.0,,,,0.2225,0.6897,1.0,3.0,4.0,3.0,4.0,1.0,1.0,1.0,0.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,9.0,0.0,0.0,0.0,1.0,76365,1698.8877,,3195.9511,4309.3437,163,3.6263,94,2.0912,58,359.0,7.9867,71625,42738,950.7898,,67550.0,-0.0931545,,1151.0,312,220,14,32.5473,15137.0,18270.0,318.0,15669.0,17806.0,315.0,-532.0,464.0,3.0,1.0,2.0,2.0,2.0,4.0,1.0,24826.0,29839.0,480.0,24708.0,28242.0,473.0,118.0,1597.0,7.0,7.0,14.0,6.0,6.0,11.0,7.0
2867,ESPORTSTMNT03/1682323,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1682323?gameHash=dd1ab8afad6b53ba,LCS,2021,Spring,1,2021-01-16 22:39:51,1,11.01,200,Red,team,,Cloud9,,Renekton,Pantheon,Taliyah,Jax,Twisted Fate,1382,1,12,0,23,12,0,3.0,0.0,0.0,0.0,1.0,,,,0.521,0.521,1.0,4.0,0.0,4.0,0.0,0.0,1.0,1.0,2.0,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,2.0,0.0,34851,1513.068,,2256.165,1591.259,74,3.2127,28,1.2156,29,164.0,7.1201,45904,30430,1321.1288,,39808.0,0.247674,,607.0,182,108,18,34.2547,15380.0,16979.0,298.0,13948.0,15713.0,296.0,1432.0,1266.0,2.0,3.0,4.0,0.0,0.0,0.0,3.0,24882.0,28346.0,517.0,21168.0,25480.0,477.0,3714.0,2866.0,40.0,3.0,4.0,0.0,0.0,0.0,3.0
3706,ESPORTSTMNT03/1672441,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1672441?gameHash=ff6c691137e24f48&amp;tab=overview,LCS,2021,Spring,1,2021-01-17 20:38:06,1,11.01,100,Blue,team,,Cloud9,,Camille,Graves,Akali,Syndra,Rell,1826,1,19,4,29,19,4,4.0,1.0,0.0,0.0,1.0,,,,0.6243,0.7558,1.0,4.0,0.0,4.0,0.0,2.0,0.0,1.0,1.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,11.0,1.0,0.0,1.0,2.0,0.0,56919,1870.2848,,2402.3658,1964.4907,127,4.1731,52,1.7087,39,264.0,8.6747,62694,42691,1402.7711,,57125.0,0.227421,,843.0,297,158,66,37.4589,16671.0,19540.0,345.0,15364.0,18461.0,340.0,1307.0,1079.0,5.0,3.0,2.0,1.0,1.0,1.0,3.0,26497.0,31685.0,556.0,23407.0,29456.0,531.0,3090.0,2229.0,25.0,4.0,3.0,1.0,1.0,1.0,4.0
7690,ESPORTSTMNT03/1683744,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1683744?gameHash=7de59649a6e75d06,LCS,2021,Spring,1,2021-01-22 22:29:56,1,11.01,100,Blue,team,,Cloud9,,Camille,Renekton,Graves,Aatrox,Gragas,2193,1,16,7,34,16,7,2.0,1.0,0.0,0.0,0.0,,,,0.4378,0.6293,0.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,2.0,,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,11.0,4.0,0.0,0.0,3.0,0.0,64071,1752.9685,,2312.2025,1670.725,131,3.5841,45,1.2312,50,281.0,7.6881,70147,46400,1269.4938,,63235.0,0.118958,,998.0,278,198,20,34.9111,15121.0,18586.0,342.0,16299.0,19121.0,326.0,-1178.0,-535.0,16.0,0.0,0.0,2.0,2.0,3.0,0.0,24505.0,29080.0,529.0,24847.0,28610.0,501.0,-342.0,470.0,28.0,2.0,2.0,2.0,2.0,3.0,2.0
8590,ESPORTSTMNT03/1673726,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1673726?gameHash=e9b0e74a58502735,LCS,2021,Spring,1,2021-01-23 22:26:49,1,11.01,100,Blue,team,,Cloud9,,Camille,Renekton,Graves,Maokai,Thresh,2124,0,12,18,32,12,18,0.0,0.0,0.0,0.0,1.0,,,,0.339,0.8475,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,9.0,0.0,0.0,0.0,3.0,67348,1902.4859,,3655.3107,2815.5367,110,3.1073,44,1.2429,44,245.0,6.9209,57649,34606,977.5706,,57205.0,-0.0522642,,867.0,235,182,0,31.1299,16108.0,18387.0,339.0,15477.0,18169.0,328.0,631.0,218.0,11.0,2.0,5.0,2.0,2.0,4.0,2.0,24223.0,28315.0,528.0,23583.0,27643.0,498.0,640.0,672.0,30.0,3.0,7.0,3.0,3.0,7.0,3.0
8602,ESPORTSTMNT03/1673736,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1673736?gameHash=b770dec90af295a5,LCS,2021,Spring,1,2021-01-23 23:34:01,2,11.01,100,Blue,team,,Cloud9,,Camille,Renekton,Lulu,Galio,Maokai,1654,1,20,5,42,20,5,3.0,0.0,0.0,0.0,0.0,,,,0.7255,0.9069,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,9.0,3.0,1.0,1.0,1.0,0.0,57620,2090.2056,,3144.1959,2168.9964,89,3.2285,41,1.4873,35,214.0,7.763,55258,37009,1342.5272,,45710.0,0.0784358,,725.0,207,143,5,33.8089,16307.0,18807.0,313.0,15683.0,18392.0,329.0,624.0,415.0,-16.0,4.0,8.0,1.0,1.0,1.0,4.0,26504.0,30996.0,528.0,24736.0,30831.0,516.0,1768.0,165.0,12.0,6.0,11.0,4.0,4.0,6.0,6.0
8614,ESPORTSTMNT03/1673738,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1673738?gameHash=449c4ced089f5092,LCS,2021,Spring,1,2021-01-24 00:29:47,3,11.01,100,Blue,team,,Cloud9,,Renekton,Kai'Sa,Jax,Orianna,Maokai,2396,1,18,6,44,18,6,1.0,0.0,0.0,0.0,0.0,,,,0.4508,0.601,0.0,4.0,2.0,4.0,2.0,3.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,10.0,4.0,0.0,1.0,2.0,0.0,85589,2143.2972,,2967.1452,2687.5793,161,4.0317,89,2.2287,64,358.0,8.9649,74619,48802,1222.0868,,70193.0,0.140879,,1112.0,352,211,57,36.6611,15102.0,18370.0,338.0,14890.0,17967.0,313.0,212.0,403.0,25.0,0.0,0.0,1.0,1.0,2.0,0.0,23677.0,29944.0,537.0,23092.0,28541.0,498.0,585.0,1403.0,39.0,2.0,6.0,1.0,1.0,2.0,2.0
13247,ESPORTSTMNT02/1681735,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1681735?gameHash=37059e33cb8616a1,LCS,2021,Spring,1,2021-01-29 22:28:31,1,11.02,200,Red,team,,Cloud9,,Pantheon,Twisted Fate,Camille,Senna,Irelia,1600,0,3,15,5,3,15,0.0,0.0,0.0,0.0,1.0,,,,0.1125,0.675,0.0,1.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,32174,1206.525,,2164.2375,1688.5125,89,3.3375,37,1.3875,39,202.0,7.575,41331,23633,886.2375,,40285.0,-0.0675181,,710.0,189,145,12,33.7125,15636.0,18826.0,339.0,15457.0,19289.0,330.0,179.0,-463.0,9.0,1.0,2.0,2.0,2.0,2.0,1.0,24566.0,30297.0,547.0,25603.0,30205.0,534.0,-1037.0,92.0,13.0,2.0,3.0,2.0,2.0,2.0,2.0
13270,ESPORTSTMNT02/1681753,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1681753?gameHash=f0d1f1efcf8460d3,LCS,2021,Spring,1,2021-01-29 23:34:05,2,11.02,100,Blue,team,,Cloud9,,Twisted Fate,Galio,Camille,Rell,Sett,1863,0,6,10,16,6,10,0.0,0.0,0.0,0.0,1.0,,,,0.1932,0.5153,0.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,36591,1178.4541,,2205.3784,2797.0692,97,3.124,46,1.4815,41,222.0,7.1498,47945,27564,887.7295,,46735.0,-0.0220083,,770.0,211,170,0,31.5942,15178.0,16357.0,285.0,15111.0,17461.0,313.0,67.0,-1104.0,-28.0,3.0,6.0,2.0,2.0,4.0,3.0,22986.0,26464.0,474.0,25296.0,28975.0,507.0,-2310.0,-2511.0,-33.0,3.0,6.0,5.0,5.0,12.0,3.0
13282,ESPORTSTMNT02/1681778,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1681778?gameHash=0452708c43481c71,LCS,2021,Spring,1,2021-01-30 00:32:45,3,11.02,100,Blue,team,,Cloud9,,Twisted Fate,Renekton,Camille,Rell,Sett,2298,1,21,14,63,21,14,1.0,0.0,0.0,0.0,0.0,,,,0.5483,0.9138,1.0,4.0,1.0,4.0,1.0,0.0,3.0,0.0,1.0,,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,9.0,4.0,1.0,0.0,2.0,0.0,114765,2996.4752,,3137.9112,5827.9896,106,2.7676,73,1.906,40,317.0,8.2768,71680,46862,1223.5509,,63560.0,-0.0250903,,845.0,251,166,17,28.6162,15323.0,18737.0,320.0,15993.0,19007.0,341.0,-670.0,-270.0,-21.0,0.0,0.0,1.0,1.0,2.0,0.0,25005.0,31053.0,519.0,25602.0,29463.0,530.0,-597.0,1590.0,-11.0,3.0,6.0,2.0,2.0,3.0,3.0
