,result,kills,deaths,dragons,elders,heralds,barons,goldat15,golddiffat15
0,1,23,4,4.0,0.0,2.0,1.0,28027.0,5018.0
1,0,4,24,0.0,0.0,0.0,0.0,23009.0,-5018.0
2,0,7,18,0.0,0.0,1.0,0.0,24592.0,573.0
3,1,18,7,4.0,0.0,0.0,1.0,24019.0,-573.0
4,0,10,20,0.0,0.0,2.0,0.0,23373.0,-579.0
5,1,20,11,4.0,0.0,0.0,1.0,23952.0,579.0
6,0,3,9,2.0,0.0,2.0,0.0,24815.0,951.0
7,1,9,3,2.0,0.0,0.0,1.0,23864.0,-951.0
8,0,16,27,3.0,0.0,2.0,2.0,27355.0,2145.0
9,1,27,17,2.0,0.0,0.0,0.0,25210.0,-2145.0
10,0,4,15,1.0,0.0,2.0,0.0,24131.0,-457.0
11,1,15,4,4.0,0.0,0.0,1.0,24588.0,457.0
12,0,8,18,1.0,0.0,1.0,0.0,23389.0,-3065.0
13,1,18,8,4.0,0.0,1.0,1.0,26454.0,3065.0
14,0,8,16,3.0,0.0,2.0,0.0,25531.0,276.0
15,1,16,8,3.0,0.0,0.0,1.0,25255.0,-276.0
16,1,15,7,3.0,0.0,1.0,1.0,23473.0,262.0
17,0,7,15,1.0,0.0,1.0,0.0,23211.0,-262.0
18,0,12,18,2.0,0.0,1.0,0.0,26010.0,863.0
19,1,17,12,2.0,0.0,1.0,2.0,25147.0,-863.0
20,1,16,5,3.0,0.0,2.0,1.0,26180.0,2191.0
21,0,4,16,1.0,0.0,0.0,0.0,23989.0,-2191.0
22,1,25,7,4.0,0.0,1.0,1.0,25439.0,-622.0
23,0,7,25,0.0,0.0,1.0,0.0,26061.0,622.0
24,1,14,4,5.0,1.0,2.0,1.0,25096.0,327.0
25,0,6,18,0.0,0.0,0.0,0.0,24046.0,-5830.0
26,0,11,19,2.0,0.0,1.0,0.0,24589.0,-3933.0
27,0,4,18,2.0,0.0,2.0,0.0,22711.0,-2470.0
28,1,18,4,2.0,0.0,0.0,1.0,25181.0,2470.0
29,0,6,19,1.0,0.0,2.0,0.0,25304.0,348.0
30,1,19,6,3.0,0.0,0.0,1.0,24956.0,-348.0
31,1,14,2,3.0,0.0,2.0,1.0,27071.0,1972.0
32,0,2,14,1.0,0.0,0.0,0.0,25099.0,-1972.0
33,1,19,11,4.0,0.0,2.0,1.0,26034.0,3015.0
34,0,11,19,1.0,0.0,0.0,0.0,23019.0,-3015.0
35,0,3,17,1.0,0.0,2.0,0.0,23366.0,-2405.0
36,1,17,3,3.0,0.0,0.0,1.0,25771.0,2405.0
37,1,21,24,4.0,0.0,2.0,2.0,25491.0,-1452.0
38,0,24,21,2.0,0.0,0.0,0.0,26943.0,1452.0
39,1,21,12,2.0,0.0,1.0,2.0,26384.0,2509.0
40,0,12,21,3.0,0.0,1.0,0.0,23875.0,-2509.0
41,1,19,8,4.0,0.0,2.0,2.0,26032.0,2091.0
42,0,8,19,2.0,0.0,0.0,0.0,23941.0,-2091.0
43,0,8,23,0.0,0.0,1.0,0.0,25050.0,-2186.0
44,1,23,8,4.0,0.0,1.0,2.0,27236.0,2186.0
45,1,20,8,4.0,0.0,1.0,1.0,26386.0,392.0
46,0,8,20,0.0,0.0,1.0,0.0,25994.0,-392.0
47,1,12,1,2.0,0.0,2.0,1.0,25274.0,2443.0
48,0,0,12,2.0,0.0,0.0,0.0,22831.0,-2443.0
49,1,14,2,4.0,0.0,2.0,0.0,26534.0,4388.0
50,0,2,14,1.0,0.0,0.0,0.0,22146.0,-4388.0
51,1,17,15,5.0,1.0,2.0,1.0,25993.0,657.0
52,0,15,17,0.0,0.0,0.0,1.0,25336.0,-657.0
53,1,13,1,4.0,0.0,2.0,1.0,27856.0,3861.0
54,0,1,13,1.0,0.0,0.0,0.0,23995.0,-3861.0
55,1,17,8,4.0,0.0,2.0,1.0,23347.0,-505.0
56,0,8,17,0.0,0.0,0.0,0.0,23852.0,505.0
57,1,23,15,3.0,0.0,1.0,0.0,28084.0,1031.0
58,0,15,23,4.0,0.0,1.0,2.0,27053.0,-1031.0
59,1,24,16,4.0,0.0,2.0,1.0,28730.0,2837.0
60,0,16,24,0.0,0.0,0.0,0.0,25893.0,-2837.0
61,1,8,5,4.0,0.0,1.0,1.0,26379.0,2737.0
62,0,5,8,1.0,0.0,1.0,0.0,23642.0,-2737.0
63,1,28,6,3.0,0.0,1.0,1.0,28379.0,4312.0
64,0,6,28,0.0,0.0,1.0,0.0,24067.0,-4312.0
65,1,25,21,4.0,,1.0,1.0,23650.0,-734.0
66,1,10,8,2.0,0.0,1.0,1.0,22242.0,-4160.0
67,0,7,10,3.0,0.0,1.0,0.0,26402.0,4160.0
68,1,19,8,4.0,0.0,1.0,1.0,26645.0,1186.0
69,1,13,8,3.0,0.0,0.0,1.0,23840.0,-2486.0
70,0,8,13,3.0,0.0,2.0,0.0,26326.0,2486.0
71,1,22,16,4.0,0.0,1.0,4.0,25955.0,1933.0
72,0,16,22,3.0,0.0,1.0,0.0,24022.0,-1933.0
