,Ssumday,Closer,Damonte,FBI,huhi,Huni,Spica,PowerOfEvil,Lost,SwordArt,Alphari,Santorin,Jensen,Tactical,CoreJJ,Finn,Solo,Broxah,Pobelter,WildTurtle,Smoothie,Niles,Iconic,Ablazeolive,Stixxay,Newbie,Impact,Svenskeren,Jiizuke,Deftly,IgNar,Fudge,Blaber,Perkz,Zven,Vulcan,Revenge,Xerxe,Insanity,Raes,Destiny,Licorice,Josedeodo,Palafox,Johnsun,Diamond,FakeGod,Dardoch,Soligo,Neo,aphromoo
100_Thieves,Top Laner,Jungler,Mid Laner,Bot Laner,Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSM,,,,,,Top Laner,Jungler,Mid Laner,Bot Laner,Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team_Liquid,,,,,,,,,,,Top Laner,Jungler,Mid Laner,Bot Laner,Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counter_Logic_Gaming,,,,,,,,,,,,,,,,Top Laner,Top Laner,Jungler,Mid Laner,Bot Laner,Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden_Guardians,,,,,,,,,,,,,,,,,,,,,,Top Laner,Jungler,Mid Laner,Bot Laner,Support,,,,,,,,,,,,,,,,,,,,,,,,,
Evil_Geniuses,,,,,,,,,,,,,,,,,,,,,,,,,,,Top Laner,Jungler,Mid Laner,Bot Laner,Support,,,,,,,,,,,,,,,,,,,,
Cloud9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Top Laner,Jungler,Mid Laner,Bot Laner,Support,,,,,,,,,,,,,,,
Immortals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Top Laner,Jungler,Mid Laner,Bot Laner,Support,,,,,,,,,,
FlyQuest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Top Laner,Jungler,Mid Laner,Bot Laner,Support,,,,,
Dignitas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Top Laner,Jungler,Mid Laner,Bot Laner,Support
