,Jenax,TynX,Blue,Jezu,Treatz,Canee,Bertho,WhiteKnight,Zanzarah,nukeduck,Jeskla,promisq,Kryze,Dan,Czekolad,Patrik,Tore,Broken Blade,Gilius,Abbedagge,Neon,LIMIT,Rodrigo,Bwipo,Selfmade,Nisqy,Upset,Hylissang,Wunder,Jankos,Caps,Rekkles,Mikyx,P1noy,Armut,Elyoya,Humanoid,Carzzy,Kaiser,Agresivoo,HiRit,Razork,Vetheo,Kobbe,denyk,Vander,Odoamne,Inspired,Larssen,Hans sama,Trymbi,Blueknight,Szygenda,Skeanz,Milica,Comp,Labrov
SK_Gaming,Top Laner,Jungler,Mid Laner,Bot Laner,Support,Sub/Jun,Sub/Sup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astralis,,,,,,,,Top Laner,Jungler,Mid Laner,Bot Laner,Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excel_Esports,,,,,,,,,,,,,Top Laner,Jungler,Mid Laner,Bot Laner,Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC_Schalke_04_Esports,,,,,,,,,,,,,,,,,,Top Laner,Jungler,Mid Laner,Bot Laner,Support,Head Analyst (+) (–)  Also Sub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fnatic,,,,,,,,,,,,,,,,,,,,,,,,Top Laner,Jungler,Mid Laner,Bot Laner,Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2_Esports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Top Laner,Jungler,Mid Laner,Bot Laner,Support,Sub/Bot,,,,,,,,,,,,,,,,,,,,,,,
MAD_Lions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Top Laner,Jungler,Mid Laner,Bot Laner,Support,,,,,,,,,,,,,,,,,,
Misfits_Gaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Top Laner,Top Laner,Jungler,Mid Laner,Bot Laner,Support,Support,,,,,,,,,,,
Rogue_(European_Team),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Top Laner,Jungler,Mid Laner,Bot Laner,Support,Sub/Mid,,,,,
Team_Vitality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Top Laner,Jungler,Mid Laner,Bot Laner,Support
