,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Azir,14,6,8,42.9%,3.93,1.57,3.57,4.77,329.14,9.34,14.9,422,76.1%,39.9%,24.2%
Akali,6,4,2,66.7%,4.17,1.5,4.67,5.89,290.33,8.13,13.7,382,59.6%,28.1%,21.1%
Zoe,5,1,4,20%,2.8,2.6,3,2.23,256.6,7.52,11.7,344,67.4%,32.6%,20.7%
Corki,4,3,1,75%,3,1.25,5.25,6.6,339.5,9.75,15.1,435,82.5%,30%,23.7%
Aatrox,3,1,2,33.3%,2,2,3,2.5,228,8.33,10.1,369,65.2%,26.1%,21.5%
Taliyah,3,1,2,33.3%,4.33,2.33,4.33,3.71,256,7.11,13.9,385,81.3%,40.6%,21.4%
Galio,1,0,1,0%,0,4,2,0.5,195,7.3,7.9,296,66.7%,0%,20.2%
LeBlanc,1,0,1,0%,3,3,5,2.67,225,6.93,11.3,347,80%,30%,20.4%
Lulu,1,0,1,0%,1,4,5,1.5,237,6.48,10.6,291,66.7%,11.1%,18.4%
Neeko,1,0,1,0%,4,5,4,1.6,257,7.94,12.6,388,66.7%,33.3%,22.4%
Qiyana,1,0,1,0%,1,4,5,1.5,248,7.27,10.9,320,60%,10%,20.4%
Ryze,1,0,1,0%,0,2,1,0.5,328,10.57,11.9,385,33.3%,0%,23.2%
Sylas,1,0,1,0%,1,1,2,3,351,9.33,13.7,365,75%,25%,22.1%
Xerath,1,0,1,0%,2,3,7,3,396,7.38,18.8,350,81.8%,18.2%,21.1%
Yasuo,1,0,1,0%,0,2,0,0,203,7.79,8.1,311,-nan%,-nan%,20.6%
