,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Jarvan IV,3,1,2,33.3%,3.33,1,9.33,12.67,157.33,5.1,10.4,339,90.5%,23.8%,18.8%
Sylas,3,1,2,33.3%,3,3.33,6.67,2.9,157,5.04,10.3,331,78.4%,24.3%,19.1%
Xin Zhao,3,1,2,33.3%,1,3.33,5,1.8,186.33,4.79,11.6,298,56.3%,9.4%,17.8%
Karthus,2,1,1,50%,4.5,4,7,2.88,218,6.1,13.4,375,85.2%,33.3%,19.7%
Lee Sin,2,1,1,50%,2,3,7,3,171,5.27,10.8,333,72%,16%,18.2%
Rek'Sai,2,1,1,50%,3,2.5,3.5,2.6,200.5,4.96,12.7,314,61.9%,28.6%,19.1%
Sejuani,2,0,2,0%,0,2,2,1,133,4.42,7.9,264,80%,0%,16.8%
Olaf,1,1,0,100%,4,0,6,10,191,5.37,12.4,348,83.3%,33.3%,20.1%
Elise,1,0,1,0%,2,4,3,1.25,134,4.45,8.5,283,62.5%,25%,17.8%
Gragas,1,0,1,0%,0,6,0,0,139,4.93,7.8,277,0%,0%,18.4%
Skarner,1,0,1,0%,1,1,5,6,152,4.72,9.2,285,85.7%,14.3%,18.6%
