,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Rek'Sai,12,6,6,50%,2.17,2.25,3.58,2.56,151.67,5,9.9,327,54.3%,20.5%,17.9%
Sejuani,9,5,4,55.6%,2.89,2.11,9.56,5.89,162.22,5.12,10.9,346,74.7%,17.3%,18.3%
Olaf,6,5,1,83.3%,3,1.5,7.83,7.22,165.83,5.4,11.1,362,61.3%,17%,18.8%
Gragas,6,4,2,66.7%,5.5,1,7.5,13,182,5.59,12.2,375,70.9%,30%,19.7%
Xin Zhao,5,4,1,80%,2.4,2,6.2,4.3,172,5.08,11.4,335,54.4%,15.2%,17.5%
Lee Sin,3,2,1,66.7%,4,3.67,5.33,2.55,160,4.51,12.1,342,56%,24%,18.8%
Elise,3,1,2,33.3%,2.33,5,7.67,2,161,4.97,10.5,325,60%,14%,17.9%
Jarvan IV,2,2,0,100%,3,1.5,12,10,157,5.63,11.2,402,85.7%,17.1%,20.1%
Sylas,2,2,0,100%,4,2,8,6,186,6.38,12.2,418,82.8%,27.6%,20.7%
Kindred,2,1,1,50%,3.5,3,3.5,2.33,183,5.13,12,337,56%,28%,18.6%
Kha'Zix,1,0,1,0%,4,4,5,2.25,203,4.46,15.1,332,50%,22.2%,17.8%
Skarner,1,0,1,0%,5,2,7,6,179,5.32,12.3,366,66.7%,27.8%,20.5%
Trundle,1,0,1,0%,1,3,2,1,176,4.37,10.9,270,100%,33.3%,17.4%
