,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Zoe,9,7,2,77.8%,3.33,1,5.11,8.44,319.22,9.93,13.7,426,65.5%,25.9%,22.6%
Akali,7,7,0,100%,4.86,0.14,5.29,71,343.14,10.43,15.1,459,61.7%,29.6%,22.9%
Lissandra,7,4,3,57.1%,2.57,2,7.43,5,324.14,9.81,14.2,431,67.3%,17.3%,22.5%
Galio,4,3,1,75%,4.25,0.25,8.25,50,350.25,10.35,15.2,450,83.3%,28.3%,22.9%
Irelia,3,3,0,100%,2,1,3.33,5.33,345.67,9.69,14.5,406,44.4%,16.7%,22%
Ryze,2,2,0,100%,4.5,0.5,7,23,372.5,11.9,16.3,520,71.9%,28.1%,24.5%
Sion,2,2,0,100%,0.5,0,4.5,10,307.5,11.1,11.9,430,41.7%,4.2%,19.9%
LeBlanc,2,1,1,50%,3,0.5,3,12,296,9.18,13,404,52.2%,26.1%,21.7%
Sylas,1,1,0,100%,3,1,7,10,318,10.17,12.9,411,76.9%,23.1%,22.2%
Viktor,1,1,0,100%,7,1,5,12,354,9.68,16.6,454,75%,43.8%,22.8%
Corki,1,0,1,0%,3,1,0,3,430,10.76,17.5,438,42.9%,42.9%,24.3%
