,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Akali,5,4,1,80%,4.2,0.8,3.6,9.75,294.2,10.29,12.6,441,52%,28%,22%
Irelia,5,4,1,80%,3,1.8,4.2,4,339,10.39,14.4,443,62.1%,25.9%,23.5%
Aatrox,5,3,2,60%,1.8,1.6,5,4.25,302,8.97,12.8,381,66.7%,17.6%,21%
Corki,5,3,2,60%,2.8,0.8,4.4,9,357,10.64,15.1,451,75%,29.2%,24.3%
Sylas,5,3,2,60%,2,1,4.4,6.4,326.6,10,13.8,421,58.2%,18.2%,21.7%
Camille,2,2,0,100%,2.5,1.5,11,9,275.5,8.4,13.2,401,73%,13.5%,20.6%
Jayce,2,2,0,100%,1.5,0.5,5.5,14,360,10.94,15.6,475,63.6%,13.6%,23.5%
Ryze,2,1,1,50%,2.5,1.5,2.5,3.33,384,10.53,15.8,433,58.8%,29.4%,22.5%
Vladimir,2,1,1,50%,2,1.5,2,2.67,289,9.97,11.5,397,44.4%,22.2%,21.5%
Kassadin,1,1,0,100%,1,1,3,4,374,10.37,14.7,407,25%,6.3%,19.7%
Lissandra,1,1,0,100%,2,1,4,6,456,11.78,18.8,485,50%,16.7%,24.3%
Neeko,1,1,0,100%,1,0,7,8,302,10.21,12.8,432,50%,6.3%,20.6%
Taliyah,1,1,0,100%,7,1,2,9,219,8.58,10.7,417,69.2%,53.8%,22.1%
Yasuo,1,1,0,100%,0,0,4,4,326,12.21,12.2,459,44.4%,0%,22.4%
Zoe,1,1,0,100%,6,0,7,13,254,10.3,12.4,503,61.9%,28.6%,22.2%
Morgana,1,0,1,0%,3,1,4,7,356,7.82,16.6,364,58.3%,25%,19.5%
Renekton,1,0,1,0%,1,4,2,0.75,327,9.28,12.9,367,37.5%,12.5%,20.9%
Talon,1,0,1,0%,0,2,4,2,264,7.58,11.1,319,100%,0%,19.5%
